experiment_id,model_id,method,batch,feature_index,feature_name,importance,importance_std,rank,status
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,0,S1:dR,0.0022115002252347414,0.0006315792567528395,67,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,1,S1:dR_norm,0.02670647186749523,0.0023681643076144325,16,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,2,S1:EMAi_0.001,0.00045396819795950893,0.0005478270056261353,71,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,3,S1:EMAi_0.01,3.6192267114099064e-05,0.0001303586325281233,76,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,4,S1:EMAi_0.1,-1.4992436344241079e-05,1.8361909522274124e-05,80,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,5,S1:EMAd_0.001,0.0026000275741745573,0.0006579423499044246,64,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,6,S1:EMAd_0.01,0.0025887136449098793,0.000478142680151281,65,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,7,S1:EMAd_0.1,-0.001396156892038891,0.00029226169241034134,88,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,8,S2:dR,0.006121566902502718,0.001310825912355574,46,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,9,S2:dR_norm,0.0394531835469456,0.0025738607305095746,1,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,10,S2:EMAi_0.001,-0.001214026798457557,0.0004879566821879587,86,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,11,S2:EMAi_0.01,-0.005670549290667948,0.0011014526244874363,108,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,12,S2:EMAi_0.1,-0.005459481692691714,0.0008528139227729102,107,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,13,S2:EMAd_0.001,0.007494297115091464,0.0012652934879541777,45,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,14,S2:EMAd_0.01,0.0051137261942753144,0.001455348230431215,54,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,15,S2:EMAd_0.1,-0.006645830680174625,0.0012752220790662899,112,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,16,S3:dR,0.004263585459107544,0.001853117810043851,57,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,17,S3:dR_norm,-0.003981298364098029,0.0009847033687070844,101,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,18,S3:EMAi_0.001,-0.006574986931391291,0.002443857176668846,111,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,19,S3:EMAi_0.01,-0.004459985581066983,0.0009347610154287072,105,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,20,S3:EMAi_0.1,-0.004049020156621108,0.0011380515605565937,102,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,21,S3:EMAd_0.001,0.013303177385432663,0.0009336995350237934,31,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,22,S3:EMAd_0.01,0.00928580496937873,0.0016223987720698672,38,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,23,S3:EMAd_0.1,-0.002665078558253919,0.0010802939557787007,96,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,24,S4:dR,0.024126700186877136,0.0019463100298464783,18,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,25,S4:dR_norm,-0.009189238025372115,0.0017246849460288156,118,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,26,S4:EMAi_0.001,0.00013300491568534188,0.0016544856153764519,73,EXECUTED
