experiment_id,sample_id,model_id,method,feature_index,feature_name,contribution,rank
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,1,S1:dR,0.0,90
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,2,S1:dR_norm,-0.0050000000000000044,61
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,3,S1:EMAi_0.001,-0.010000000000000009,45
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,4,S1:EMAi_0.01,0.0050000000000000044,62
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,5,S1:EMAi_0.1,0.0050000000000000044,63
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,6,S1:EMAd_0.001,0.030000000000000027,9
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,7,S1:EMAd_0.01,0.020000000000000018,22
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,8,S1:EMAd_0.1,0.020000000000000018,23
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,9,S2:dR,0.010000000000000009,46
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,10,S2:dR_norm,0.025000000000000022,16
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,11,S2:EMAi_0.001,0.020000000000000018,24
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,12,S2:EMAi_0.01,0.015000000000000013,34
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,13,S2:EMAi_0.1,0.010000000000000009,47
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,14,S2:EMAd_0.001,0.015000000000000013,35
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,15,S2:EMAd_0.01,0.010000000000000009,48
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,16,S2:EMAd_0.1,0.030000000000000027,10
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,17,S3:dR,0.020000000000000018,25
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,18,S3:dR_norm,0.04500000000000004,6
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,19,S3:EMAi_0.001,0.0,91
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,20,S3:EMAi_0.01,-0.0050000000000000044,64
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,21,S3:EMAi_0.1,-0.0050000000000000044,65
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,22,S3:EMAd_0.001,0.015000000000000013,36
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,23,S3:EMAd_0.01,0.0050000000000000044,66
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,24,S3:EMAd_0.1,0.015000000000000013,37
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,25,S4:dR,0.030000000000000027,11
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,26,S4:dR_norm,0.015000000000000013,38
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,27,S4:EMAi_0.001,0.0,92
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,28,S4:EMAi_0.01,-0.0050000000000000044,67
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,29,S4:EMAi_0.1,0.0,93
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,30,S4:EMAd_0.001,0.010000000000000009,49
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,31,S4:EMAd_0.01,0.0050000000000000044,68
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,32,S4:EMAd_0.1,0.0,94
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,33,S5:dR,0.03500000000000003,8
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,34,S5:dR_norm,0.030000000000000027,12
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,35,S5:EMAi_0.001,0.0,95
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,36,S5:EMAi_0.01,0.0,96
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,37,S5:EMAi_0.1,0.0,97
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,38,S5:EMAd_0.001,0.020000000000000018,26
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,39,S5:EMAd_0.01,0.025000000000000022,17
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,40,S5:EMAd_0.1,0.015000000000000013,39
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,41,S6:dR,0.010000000000000009,50
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,42,S6:dR_norm,0.0050000000000000044,69
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,43,S6:EMAi_0.001,0.0,98
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,44,S6:EMAi_0.01,0.0,99
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,45,S6:EMAi_0.1,0.0,100
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,46,S6:EMAd_0.001,0.020000000000000018,27
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,47,S6:EMAd_0.01,-0.0050000000000000044,70
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,48,S6:EMAd_0.1,0.0,101
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,49,S7:dR,0.0050000000000000044,71
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,50,S7:dR_norm,0.05500000000000005,3
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,51,S7:EMAi_0.001,0.0,102
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,52,S7:EMAi_0.01,0.0,103
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,53,S7:EMAi_0.1,0.0,104
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,54,S7:EMAd_0.001,0.010000000000000009,51
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,55,S7:EMAd_0.01,0.020000000000000018,28
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,56,S7:EMAd_0.1,0.010000000000000009,52
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,57,S8:dR,0.020000000000000018,29
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,58,S8:dR_norm,0.06499999999999995,1
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,59,S8:EMAi_0.001,0.0,105
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,60,S8:EMAi_0.01,0.0,106
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,61,S8:EMAi_0.1,-0.0050000000000000044,72
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,62,S8:EMAd_0.001,0.0050000000000000044,73
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,63,S8:EMAd_0.01,0.020000000000000018,30
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,64,S8:EMAd_0.1,0.0050000000000000044,74
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,65,S9:dR,0.030000000000000027,13
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,66,S9:dR_norm,0.030000000000000027,14
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,67,S9:EMAi_0.001,0.0050000000000000044,75
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,68,S9:EMAi_0.01,0.015000000000000013,40
