experiment_id,sample_id,model_id,batch,row_index_in_batch,true_label,predicted_label,correct,prediction_margin,category
EXP-XAI-0001,B2:0,MODEL-C2,2,0,1,1,True,0.61,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:1,MODEL-C2,2,1,1,1,True,0.465,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:12,MODEL-C2,2,12,1,4,False,0.03500000000000003,MISCLASSIFIED
EXP-XAI-0001,B2:13,MODEL-C2,2,13,1,4,False,0.08499999999999996,MISCLASSIFIED
EXP-XAI-0001,B2:26,MODEL-C2,2,26,1,4,False,0.04500000000000004,MISCLASSIFIED
EXP-XAI-0001,B2:27,MODEL-C2,2,27,1,4,False,0.10499999999999998,MISCLASSIFIED
EXP-XAI-0001,B2:40,MODEL-C2,2,40,1,4,False,0.04500000000000004,MISCLASSIFIED
EXP-XAI-0001,B2:70,MODEL-C2,2,70,2,2,True,0.875,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:71,MODEL-C2,2,71,2,2,True,0.805,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:211,MODEL-C2,2,211,5,5,True,0.235,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:212,MODEL-C2,2,212,5,5,True,0.395,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:473,MODEL-C2,2,473,6,6,True,0.065,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:474,MODEL-C2,2,474,6,6,True,0.5249999999999999,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:514,MODEL-C2,2,514,3,3,True,0.36,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:515,MODEL-C2,2,515,3,3,True,0.35,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:720,MODEL-C2,2,720,5,4,False,0.0,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:732,MODEL-C2,2,732,5,4,False,0.0,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:744,MODEL-C2,2,744,5,4,False,0.0,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:746,MODEL-C2,2,746,5,4,False,0.0,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:748,MODEL-C2,2,748,5,4,False,0.0,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:0,MODEL-C2,6,0,2,2,True,0.8200000000000001,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:1,MODEL-C2,6,1,2,2,True,0.8400000000000001,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:23,MODEL-C2,6,23,1,1,True,0.48,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:24,MODEL-C2,6,24,1,1,True,0.5700000000000001,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:387,MODEL-C2,6,387,3,1,False,0.4700000000000001,MISCLASSIFIED
EXP-XAI-0001,B6:388,MODEL-C2,6,388,3,1,False,0.16500000000000004,MISCLASSIFIED
EXP-XAI-0001,B6:389,MODEL-C2,6,389,3,1,False,0.015000000000000013,MISCLASSIFIED
EXP-XAI-0001,B6:390,MODEL-C2,6,390,3,1,False,0.020000000000000018,MISCLASSIFIED
EXP-XAI-0001,B6:391,MODEL-C2,6,391,3,1,False,0.0050000000000000044,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY"
EXP-XAI-0001,B6:392,MODEL-C2,6,392,3,3,True,0.08000000000000002,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:393,MODEL-C2,6,393,3,3,True,0.08500000000000002,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:926,MODEL-C2,6,926,2,3,False,0.0050000000000000044,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:928,MODEL-C2,6,928,2,3,False,0.0050000000000000044,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:932,MODEL-C2,6,932,2,2,True,0.0,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:1338,MODEL-C2,6,1338,2,1,False,0.004999999999999949,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B10:0,MODEL-C2,10,0,4,1,False,0.4,MISCLASSIFIED
EXP-XAI-0001,B10:1,MODEL-C2,10,1,3,2,False,0.17500000000000004,MISCLASSIFIED
EXP-XAI-0001,B10:2,MODEL-C2,10,2,4,1,False,0.94,MISCLASSIFIED
EXP-XAI-0001,B10:3,MODEL-C2,10,3,3,3,True,0.025000000000000022,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:4,MODEL-C2,10,4,4,1,False,0.9,MISCLASSIFIED
EXP-XAI-0001,B10:5,MODEL-C2,10,5,3,3,True,0.06,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:6,MODEL-C2,10,6,4,1,False,0.52,MISCLASSIFIED
EXP-XAI-0001,B10:7,MODEL-C2,10,7,3,2,False,0.0,NEAR_DECISION_BOUNDARY
