sample_id,prediction,score_0,score_1,score_2,score_3,score_4,score_5,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
GOLD-MODEL-C1-B2-R00000,1,3.45468688,-0.842665374,-0.271140069,-0.195271149,-1.93463182,-0.210978538,0.91420871,0.0124373818,0.0220261831,0.0237623099,0.004173439,0.0233919863
GOLD-MODEL-C1-B2-R00121,1,3.88312602,3.29795218,0.324341685,-0.349008948,-3.44136786,-3.71504307,0.624545515,0.347877502,0.017782947,0.0090692481,0.00041169615,0.000313127413
GOLD-MODEL-C1-B2-R00218,2,-21.6566696,158.091217,82.9142227,44.4622307,-74.6554947,-189.155548,0,1,2.24412065e-33,0,0,0
GOLD-MODEL-C1-B2-R00231,1,1.3546015,1.13784277,-1.37695014,-0.855889201,-0.857016563,0.597411036,0.390870094,0.314698964,0.0254527461,0.0428576656,0.0428093858,0.18331112
GOLD-MODEL-C1-B2-R00469,6,3.25629592,-5.23543882,-1.39475346,1.88954461,-2.15489864,3.63925147,0.365527838,7.49906321e-05,0.00349136535,0.0931854099,0.00163255725,0.536087811
GOLD-MODEL-C1-B2-R00473,6,2.79051113,-6.46749973,-3.01300168,2.88978863,-0.363672227,4.16387272,0.163967758,1.563347e-05,0.000494680658,0.181081504,0.00699703395,0.647443414
GOLD-MODEL-C1-B2-R00495,1,21.8872986,21.8731728,10.6571722,1.13108206,-24.2010059,-31.3477211,0.503528059,0.496465296,6.68100392e-06,4.87207052e-10,4.8543171e-21,3.82250795e-24
GOLD-MODEL-C1-B2-R00540,1,12.8039217,1.34434795,12.8019171,-1.69599605,-11.8776474,-13.3765392,0.500498414,5.27926022e-06,0.499496102,2.52445915e-07,9.55726991e-12,2.13487561e-12
GOLD-MODEL-C1-B2-R00778,5,3.63684726,-1.43659115,1.90523446,3.17558861,3.65018559,-10.9312639,0.353709698,0.00221452536,0.0626061633,0.223010272,0.358459175,1.66646672e-07
GOLD-MODEL-C1-B6-R00000,2,20.7695789,41.5464897,17.3771667,-3.28603482,-26.6767139,-49.7304955,9.4776853e-10,1,3.18710509e-11,3.38440625e-20,2.34983991e-30,2.28512543e-40
GOLD-MODEL-C1-B6-R00387,1,8.88432693,2.77456355,5.83220053,-1.64141011,-7.14945984,-8.70022011,0.952828825,0.00211630599,0.0450290963,2.55708692e-05,1.03664433e-07,2.19858443e-08
GOLD-MODEL-C1-B6-R00492,1,7.85380983,7.79818487,3.89420819,-0.713856816,-5.19077015,-13.6415825,0.508865237,0.481332481,0.00970442127,9.67636661e-05,1.1000526e-06,2.35110875e-10
GOLD-MODEL-C1-B6-R00523,1,11.0625687,10.1010962,4.40204811,-0.373374522,-11.0253572,-14.1669903,0.722741425,0.276325345,0.00092545565,7.80577011e-06,1.84637125e-10,7.97856312e-12
GOLD-MODEL-C1-B6-R00677,2,11.7921991,11.9326963,4.99304199,-2.03489876,-8.76059246,-17.922451,0.464692354,0.534789264,0.000517999171,4.5933885e-07,5.51063362e-10,5.7843758e-14
GOLD-MODEL-C1-B6-R00926,2,14.0010538,41.7283859,15.9543028,-4.60743904,-18.266058,-48.8102531,9.08180649e-13,1,6.40410338e-12,7.52675388e-21,8.8052816e-27,4.78156667e-40
GOLD-MODEL-C1-B6-R01279,2,2.32806015,2.36655807,1.76279998,-2.31999063,-2.81997299,-1.31745279,0.377506644,0.392323226,0.214503914,0.00361661077,0.00219362392,0.00985594746
GOLD-MODEL-C1-B6-R01461,3,1.96987569,0.368841976,1.97362089,-1.64389122,-1.11733222,-1.55111432,0.43335259,0.0874019861,0.434978634,0.0116789099,0.0197735224,0.0128142992
GOLD-MODEL-C1-B6-R01464,3,2.00268745,0.237829983,2.00402474,-1.76849806,-0.708232045,-1.76781344,0.437619448,0.0749253482,0.438205063,0.0100760777,0.0290910378,0.0100829797
GOLD-MODEL-C1-B6-R01896,1,6.63024378,-4.60624409,-2.15709829,2.34526467,-7.89862585,5.68646049,0.712711096,9.39655456e-06,0.000108797605,0.0098168198,3.49225218e-07,0.277353495
GOLD-MODEL-C1-B10-R00000,1,4.97663069,-0.578997016,-0.877518475,-0.0984203145,-5.98468304,2.56298923,0.907037258,0.00350628025,0.00260135951,0.00566968042,1.57466166e-05,0.0811697096
