sample_id,explained_class,explanation_score,inference_score,contribution_000,contribution_001,contribution_002,contribution_003,contribution_004,contribution_005,contribution_006,contribution_007,contribution_008,contribution_009,contribution_010,contribution_011,contribution_012,contribution_013,contribution_014,contribution_015,contribution_016,contribution_017,contribution_018,contribution_019,contribution_020,contribution_021,contribution_022,contribution_023,contribution_024,contribution_025,contribution_026,contribution_027,contribution_028,contribution_029,contribution_030,contribution_031,contribution_032,contribution_033,contribution_034,contribution_035,contribution_036,contribution_037,contribution_038,contribution_039,contribution_040,contribution_041,contribution_042,contribution_043,contribution_044,contribution_045,contribution_046,contribution_047,contribution_048,contribution_049,contribution_050,contribution_051,contribution_052,contribution_053,contribution_054,contribution_055,contribution_056,contribution_057,contribution_058,contribution_059,contribution_060,contribution_061,contribution_062,contribution_063,contribution_064,contribution_065,contribution_066,contribution_067,contribution_068,contribution_069,contribution_070,contribution_071,contribution_072,contribution_073,contribution_074,contribution_075,contribution_076,contribution_077,contribution_078,contribution_079,contribution_080,contribution_081,contribution_082,contribution_083,contribution_084,contribution_085,contribution_086,contribution_087,contribution_088,contribution_089,contribution_090,contribution_091,contribution_092,contribution_093,contribution_094,contribution_095,contribution_096,contribution_097,contribution_098,contribution_099,contribution_100,contribution_101,contribution_102,contribution_103,contribution_104,contribution_105,contribution_106,contribution_107,contribution_108,contribution_109,contribution_110,contribution_111,contribution_112,contribution_113,contribution_114,contribution_115,contribution_116,contribution_117,contribution_118,contribution_119,contribution_120,contribution_121,contribution_122,contribution_123,contribution_124,contribution_125,contribution_126,contribution_127
B2:0,1,3.45468521,3.45468688,0.0524200089,-0.0713362619,0.0660136566,0.0749194399,0.0624946579,0.00728878472,0.0175551046,0.0831310675,0.0930458978,-0.063320674,0.142419487,0.185609922,0.146295428,0.0562950373,0.0743750781,0.115919776,0.351976305,0.201382875,0.183499172,0.0206353068,0.00782133639,-0.0494685918,-0.00227416819,0.0339650325,0.587061524,0.359331399,0.285268068,0.0903993025,0.0336022414,0.0201790053,0.0703076646,0.123827659,-0.0699859336,-0.384638757,-0.0280563962,-0.175337687,0.184785098,0.0185539257,0.0380690955,0.116902448,-0.124484882,-0.447841197,-0.0691862628,-0.261175573,-0.175189704,0.0168369953,0.0267818104,0.0207283609,-0.126946405,-0.19893828,-0.0410423875,-0.201950416,-0.172552854,-0.290278941,-0.211188957,-0.072953932,-0.0569321439,-0.0940306634,0.00552420365,-0.180929512,-0.143897936,-0.255056381,-0.192520365,-0.0257787779,0.147456825,0.17610465,0.167845562,0.172960088,0.137777865,0.0985388085,0.104889333,0.153370872,0.0783857703,0.123834051,0.107431546,0.0944769606,0.0891472101,-0.00996054895,-0.00135563873,0.090872854,0.479606539,0.278829694,0.19523783,0.0239520296,-0.0263857115,-0.00724829501,0.0139596732,0.155014649,0.563399434,0.221150145,0.257409245,0.0778716877,0.0158092398,0.0259596352,0.0195633862,-0.0518980399,-0.218544617,-0.479740113,-0.14042449,-0.408616751,-0.275505036,-0.0753336176,-0.0737914816,0.0825278684,-0.383387387,-0.672167003,-0.306785882,-0.478158116,-0.234653413,-0.217535958,-0.209650218,0.241862029,0.136277005,-0.0717534274,0.119579419,-0.125946626,-0.147680134,-0.127330571,-0.0705538988,-0.0123232473,0.108810969,-0.203021362,0.0716951936,-0.154471889,-0.12208923,-0.182308033,-0.138821512,-0.00386377005
B2:1,1,5.38132906,5.38133049,0.041067183,-0.0281185936,0.0525713637,0.0609159842,0.0511311442,0.00564144924,0.0135108726,0.0861040503,0.071104683,-0.00273052161,0.109455951,0.147486135,0.119286843,0.042521026,0.0554453395,0.120429195,0.290064007,0.145244688,0.14870064,0.0154167293,0.00632353313,-0.0431198515,-0.00206473796,0.0311366953,0.480544209,0.261458427,0.232090041,0.069095321,0.027676845,0.0175191071,0.0627719685,0.125394702,-0.05079896,-0.246596992,-0.0147952661,-0.0251439232,0.0244022589,0.0147312097,0.0301523358,0.126901969,-0.0898394212,-0.298742235,-0.0386133865,-0.086709924,-0.0828199759,0.0136147337,0.0228210725,0.0263094436,-0.102579147,-0.14789398,-0.031449683,-0.130410686,-0.120100386,-0.248947144,-0.187721804,-0.0621969104,-0.0456152894,-0.0708972067,0.00425095949,-0.122124538,-0.100469746,-0.219253957,-0.174528286,-0.0307897627,0.112972312,0.00374514726,0.131921977,0.139726669,0.114317492,0.0754235014,0.0799591765,0.136988029,0.0564769544,-7.76740708e-05,0.0795904174,0.0715196654,0.0708200485,-0.00706920633,-0.000969616347,0.0813416168,0.390186191,0.202684507,0.156017363,0.0180293713,-0.020415809,-0.00624678284,0.0124087837,0.170501813,0.466176629,0.166848108,0.205695897,0.0559599809,0.0120516708,0.0223805644,0.0175136384,-0.045778282,-0.145811021,-0.287960857,-0.0611008853,-0.107115358,-0.136070743,-0.0589850917,-0.0600037314,0.104804017,-0.267233133,-0.404229611,-0.138033926,-0.0799283311,-0.0489853099,-0.168430403,-0.162214115,0.307310909,0.10981033,-0.054745499,0.0910660028,-0.085921973,-0.103618398,-0.10942319,-0.0631314814,-0.0153118642,0.0870327353,-0.151517928,0.0530747734,-0.0958513767,-0.075263299,-0.15313834,-0.119705439,-0.00341474824
B2:70,2,19.1087818,19.1087837,0.220048577,0.413360894,0.141835466,0.125404626,0.107843488,0.189476267,0.154556602,0.0519052371,0.260016471,0.36553514,0.156618029,0.121306844,0.101388633,0.250497937,0.218645811,0.0738538504,0.0931584314,0.64226526,0.478203297,0.393709302,0.194750428,0.27317974,0.245060787,0.0239238944,-0.00410282053,0.528390825,0.384803265,0.318379551,0.145125926,0.284743607,0.297136635,0.158954844,0.00854881015,-0.17353566,-0.00210818276,-0.0686294064,0.138803795,0.007281275,0.00248422567,0.0451131612,0.0117628835,-0.154851124,0.00112999056,-0.103248514,-0.0900191218,0.00848696195,0.00297223288,0.0304158982,0.0129177961,0.564355552,0.408230186,0.24687767,0.0592589341,0.146476418,0.148818448,0.0433212854,-0.0122140842,0.642836809,0.387147516,0.160682216,0.0611027144,0.17114383,0.173380882,0.0330056809,0.266700864,0.353013456,0.160683528,0.135245278,0.126099005,0.260966808,0.22907123,0.0879887119,0.274655193,0.370584428,0.182718679,0.161893487,0.158670858,0.283426344,0.244767636,0.0943254009,0.054428447,0.496537507,0.385969341,0.341104954,0.16512768,0.21279867,0.183215663,0.0562769286,-0.0631177723,0.216231421,0.264012218,0.230910644,0.096891202,0.152166829,0.14408718,-0.020456519,0.00290081347,-0.190154582,-0.0223650709,-0.213882715,-0.0633327439,0.0138550354,0.0110470755,0.0598839298,0.0167113598,-0.154012397,-0.0194478873,-0.11698626,0.0690751448,0.0153610855,0.0115292622,0.0501348563,-0.000928043213,0.540869772,0.368019581,0.187234998,0.0783140957,0.128533125,0.139987692,0.0330234282,-0.0279749483,0.410840243,0.353707701,0.229500383,0.208319068,0.109006532,0.125522092,0.0147685958
B2:71,2,21.6778526,21.6778564,0.218643218,0.37395519,0.140674546,0.124350548,0.106930681,0.188204229,0.153693721,0.051303748,0.256807476,0.318973333,0.154137447,0.119471386,0.0998805016,0.246975243,0.216076866,0.0736815706,0.136244744,0.813609958,0.592873752,0.486540586,0.241301,0.393764317,0.362112969,0.0441694595,-0.00555625092,0.644285142,0.465756536,0.389013529,0.223900348,0.388975233,0.405459166,0.248128057,-0.0701561719,-0.311174244,-0.00275228405,-0.0817001536,0.164171964,-0.0230749734,-0.00739653315,0.0246988665,-0.0383664966,-0.242844626,0.00143544888,-0.122964971,-0.120207421,-0.0156093333,-0.0123059507,-0.00123675284,0.0189834554,0.734554529,0.483475804,0.290846795,0.0690549612,0.215674981,0.209721595,0.0706850216,-0.0160701126,0.790577054,0.449047416,0.186534002,0.0721195638,0.240889072,0.256581724,0.0522256829,0.264463812,0.331029713,0.158803254,0.133814916,0.124199428,0.258075386,0.227070227,0.0870587975,0.27519083,0.359961599,0.181383565,0.160804868,0.157186359,0.281824231,0.243212774,0.0941872448,0.0759115145,0.603346646,0.469194531,0.419371992,0.203505635,0.300990373,0.271375477,0.1033279,-0.100608133,0.281930834,0.333377331,0.284282446,0.122547127,0.226048261,0.217474252,-0.0472947545,-0.0600545816,-0.279292971,-0.0287028328,-0.253039509,-0.0777241513,-0.0203375295,-0.0241032075,0.0230197646,-0.0880098641,-0.283035576,-0.0261087529,-0.13765505,0.0873443484,-0.0241276324,-0.000912112126,0.0367606468,-0.00126279856,0.648238897,0.438347399,0.220665917,0.0906201601,0.189183831,0.225032836,0.0637217015,-0.043429736,0.547839105,0.428277016,0.273205578,0.248883128,0.163118735,0.166010588,0.021781275
B2:121,1,3.88312793,3.88312602,0.0608452782,-0.096359849,0.0746044368,0.0829671323,0.069017835,0.00844282843,0.020340506,0.10158892,0.109875992,-0.0964189246,0.16413644,0.208265871,0.16367197,0.0667291656,0.0872665644,0.145624012,0.312063456,0.141763121,0.152366608,0.0163580328,0.00666715577,-0.0472005345,-0.0022608547,0.0340868011,0.519874334,0.250210226,0.235998049,0.0715166479,0.0321803093,0.0192260817,0.0695611611,0.172050893,-0.0780188963,-0.411722153,-0.027981475,-0.144264042,0.160912856,0.02077098,0.0435216464,0.187819123,-0.140857577,-0.48429063,-0.0691220239,-0.205392003,-0.154450729,0.0189248733,0.0307921004,0.0330429859,-0.115291819,-0.144516289,-0.0323801041,-0.135104716,-0.126123875,-0.282004565,-0.213502094,-0.0729378462,-0.051414419,-0.0692215562,0.00422052434,-0.112866044,-0.0962217823,-0.246349037,-0.19306609,-0.0357775949,0.175645038,0.256505847,0.192182466,0.193331659,0.152437702,0.115281381,0.122379124,0.18623586,0.098344624,0.198974505,0.127155215,0.108669437,0.101765655,-0.0123438509,-0.00165987911,0.117978692,0.430693865,0.205727026,0.163828105,0.0192123428,-0.0218892042,-0.00695631374,0.0137698874,0.198553681,0.509755194,0.168416202,0.214313522,0.0591330715,0.0118185496,0.0249640867,0.0195626449,-0.0501133576,-0.262447119,-0.540838063,-0.15582794,-0.320263892,-0.280151695,-0.0883990303,-0.0856146589,0.137803212,-0.447276294,-0.748124301,-0.338626146,-0.397796273,-0.200014904,-0.252256155,-0.241752073,0.260018408,0.124967024,-0.0546766706,0.0956459641,-0.0818331316,-0.0939550772,-0.124478549,-0.0708457828,-0.0161908641,0.10069336,-0.155224681,0.0582502149,-0.103616938,-0.0820162669,-0.179842457,-0.140757874,-0.00374305714
B2:122,1,5.14588213,5.14587927,0.0596877635,-0.0922781304,0.0720354542,0.0807498321,0.0673651993,0.00834375154,0.0201424453,0.101067945,0.107636556,-0.0919419229,0.157165274,0.20129022,0.158945292,0.065729104,0.0860455707,0.1442011,0.247549012,0.0663427487,0.109994024,0.0115318792,0.00495655229,-0.0380525403,-0.0018607754,0.0287986659,0.41318807,0.115263127,0.172398016,0.0505611375,0.0231201854,0.0153653948,0.056024462,0.141864568,-0.066304788,-0.327807009,-0.0213770196,-0.079727456,0.100351505,0.018025117,0.0378315784,0.174389213,-0.12025594,-0.392188728,-0.0532437041,-0.110139862,-0.0883949324,0.0165708326,0.0269250609,0.0294769574,-0.0911504999,-0.0768197626,-0.0227467585,-0.0812336877,-0.0794598609,-0.226917773,-0.175293773,-0.0624618307,-0.0401006825,-0.0374550447,0.00288689137,-0.0595288649,-0.0561387986,-0.196183875,-0.155205682,-0.0302921273,0.171245307,0.228169754,0.183979362,0.18674159,0.148204967,0.113538347,0.120684728,0.186731413,0.0957837403,0.176840454,0.122346111,0.1050855,0.0975311175,-0.0121782683,-0.00164441206,0.1171434,0.341459572,0.106466271,0.117200784,0.0134696318,-0.0156762861,-0.00559249427,0.0112677468,0.167868748,0.411798328,0.09919779,0.161536336,0.0424515158,0.00888415333,0.0201049931,0.0159178469,-0.0361260548,-0.221140772,-0.423726916,-0.121057607,-0.176228791,-0.09049429,-0.0770878643,-0.0755731463,0.125620887,-0.377967685,-0.588608027,-0.267331213,-0.264951944,-0.0350513756,-0.218958035,-0.213424474,0.365398973,0.0985839516,-0.030606756,0.0680068359,-0.0477175228,-0.0530881025,-0.100696258,-0.0579351373,-0.0140181724,0.0796767846,-0.0889770165,0.041505482,-0.0638975501,-0.0470607094,-0.145026013,-0.115202904,-0.00323273381
B2:135,1,3.78446817,3.78446722,0.062263187,-0.100880735,0.0748583376,0.0831040964,0.0692781061,0.00853472855,0.0205451287,0.102355443,0.113720298,-0.104223177,0.165222719,0.208635345,0.163607091,0.0677594468,0.088431783,0.146859214,0.309834033,0.140660182,0.154830739,0.0169603638,0.00687406072,-0.0470337979,-0.00225241156,0.0335454158,0.515601158,0.247645527,0.239790961,0.0735144168,0.0303951409,0.0191327035,0.0695803836,0.173866317,-0.078365691,-0.411340296,-0.029349735,-0.166806743,0.181583434,0.0208094306,0.0434212349,0.186410874,-0.141521871,-0.48359105,-0.0722539127,-0.231083035,-0.160627216,0.0189721193,0.0309858676,0.0333872996,-0.114361286,-0.143718332,-0.0329344384,-0.144467801,-0.132379755,-0.280205995,-0.21284622,-0.0724107698,-0.0510911755,-0.0684990808,0.00432561897,-0.121308528,-0.101762101,-0.245266125,-0.192776263,-0.0358745009,0.181546658,0.288550973,0.193642929,0.194335327,0.153693631,0.117153727,0.124109164,0.189888537,0.101208985,0.217242822,0.127930939,0.109031513,0.101823665,-0.0125276092,-0.00168503891,0.118857779,0.429244131,0.203589529,0.167766437,0.0199604649,-0.0223454442,-0.00694965618,0.0136323385,0.180532604,0.505053759,0.167836577,0.215394542,0.060353443,0.0122813638,0.0247645564,0.0193661228,-0.0488736182,-0.2643058,-0.540616512,-0.162541986,-0.336938381,-0.29775095,-0.0883969739,-0.0855180323,0.128189206,-0.451808423,-0.753447175,-0.355249137,-0.48415786,-0.231284946,-0.252863169,-0.241858765,0.39468202,0.124448344,-0.0541000031,0.0982854366,-0.0878421664,-0.105882108,-0.124067068,-0.070450969,-0.0163550172,0.100240782,-0.155415967,0.059421733,-0.111774437,-0.0855340958,-0.179261297,-0.140462548,-0.00385536929
B2:149,1,3.83407593,3.83407426,0.0625343025,-0.101683088,0.074919641,0.0831658915,0.0693808123,0.00854795799,0.0205685329,0.102378987,0.114147253,-0.104885809,0.165317684,0.208784446,0.164359435,0.0679115951,0.0885750055,0.146926135,0.302276373,0.140283048,0.147290513,0.0160737559,0.00650620088,-0.0461036041,-0.00221451209,0.0331408232,0.501268089,0.246930704,0.228163674,0.0697886348,0.0316806808,0.0186400805,0.0677244514,0.1661513,-0.0776203424,-0.415743262,-0.0279183593,-0.149854437,0.175695881,0.0205320101,0.0430133641,0.186591953,-0.139418319,-0.484159708,-0.0686894134,-0.211250156,-0.148818001,0.0186685827,0.0305085387,0.0327795297,-0.111845717,-0.143902913,-0.0309244562,-0.131194174,-0.120679721,-0.275255769,-0.208863258,-0.0720912442,-0.0496944338,-0.0680778548,0.00405797316,-0.109182782,-0.0913598016,-0.239780843,-0.18987672,-0.0360331796,0.182208732,0.29092592,0.193743289,0.194556639,0.154082686,0.117416397,0.12444561,0.190167859,0.101651452,0.219624445,0.128028199,0.10912995,0.102259204,-0.0125500448,-0.00168806652,0.118982673,0.417876065,0.201433301,0.160012513,0.0189679414,-0.0193630867,-0.00680153351,0.0135366526,0.188190579,0.493466169,0.166749403,0.20471929,0.0568681285,0.0104901167,0.0242635719,0.0191019494,-0.0495564751,-0.259522468,-0.538555622,-0.15304786,-0.328522354,-0.280605018,-0.0869535953,-0.0854584277,0.138085976,-0.446543396,-0.757837772,-0.334488869,-0.44766283,-0.19016932,-0.246948108,-0.234462395,0.226143688,0.121125266,-0.0535940602,0.0925884247,-0.0800629258,-0.0978862718,-0.121467091,-0.0697964579,-0.0163334366,0.0980431139,-0.154938176,0.0560110435,-0.101667523,-0.0805971175,-0.17601563,-0.138507709,-0.00383770349
B2:165,1,3.30341935,3.30341911,0.0623696037,-0.101660155,0.0747091398,0.0828216895,0.068765536,0.00852827076,0.0205181781,0.102164477,0.113487735,-0.104168274,0.164817661,0.207980752,0.163399413,0.0676742122,0.0882352218,0.146512851,0.338542134,0.143578947,0.17355974,0.0192844421,0.00773179391,-0.0499282107,-0.0023764316,0.0355636775,0.564184487,0.254039496,0.269088089,0.0838659704,0.0371772163,0.0204008352,0.0733761191,0.178432554,-0.0830058232,-0.416018218,-0.0330535173,-0.204458818,0.225358263,0.0215572882,0.0448864214,0.192412198,-0.149474412,-0.489343941,-0.0806747749,-0.282797843,-0.200495586,0.0196509976,0.0319116339,0.0352045521,-0.12503618,-0.143304944,-0.0382095017,-0.177210137,-0.159548461,-0.297344476,-0.223806307,-0.0759960338,-0.0561454706,-0.0690077618,0.00507428031,-0.153715774,-0.12575385,-0.261528999,-0.203244641,-0.0375439189,0.180885479,0.286108226,0.193408296,0.194168374,0.153563291,0.117094375,0.124080278,0.189795539,0.101238444,0.219331756,0.127795264,0.108800113,0.10239888,-0.0125209941,-0.0016842155,0.11867778,0.46921578,0.207421646,0.188001782,0.0226249434,-0.0251987278,-0.00739384629,0.0145135783,0.205285922,0.546707988,0.168171138,0.241720527,0.0702583864,0.0143974544,0.0262080878,0.0203397162,-0.0505297482,-0.279379845,-0.544347882,-0.180966854,-0.447997361,-0.385960728,-0.091417335,-0.0879614279,0.124788597,-0.477859855,-0.759119868,-0.393726408,-0.572413445,-0.265527785,-0.261621684,-0.250343889,0.415677428,0.135609448,-0.0543100126,0.112713821,-0.108005278,-0.126109987,-0.131476551,-0.0739597529,-0.0173552204,0.108803414,-0.153454393,0.0682208911,-0.136181146,-0.105856188,-0.189431265,-0.146968395,-0.00399845839
B2:211,5,1.60587132,1.60587192,-0.0920542702,0.066203855,-0.0360760801,-0.000987106352,-0.0538163036,-0.184132546,-0.162785545,-0.0974570662,-0.0641814992,0.0797181204,-0.0054309573,0.0455478989,-0.0626484156,-0.197462231,-0.182548493,-0.116260782,-0.209060624,0.0444693379,0.131878868,0.13129811,0.0555391386,-0.0504157469,-0.0178638306,0.0312025547,-0.179178223,0.0794830844,0.126265481,0.107697919,0.0559076183,-0.0359399468,-0.00856972765,-0.0585938841,-0.157754511,0.0582222231,0.296875894,0.338287413,0.23082526,0.0687550232,0.0444717295,0.027081931,-0.145249695,0.0764025822,0.284741193,0.331487715,0.178141758,0.0710823238,0.107696675,-0.122877181,-0.27068904,0.156848252,0.170892924,0.152537346,0.0643847212,-0.0549914986,-0.010762644,-0.0152972648,-0.257781535,0.164570287,0.166852668,0.143936545,0.0628198534,-0.0458648652,-0.0017053358,0.016062798,-0.123850457,0.0878105834,-0.00222202623,0.0433878265,-0.0527281649,-0.222641826,-0.201142684,-0.127918735,-0.144435033,0.0875868425,-0.011763921,0.0248444602,-0.089181304,-0.222152978,-0.201516479,-0.106613517,-0.208773986,0.0816255659,0.131689996,0.114414595,0.0427938178,-0.0484872982,-0.00908749178,0.0748488083,-0.216503888,0.155203953,0.123341046,0.111897133,0.0648836419,-0.0413732864,-0.00469653076,0.0698940977,-0.183334559,0.146738693,0.365731418,0.348453015,0.287679046,0.0832832903,0.0331801176,0.144829154,-0.166876808,0.188685596,0.422629535,0.360920846,0.177127197,0.131030649,0.141418144,-0.511014581,-0.274876207,0.176218763,0.140027463,0.122424424,0.0713178143,-0.0658479109,-0.0202287603,-0.0332724452,-0.290437073,0.232141674,0.173129037,0.153567493,0.107006058,-0.0589198023,-0.0130656995,0.0748135373
