experiment_id,model,protocol,test_batch,gas_class,precision,recall,f1,support
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,2,1,0.42021276595744683,0.9634146341463414,0.5851851851851851,164
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,2,2,0.9873015873015873,0.9311377245508982,0.9583975346687211,334
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,2,3,0.9459459459459459,0.7,0.8045977011494253,100
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,2,4,0.0,0.0,0.0,109
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,2,5,1.0,0.881578947368421,0.9370629370629371,532
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,2,6,0.5555555555555556,1.0,0.7142857142857143,5
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,3,1,0.4304878048780488,0.9671232876712329,0.5957805907172996,365
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,3,2,0.8404802744425386,1.0,0.9133271202236719,490
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,3,3,0.8461538461538461,0.05092592592592592,0.09606986899563319,216
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,3,4,0.0,0.0,0.0,240
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,3,5,1.0,0.5236363636363637,0.6873508353221957,275
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,3,6,0.0,0.0,0.0,0
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,4,1,0.589041095890411,0.671875,0.6277372262773723,64
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,4,2,0.5060240963855421,0.9767441860465116,0.6666666666666666,43
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,4,3,1.0,0.16666666666666666,0.2857142857142857,12
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,4,4,0.0,0.0,0.0,30
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,4,5,0.0,0.0,0.0,12
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,4,6,0.0,0.0,0.0,0
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,5,1,0.1830065359477124,1.0,0.30939226519337015,28
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,5,2,0.9512195121951219,0.975,0.9629629629629629,40
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,5,3,1.0,0.1,0.18181818181818182,20
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,5,4,0.0,0.0,0.0,46
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,5,5,0.0,0.0,0.0,63
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,5,6,0.0,0.0,0.0,0
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,6,1,0.3797564687975647,0.9708171206225681,0.5459518599562363,514
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,6,2,0.7860082304526749,0.9982578397212544,0.8795088257866462,574
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,6,3,0.00392156862745098,0.00909090909090909,0.005479452054794521,110
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,6,4,0.0,0.0,0.0,29
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,6,5,0.0,0.0,0.0,606
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,6,6,0.0,0.0,0.0,467
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,7,1,0.3179813816756492,1.0,0.48252788104089217,649
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,7,2,0.5762859633827376,0.9984894259818731,0.7307904919845218,662
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,7,3,0.5788235294117647,0.6833333333333333,0.6267515923566879,360
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,7,4,0.0,0.0,0.0,744
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,7,5,0.0,0.0,0.0,630
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,7,6,0.0,0.0,0.0,568
