model,performance_metric,n,coefficient,p_value,ci,limitation
MODEL-C1,accuracy,9,-0.15,0.7000942309691418,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C1,macro_f1,9,-0.26666666666666666,0.48792227483870076,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C1,balanced_accuracy,9,-0.06666666666666667,0.8646897846262036,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C2,accuracy,9,0.26666666666666666,0.48792227483870076,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C2,macro_f1,9,0.2833333333333333,0.46003032896572005,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C2,balanced_accuracy,9,0.35,0.35581957250178897,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C3,accuracy,9,-0.3666666666666667,0.3317398014330152,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C3,macro_f1,9,-0.35,0.35581957250178897,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C3,balanced_accuracy,9,-0.5166666666666667,0.15439012098622507,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C4,accuracy,9,-0.016666666666666666,0.9660548039946862,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C4,macro_f1,9,0.09999999999999999,0.797971695234851,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
MODEL-C4,balanced_accuracy,9,0.18333333333333335,0.6368198117628943,NOT_CALCULATED_N_EQ_9,"Nine batches; exploratory association, non-causal."
