experiment_id,model,protocol,test_batch,accuracy,macro_f1,balanced_accuracy,macro_precision,macro_recall
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,2,0.8143086816720257,0.6665881787253305,0.7460218843442767,0.6515026424600893,0.7460218843442767
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,3,0.8669609079445145,0.7174558870157693,0.8794132909563437,0.7385232673612149,0.7328444091302865
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,4,0.7515527950310559,0.7711607633558852,0.8334786821705424,0.8041784302653868,0.8334786821705424
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,5,0.9796954314720813,0.9801114100387445,0.9793029675638371,0.9813670035263768,0.9793029675638371
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,6,0.7747826086956522,0.6571909808818416,0.8076293405313634,0.6456985776441043,0.8076293405313634
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,7,0.8333794630500969,0.8263977468379266,0.8496262993431611,0.8792932020114878,0.8496262993431611
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,8,0.9183673469387755,0.8899712246529033,0.8941886816886817,0.9019148678880221,0.8941886816886817
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,9,0.7702127659574468,0.7551893873201845,0.8171230527844715,0.8092930965057491,0.8171230527844715
BASE-EXPAND-C1-001,MODEL-C1,EXPANDING_WINDOW,10,0.7163888888888889,0.7079925811696081,0.716388888888889,0.7399880560771291,0.716388888888889
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,2,0.702572347266881,0.6672518922809217,0.720263992462535,0.6631753512188295,0.720263992462535
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,3,0.9255989911727617,0.9197657660171,0.9182364743323648,0.9238417726917139,0.9182364743323648
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,4,0.84472049689441,0.7865945478621534,0.8168749999999999,0.8332844932844934,0.8168749999999999
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,5,0.9137055837563451,0.9040075853583399,0.9069979296066253,0.9159208111627144,0.9069979296066253
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,6,0.71,0.6235825566215175,0.7628945151595653,0.6300342921097645,0.7628945151595653
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,7,0.7520066426792139,0.719825052250214,0.7597143236357801,0.7834888012144865,0.7597143236357801
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,8,0.8503401360544217,0.703842557846086,0.7131863506863506,0.871063091903428,0.7131863506863506
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,9,0.9276595744680851,0.9345988837267906,0.9416061606160616,0.9402022593781626,0.9416061606160616
BASE-EXPAND-C2-001,MODEL-C2,EXPANDING_WINDOW,10,0.6108333333333333,0.6097064698704796,0.6108333333333333,0.647669732704358,0.6108333333333333
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,2,0.7130225080385852,0.570004769259148,0.6097727607924214,0.6065846941010447,0.6097727607924214
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,3,0.9344262295081968,0.9312918434353102,0.935644691721991,0.9328532623520651,0.935644691721991
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,4,0.8757763975155279,0.901838022165388,0.8944525193798448,0.925027225027225,0.8944525193798448
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,5,0.9593908629441624,0.9591585363155681,0.9598412698412698,0.9599205143191117,0.9598412698412698
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,6,0.7395652173913043,0.6333471984247794,0.7830683319148765,0.625318598701619,0.7830683319148765
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,7,0.8771104345419319,0.8779730668371561,0.8870440384240931,0.9022038312194219,0.8870440384240931
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,8,0.9149659863945578,0.8998887521886839,0.8778457653457653,0.9359896096912106,0.8778457653457653
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,9,0.7723404255319148,0.7509065506232454,0.8198318621269441,0.7195381217822564,0.8198318621269441
BASE-EXPAND-C3-001,MODEL-C3,EXPANDING_WINDOW,10,0.73,0.7282779934628056,0.7300000000000001,0.7954118750930572,0.7300000000000001
BASE-EXPAND-C4-001,MODEL-C4,EXPANDING_WINDOW,2,0.867363344051447,0.7043232207051976,0.8070084386517631,0.6568179270185062,0.8070084386517631
BASE-EXPAND-C4-001,MODEL-C4,EXPANDING_WINDOW,3,0.757250945775536,0.5985358935761788,0.7791682579216826,0.6788015827594186,0.6493068816014022
BASE-EXPAND-C4-001,MODEL-C4,EXPANDING_WINDOW,4,0.8944099378881988,0.8605790291376207,0.9043749999999999,0.8728924876293297,0.9043749999999999
BASE-EXPAND-C4-001,MODEL-C4,EXPANDING_WINDOW,5,0.9847715736040609,0.9826028377752516,0.9824775707384402,0.9834920634920635,0.9824775707384402
BASE-EXPAND-C4-001,MODEL-C4,EXPANDING_WINDOW,6,0.7717391304347826,0.6632876380082521,0.8001936653808359,0.828007039127181,0.8001936653808359
