feature,sensor,drift_score,importance_score,importance_method,rank_drift,rank_importance,quadrant
1,1,0.5254393528837709,0.007285860007321632,permutation_importance_macro_f1_on_batch_2,99,8,HIGH_IMPORTANCE_LOW_DRIFT
2,1,0.7384030142012573,-0.008599420362840005,permutation_importance_macro_f1_on_batch_2,58,121,LOW_IMPORTANCE_HIGH_DRIFT
3,1,0.4824735177170343,0.0026613434634454427,permutation_importance_macro_f1_on_batch_2,108,21,HIGH_IMPORTANCE_LOW_DRIFT
4,1,0.46708844920624704,-0.0005013746901369798,permutation_importance_macro_f1_on_batch_2,115,85,LOW_IMPORTANCE_LOW_DRIFT
5,1,0.4064827899116062,0.0020373188002532627,permutation_importance_macro_f1_on_batch_2,123,28,HIGH_IMPORTANCE_LOW_DRIFT
6,1,0.5008291643907641,0.010769034433772395,permutation_importance_macro_f1_on_batch_2,104,5,HIGH_IMPORTANCE_LOW_DRIFT
7,1,0.4463560745899392,0.004537956468819182,permutation_importance_macro_f1_on_batch_2,118,13,HIGH_IMPORTANCE_LOW_DRIFT
8,1,0.4176730750938779,0.014340487999871842,permutation_importance_macro_f1_on_batch_2,122,1,HIGH_IMPORTANCE_LOW_DRIFT
9,2,0.46915345173985545,-0.00015011312781465502,permutation_importance_macro_f1_on_batch_2,113,77,LOW_IMPORTANCE_LOW_DRIFT
10,2,0.9184991545420641,-0.002860971553738989,permutation_importance_macro_f1_on_batch_2,44,116,LOW_IMPORTANCE_HIGH_DRIFT
11,2,0.42036496350416835,-0.0022355335445895406,permutation_importance_macro_f1_on_batch_2,121,110,LOW_IMPORTANCE_LOW_DRIFT
12,2,0.3996126680711287,0.0047831684531354,permutation_importance_macro_f1_on_batch_2,124,11,HIGH_IMPORTANCE_LOW_DRIFT
13,2,0.3437767009865801,0.0006704650948297752,permutation_importance_macro_f1_on_batch_2,128,41,HIGH_IMPORTANCE_LOW_DRIFT
14,2,0.4427195949427792,0.011207615999981324,permutation_importance_macro_f1_on_batch_2,119,3,HIGH_IMPORTANCE_LOW_DRIFT
15,2,0.3680997558583339,-0.0012093606092641984,permutation_importance_macro_f1_on_batch_2,127,96,LOW_IMPORTANCE_LOW_DRIFT
16,2,0.4973517517622283,0.010831574635167106,permutation_importance_macro_f1_on_batch_2,106,4,HIGH_IMPORTANCE_LOW_DRIFT
17,3,0.5575198855189595,-0.010668831304740767,permutation_importance_macro_f1_on_batch_2,90,123,LOW_IMPORTANCE_LOW_DRIFT
18,3,0.48121150973854604,-0.001956435972032122,permutation_importance_macro_f1_on_batch_2,110,107,LOW_IMPORTANCE_LOW_DRIFT
19,3,0.7927433840554197,-0.0013583290134089765,permutation_importance_macro_f1_on_batch_2,51,99,LOW_IMPORTANCE_HIGH_DRIFT
20,3,1.0774483282724188,-0.011078400348161299,permutation_importance_macro_f1_on_batch_2,35,125,LOW_IMPORTANCE_HIGH_DRIFT
21,3,1.2250864216385677,-0.0019150694266166113,permutation_importance_macro_f1_on_batch_2,29,106,LOW_IMPORTANCE_HIGH_DRIFT
22,3,0.5340011028342665,0.0007417437156011841,permutation_importance_macro_f1_on_batch_2,96,39,HIGH_IMPORTANCE_LOW_DRIFT
23,3,0.5866158755939559,-0.01257665275585318,permutation_importance_macro_f1_on_batch_2,79,127,LOW_IMPORTANCE_LOW_DRIFT
24,3,1.5282187899461548,0.0024109205234284837,permutation_importance_macro_f1_on_batch_2,20,25,HIGH_IMPORTANCE_HIGH_DRIFT
25,4,0.5784082429306024,0.0014068103684080624,permutation_importance_macro_f1_on_batch_2,84,32,HIGH_IMPORTANCE_LOW_DRIFT
26,4,0.5184448087310649,0.00017538945127808513,permutation_importance_macro_f1_on_batch_2,101,54,HIGH_IMPORTANCE_LOW_DRIFT
27,4,0.7891820829135007,-0.010926219439188678,permutation_importance_macro_f1_on_batch_2,52,124,LOW_IMPORTANCE_HIGH_DRIFT
28,4,1.0956086240347263,-0.001683154245957752,permutation_importance_macro_f1_on_batch_2,33,100,LOW_IMPORTANCE_HIGH_DRIFT
29,4,1.422099946288922,-0.0025784168718747226,permutation_importance_macro_f1_on_batch_2,26,115,LOW_IMPORTANCE_HIGH_DRIFT
30,4,0.5704322390824665,0.000493911274243497,permutation_importance_macro_f1_on_batch_2,89,44,HIGH_IMPORTANCE_LOW_DRIFT
31,4,0.6500575095917767,0.0007412707988541101,permutation_importance_macro_f1_on_batch_2,70,40,HIGH_IMPORTANCE_LOW_DRIFT
32,4,1.932365301965883,0.0,permutation_importance_macro_f1_on_batch_2,6,59,HIGH_IMPORTANCE_HIGH_DRIFT
33,5,0.4824440901304381,0.004156467771476135,permutation_importance_macro_f1_on_batch_2,109,16,HIGH_IMPORTANCE_LOW_DRIFT
34,5,0.7947052531648572,0.00025487334314631125,permutation_importance_macro_f1_on_batch_2,50,48,HIGH_IMPORTANCE_HIGH_DRIFT
35,5,0.7862837679612211,-0.00019624042320853796,permutation_importance_macro_f1_on_batch_2,53,80,LOW_IMPORTANCE_HIGH_DRIFT
36,5,1.5245439697646601,-0.001849118882637324,permutation_importance_macro_f1_on_batch_2,21,105,LOW_IMPORTANCE_HIGH_DRIFT
37,5,2.1576489311633362,-0.0023104963063821813,permutation_importance_macro_f1_on_batch_2,3,112,LOW_IMPORTANCE_HIGH_DRIFT
38,5,0.4743915716935068,-4.914663156192489e-05,permutation_importance_macro_f1_on_batch_2,112,73,LOW_IMPORTANCE_LOW_DRIFT
39,5,0.4852522134637052,-0.00019647102300077713,permutation_importance_macro_f1_on_batch_2,107,81,LOW_IMPORTANCE_LOW_DRIFT
40,5,1.4968587621736669,-0.0009114057427754618,permutation_importance_macro_f1_on_batch_2,23,91,LOW_IMPORTANCE_HIGH_DRIFT
41,6,0.5272605242015291,0.0017054505316012936,permutation_importance_macro_f1_on_batch_2,97,31,HIGH_IMPORTANCE_LOW_DRIFT
42,6,2.138455736972184,-0.0007348954975824551,permutation_importance_macro_f1_on_batch_2,4,89,LOW_IMPORTANCE_HIGH_DRIFT
43,6,0.5763206571343817,-0.0017531419414206662,permutation_importance_macro_f1_on_batch_2,86,103,LOW_IMPORTANCE_LOW_DRIFT
44,6,0.9790998785889197,0.0044326617694855795,permutation_importance_macro_f1_on_batch_2,41,14,HIGH_IMPORTANCE_HIGH_DRIFT
45,6,1.5009184891447527,0.002316494475297004,permutation_importance_macro_f1_on_batch_2,22,27,HIGH_IMPORTANCE_HIGH_DRIFT
46,6,0.5721704908580747,-0.0013180076213719304,permutation_importance_macro_f1_on_batch_2,88,98,LOW_IMPORTANCE_LOW_DRIFT
47,6,0.5198905459412199,0.0,permutation_importance_macro_f1_on_batch_2,100,59,HIGH_IMPORTANCE_LOW_DRIFT
48,6,1.0350671000870924,0.00031519889262698886,permutation_importance_macro_f1_on_batch_2,36,46,HIGH_IMPORTANCE_HIGH_DRIFT
49,7,0.7225811287411043,0.005113256143407141,permutation_importance_macro_f1_on_batch_2,60,10,HIGH_IMPORTANCE_HIGH_DRIFT
50,7,0.6743755646746111,0.0001928800812494913,permutation_importance_macro_f1_on_batch_2,66,53,HIGH_IMPORTANCE_LOW_DRIFT
51,7,1.0919342158296044,-0.00017754450821778623,permutation_importance_macro_f1_on_batch_2,34,79,LOW_IMPORTANCE_HIGH_DRIFT
52,7,1.434820092418418,-0.0009412833826675903,permutation_importance_macro_f1_on_batch_2,24,92,LOW_IMPORTANCE_HIGH_DRIFT
53,7,1.4266076356618633,-0.0018054271665116418,permutation_importance_macro_f1_on_batch_2,25,104,LOW_IMPORTANCE_HIGH_DRIFT
54,7,0.6278140339878677,0.0006616727432589009,permutation_importance_macro_f1_on_batch_2,74,42,HIGH_IMPORTANCE_LOW_DRIFT
55,7,0.7101793656794277,-0.0006635294298740435,permutation_importance_macro_f1_on_batch_2,62,88,LOW_IMPORTANCE_HIGH_DRIFT
56,7,1.723157772906927,0.0023904600339150982,permutation_importance_macro_f1_on_batch_2,10,26,HIGH_IMPORTANCE_HIGH_DRIFT
57,8,0.7767094574140894,0.00021749270997715176,permutation_importance_macro_f1_on_batch_2,55,50,HIGH_IMPORTANCE_HIGH_DRIFT
58,8,0.8063544162357033,0.0019989649204660287,permutation_importance_macro_f1_on_batch_2,46,29,HIGH_IMPORTANCE_HIGH_DRIFT
59,8,1.156421619892595,0.0005438734040878578,permutation_importance_macro_f1_on_batch_2,30,43,HIGH_IMPORTANCE_HIGH_DRIFT
60,8,1.5416381364555418,0.00024782492214789895,permutation_importance_macro_f1_on_batch_2,19,49,HIGH_IMPORTANCE_HIGH_DRIFT
61,8,1.5707311738496366,-0.01233655944225669,permutation_importance_macro_f1_on_batch_2,14,126,LOW_IMPORTANCE_HIGH_DRIFT
62,8,0.6762263797256117,-2.7634565994372196e-05,permutation_importance_macro_f1_on_batch_2,65,69,LOW_IMPORTANCE_LOW_DRIFT
63,8,0.7960879622676295,-5.217119157574501e-05,permutation_importance_macro_f1_on_batch_2,49,74,LOW_IMPORTANCE_HIGH_DRIFT
64,8,2.1736234140459665,8.109763780517198e-07,permutation_importance_macro_f1_on_batch_2,2,58,HIGH_IMPORTANCE_HIGH_DRIFT
65,9,0.535458011821921,-0.007310855960547058,permutation_importance_macro_f1_on_batch_2,95,119,LOW_IMPORTANCE_LOW_DRIFT
66,9,0.5847652962173063,0.0008427175570894452,permutation_importance_macro_f1_on_batch_2,81,37,HIGH_IMPORTANCE_LOW_DRIFT
67,9,0.4805836018101024,-0.0012086313425390793,permutation_importance_macro_f1_on_batch_2,111,95,LOW_IMPORTANCE_LOW_DRIFT
68,9,0.4682330594882993,-0.0017073981352545564,permutation_importance_macro_f1_on_batch_2,114,101,LOW_IMPORTANCE_LOW_DRIFT
69,9,0.3730796352597512,-0.002208566909260856,permutation_importance_macro_f1_on_batch_2,126,109,LOW_IMPORTANCE_LOW_DRIFT
70,9,0.5271411393884494,0.0003149407648883384,permutation_importance_macro_f1_on_batch_2,98,47,HIGH_IMPORTANCE_LOW_DRIFT
71,9,0.44977873997749307,0.004057225312492729,permutation_importance_macro_f1_on_batch_2,117,17,HIGH_IMPORTANCE_LOW_DRIFT
72,9,0.42322410306780217,0.011354330736853834,permutation_importance_macro_f1_on_batch_2,120,2,HIGH_IMPORTANCE_LOW_DRIFT
73,10,0.583138137426762,-0.008761598214749977,permutation_importance_macro_f1_on_batch_2,83,122,LOW_IMPORTANCE_LOW_DRIFT
74,10,0.5909397654017411,0.00020502479038622123,permutation_importance_macro_f1_on_batch_2,78,51,HIGH_IMPORTANCE_LOW_DRIFT
75,10,0.5519445241716688,-0.0006175598078087319,permutation_importance_macro_f1_on_batch_2,92,87,LOW_IMPORTANCE_LOW_DRIFT
76,10,0.5470791891020962,0.00042251766281080626,permutation_importance_macro_f1_on_batch_2,93,45,HIGH_IMPORTANCE_LOW_DRIFT
77,10,0.46387044278893375,-0.0017124267113459491,permutation_importance_macro_f1_on_batch_2,116,102,LOW_IMPORTANCE_LOW_DRIFT
78,10,0.5742296696175819,-0.0023522874816982895,permutation_importance_macro_f1_on_batch_2,87,113,LOW_IMPORTANCE_LOW_DRIFT
79,10,0.5060338383951251,-0.007457027645606895,permutation_importance_macro_f1_on_batch_2,103,120,LOW_IMPORTANCE_LOW_DRIFT
80,10,0.3855788273377786,0.008664534163808524,permutation_importance_macro_f1_on_batch_2,125,7,HIGH_IMPORTANCE_LOW_DRIFT
81,11,0.6122886900978525,0.0011279349342846023,permutation_importance_macro_f1_on_batch_2,75,34,HIGH_IMPORTANCE_LOW_DRIFT
82,11,0.5433039077180044,0.002823976539770068,permutation_importance_macro_f1_on_batch_2,94,19,HIGH_IMPORTANCE_LOW_DRIFT
83,11,0.7763415123119922,-0.00044151197473207837,permutation_importance_macro_f1_on_batch_2,56,84,LOW_IMPORTANCE_HIGH_DRIFT
84,11,0.9205169637413163,-0.004708796626149048,permutation_importance_macro_f1_on_batch_2,43,118,LOW_IMPORTANCE_HIGH_DRIFT
85,11,0.9772133611045548,-0.002478142547812445,permutation_importance_macro_f1_on_batch_2,42,114,LOW_IMPORTANCE_HIGH_DRIFT
86,11,0.5847173477904509,-0.0011249657666916768,permutation_importance_macro_f1_on_batch_2,82,93,LOW_IMPORTANCE_LOW_DRIFT
87,11,0.6536431989111438,0.0,permutation_importance_macro_f1_on_batch_2,69,59,HIGH_IMPORTANCE_LOW_DRIFT
88,11,1.5687534994992574,0.0001971664961319064,permutation_importance_macro_f1_on_batch_2,16,52,HIGH_IMPORTANCE_HIGH_DRIFT
89,12,0.6797850163543111,0.0010077852622709215,permutation_importance_macro_f1_on_batch_2,64,36,HIGH_IMPORTANCE_HIGH_DRIFT
90,12,0.6798442430662708,0.0,permutation_importance_macro_f1_on_batch_2,63,59,HIGH_IMPORTANCE_HIGH_DRIFT
91,12,0.7973184649606054,-0.0001265416213728443,permutation_importance_macro_f1_on_batch_2,48,75,LOW_IMPORTANCE_HIGH_DRIFT
92,12,1.0009624277136444,-0.0011544989265365624,permutation_importance_macro_f1_on_batch_2,40,94,LOW_IMPORTANCE_HIGH_DRIFT
93,12,1.0044290580692545,-0.0012481217820385026,permutation_importance_macro_f1_on_batch_2,39,97,LOW_IMPORTANCE_HIGH_DRIFT
94,12,0.6713248774269592,0.0029344286837847287,permutation_importance_macro_f1_on_batch_2,67,18,HIGH_IMPORTANCE_LOW_DRIFT
95,12,0.7306897060852555,-0.0005693339600525427,permutation_importance_macro_f1_on_batch_2,59,86,LOW_IMPORTANCE_HIGH_DRIFT
96,12,1.5789304883830997,-3.0104613532011547e-05,permutation_importance_macro_f1_on_batch_2,13,70,LOW_IMPORTANCE_HIGH_DRIFT
97,13,0.6119503787403785,0.004660357305404927,permutation_importance_macro_f1_on_batch_2,76,12,HIGH_IMPORTANCE_LOW_DRIFT
98,13,0.6362923981200378,0.002430179509063035,permutation_importance_macro_f1_on_batch_2,71,24,HIGH_IMPORTANCE_LOW_DRIFT
99,13,1.1326409210666601,0.002797463133472933,permutation_importance_macro_f1_on_batch_2,31,20,HIGH_IMPORTANCE_HIGH_DRIFT
100,13,1.8516959037937977,0.0025789713079822584,permutation_importance_macro_f1_on_batch_2,7,22,HIGH_IMPORTANCE_HIGH_DRIFT
101,13,2.5293222377561553,-0.0022991128013634564,permutation_importance_macro_f1_on_batch_2,1,111,LOW_IMPORTANCE_HIGH_DRIFT
102,13,0.5008187651463354,-0.00015838698694095043,permutation_importance_macro_f1_on_batch_2,105,78,LOW_IMPORTANCE_LOW_DRIFT
103,13,0.5860311993706719,0.0,permutation_importance_macro_f1_on_batch_2,80,59,HIGH_IMPORTANCE_LOW_DRIFT
104,13,1.5921915416350765,-0.0003435648146473902,permutation_importance_macro_f1_on_batch_2,11,83,LOW_IMPORTANCE_HIGH_DRIFT
105,14,0.6282011747147878,0.001228220561413762,permutation_importance_macro_f1_on_batch_2,73,33,HIGH_IMPORTANCE_LOW_DRIFT
106,14,0.6352092375346605,0.00436288397298239,permutation_importance_macro_f1_on_batch_2,72,15,HIGH_IMPORTANCE_LOW_DRIFT
107,14,1.0232871668105827,-0.00024515563965663565,permutation_importance_macro_f1_on_batch_2,38,82,LOW_IMPORTANCE_HIGH_DRIFT
108,14,1.5611472539876794,0.0007438440346913655,permutation_importance_macro_f1_on_batch_2,17,38,HIGH_IMPORTANCE_HIGH_DRIFT
109,14,1.986693603912705,-0.004358715110464773,permutation_importance_macro_f1_on_batch_2,5,117,LOW_IMPORTANCE_HIGH_DRIFT
110,14,0.5099441348822387,0.0,permutation_importance_macro_f1_on_batch_2,102,59,HIGH_IMPORTANCE_LOW_DRIFT
111,14,0.5541920552863971,-3.0104613532011547e-05,permutation_importance_macro_f1_on_batch_2,91,70,LOW_IMPORTANCE_LOW_DRIFT
112,14,1.570291123507565,-0.00012839787665586133,permutation_importance_macro_f1_on_batch_2,15,76,LOW_IMPORTANCE_HIGH_DRIFT
113,15,0.7781987421935384,0.00989941049637606,permutation_importance_macro_f1_on_batch_2,54,6,HIGH_IMPORTANCE_HIGH_DRIFT
114,15,0.5772534847593991,0.00245716186412972,permutation_importance_macro_f1_on_batch_2,85,23,HIGH_IMPORTANCE_LOW_DRIFT
115,15,1.031412718832545,0.0,permutation_importance_macro_f1_on_batch_2,37,59,HIGH_IMPORTANCE_HIGH_DRIFT
116,15,1.3196477269352367,-0.013578718674282397,permutation_importance_macro_f1_on_batch_2,28,128,LOW_IMPORTANCE_HIGH_DRIFT
117,15,1.5442691508586208,-0.0008811860326981335,permutation_importance_macro_f1_on_batch_2,18,90,LOW_IMPORTANCE_HIGH_DRIFT
