feature,sensor,reference_batch,comparison_batch,metric,value,rank
1,1,1,2,normalized_wasserstein,0.2898050432105114,105
1,1,1,2,standardized_mean_shift,0.0005444719373228117,128
2,1,1,2,normalized_wasserstein,0.5501819991835967,68
2,1,1,2,standardized_mean_shift,0.040464739700966174,119
3,1,1,2,normalized_wasserstein,0.2886038633642027,107
3,1,1,2,standardized_mean_shift,0.11612875731457314,100
4,1,1,2,normalized_wasserstein,0.27273004906134185,114
4,1,1,2,standardized_mean_shift,0.12072127107820353,99
5,1,1,2,normalized_wasserstein,0.31404626756344317,101
5,1,1,2,standardized_mean_shift,0.1855578812381925,87
6,1,1,2,normalized_wasserstein,0.31612272904525823,100
6,1,1,2,standardized_mean_shift,0.00380633376763869,127
7,1,1,2,normalized_wasserstein,0.3281968956028188,99
7,1,1,2,standardized_mean_shift,0.09436389997125243,105
8,1,1,2,normalized_wasserstein,0.5894122330234706,62
8,1,1,2,standardized_mean_shift,0.4647653162742063,52
9,2,1,2,normalized_wasserstein,0.27377579642909405,112
9,2,1,2,standardized_mean_shift,0.026871287802033204,123
10,2,1,2,normalized_wasserstein,0.4353726430476375,85
10,2,1,2,standardized_mean_shift,0.054135659585209946,118
11,2,1,2,normalized_wasserstein,0.28544820828298895,108
11,2,1,2,standardized_mean_shift,0.14561835978804125,91
12,2,1,2,normalized_wasserstein,0.27338892530338094,113
12,2,1,2,standardized_mean_shift,0.1389264011158951,93
13,2,1,2,normalized_wasserstein,0.34310863863552427,96
13,2,1,2,standardized_mean_shift,0.19640746294912126,85
14,2,1,2,normalized_wasserstein,0.30997473000104997,102
14,2,1,2,standardized_mean_shift,0.06416353987328295,112
15,2,1,2,normalized_wasserstein,0.33363662518003895,97
15,2,1,2,standardized_mean_shift,0.1751905232576024,88
16,2,1,2,normalized_wasserstein,0.7737856554396205,37
16,2,1,2,standardized_mean_shift,0.5646475142355212,37
17,3,1,2,normalized_wasserstein,0.4356067568727339,84
17,3,1,2,standardized_mean_shift,0.40177620628516497,59
18,3,1,2,normalized_wasserstein,0.17058590484277825,125
18,3,1,2,standardized_mean_shift,0.05917551341229851,116
19,3,1,2,normalized_wasserstein,0.6431707686219171,49
19,3,1,2,standardized_mean_shift,0.5407161761965738,41
20,3,1,2,normalized_wasserstein,0.7573375859007998,39
20,3,1,2,standardized_mean_shift,0.29548072741682957,67
21,3,1,2,normalized_wasserstein,1.35883846507059,8
21,3,1,2,standardized_mean_shift,0.09963644346507501,102
22,3,1,2,normalized_wasserstein,0.4164216299628037,90
22,3,1,2,standardized_mean_shift,0.37390752263444527,61
23,3,1,2,normalized_wasserstein,0.43306525632961745,87
23,3,1,2,standardized_mean_shift,0.31605732837028727,65
24,3,1,2,normalized_wasserstein,0.5103078846323298,75
24,3,1,2,standardized_mean_shift,0.29065036149746915,69
25,4,1,2,normalized_wasserstein,0.4289540040112623,88
25,4,1,2,standardized_mean_shift,0.42125781542871354,55
26,4,1,2,normalized_wasserstein,0.2684323742454967,116
26,4,1,2,standardized_mean_shift,0.08616079735930071,107
27,4,1,2,normalized_wasserstein,0.6366213319101011,51
27,4,1,2,standardized_mean_shift,0.4119053495238102,58
28,4,1,2,normalized_wasserstein,0.9815221007669948,18
28,4,1,2,standardized_mean_shift,0.2450075411080372,77
29,4,1,2,normalized_wasserstein,3.4558401951144915,2
29,4,1,2,standardized_mean_shift,0.09504662435561538,104
30,4,1,2,normalized_wasserstein,0.464706539692547,81
30,4,1,2,standardized_mean_shift,0.4129241442290529,56
31,4,1,2,normalized_wasserstein,0.6630923249246533,47
31,4,1,2,standardized_mean_shift,0.2119917156579711,83
32,4,1,2,normalized_wasserstein,2.45801665514945,3
32,4,1,2,standardized_mean_shift,0.13499347467576672,94
33,5,1,2,normalized_wasserstein,0.6331692930698288,53
33,5,1,2,standardized_mean_shift,0.5966863894142612,30
34,5,1,2,normalized_wasserstein,0.4888085813616169,77
34,5,1,2,standardized_mean_shift,0.05898342690608433,117
35,5,1,2,normalized_wasserstein,1.0658368601363892,15
35,5,1,2,standardized_mean_shift,0.9099399641180719,2
36,5,1,2,normalized_wasserstein,1.6475684576118323,6
36,5,1,2,standardized_mean_shift,0.648140137812346,20
37,5,1,2,normalized_wasserstein,1.7746900593470973,5
37,5,1,2,standardized_mean_shift,0.2537182569990629,75
38,5,1,2,normalized_wasserstein,0.45607815274907765,83
38,5,1,2,standardized_mean_shift,0.3071356909417699,66
39,5,1,2,normalized_wasserstein,0.5288026461540417,73
39,5,1,2,standardized_mean_shift,0.14141941729004895,92
40,5,1,2,normalized_wasserstein,1.062469691924695,16
40,5,1,2,standardized_mean_shift,0.07788473850077353,108
41,6,1,2,normalized_wasserstein,0.46042821589731026,82
41,6,1,2,standardized_mean_shift,0.2910237886363887,68
42,6,1,2,normalized_wasserstein,12.25594186797622,1
42,6,1,2,standardized_mean_shift,0.03872720703155447,121
43,6,1,2,normalized_wasserstein,0.7247024633909989,42
43,6,1,2,standardized_mean_shift,0.6194000982510461,26
44,6,1,2,normalized_wasserstein,1.1165259152986133,14
44,6,1,2,standardized_mean_shift,0.5005556834523459,46
45,6,1,2,normalized_wasserstein,1.2573037317582898,11
45,6,1,2,standardized_mean_shift,0.22292660510756365,80
46,6,1,2,normalized_wasserstein,0.3818275918966898,94
46,6,1,2,standardized_mean_shift,0.005111818224726032,126
47,6,1,2,normalized_wasserstein,0.39317211517944245,91
47,6,1,2,standardized_mean_shift,0.010189605402417643,125
48,6,1,2,normalized_wasserstein,0.5472199307955197,70
48,6,1,2,standardized_mean_shift,0.06186714471103104,113
49,7,1,2,normalized_wasserstein,0.768062311730324,38
49,7,1,2,standardized_mean_shift,0.7502814158981097,13
50,7,1,2,normalized_wasserstein,1.3061657636918382,10
50,7,1,2,standardized_mean_shift,0.03824297073476728,122
51,7,1,2,normalized_wasserstein,0.9218757976856224,25
51,7,1,2,standardized_mean_shift,0.8478614111534923,7
52,7,1,2,normalized_wasserstein,0.9107238367190906,27
52,7,1,2,standardized_mean_shift,0.6953972114331357,16
53,7,1,2,normalized_wasserstein,0.7818028459828766,36
53,7,1,2,standardized_mean_shift,0.49644911480874165,48
54,7,1,2,normalized_wasserstein,0.5969595121520103,61
54,7,1,2,standardized_mean_shift,0.5791611096487906,32
55,7,1,2,normalized_wasserstein,0.5319540804691846,72
55,7,1,2,standardized_mean_shift,0.5020065086315204,45
56,7,1,2,normalized_wasserstein,0.6057632316364011,57
56,7,1,2,standardized_mean_shift,0.41280693734574364,57
57,8,1,2,normalized_wasserstein,0.8217265336293548,34
57,8,1,2,standardized_mean_shift,0.8060890778482752,9
58,8,1,2,normalized_wasserstein,2.4549021881698296,4
58,8,1,2,standardized_mean_shift,0.038998550000124366,120
59,8,1,2,normalized_wasserstein,0.9640402214546319,21
59,8,1,2,standardized_mean_shift,0.8715306059061394,5
60,8,1,2,normalized_wasserstein,0.9641032274097057,20
60,8,1,2,standardized_mean_shift,0.713914121098627,15
61,8,1,2,normalized_wasserstein,0.8623266099379623,30
61,8,1,2,standardized_mean_shift,0.5484864843957229,40
62,8,1,2,normalized_wasserstein,0.6399568547561387,50
62,8,1,2,standardized_mean_shift,0.630338929967495,23
63,8,1,2,normalized_wasserstein,0.5809351091538165,64
63,8,1,2,standardized_mean_shift,0.5686165888255043,35
64,8,1,2,normalized_wasserstein,0.7501360033570337,40
64,8,1,2,standardized_mean_shift,0.5250688137342815,42
65,9,1,2,normalized_wasserstein,0.2694884453682427,115
65,9,1,2,standardized_mean_shift,0.21136481918806532,84
66,9,1,2,normalized_wasserstein,0.46890420980709185,80
66,9,1,2,standardized_mean_shift,0.07560681576862871,109
67,9,1,2,normalized_wasserstein,0.2419486024853559,120
67,9,1,2,standardized_mean_shift,0.10562793392930712,101
68,9,1,2,normalized_wasserstein,0.21741408572282012,124
68,9,1,2,standardized_mean_shift,0.13095188742827868,96
69,9,1,2,normalized_wasserstein,0.24680392752206112,119
69,9,1,2,standardized_mean_shift,0.01232886130443962,124
70,9,1,2,normalized_wasserstein,0.2821997811370169,109
70,9,1,2,standardized_mean_shift,0.2176755131744557,82
71,9,1,2,normalized_wasserstein,0.29590515880531426,103
71,9,1,2,standardized_mean_shift,0.15494708368672963,90
72,9,1,2,normalized_wasserstein,0.3780608032224885,95
72,9,1,2,standardized_mean_shift,0.2480920662816205,76
73,10,1,2,normalized_wasserstein,0.27683206479720607,111
73,10,1,2,standardized_mean_shift,0.27385173307513866,72
74,10,1,2,normalized_wasserstein,0.4805339563577459,78
74,10,1,2,standardized_mean_shift,0.0654391584381472,111
75,10,1,2,normalized_wasserstein,0.23050323030137143,122
75,10,1,2,standardized_mean_shift,0.19516290724484417,86
76,10,1,2,normalized_wasserstein,0.23826910113736072,121
76,10,1,2,standardized_mean_shift,0.22162965466592108,81
77,10,1,2,normalized_wasserstein,0.21847231420299051,123
77,10,1,2,standardized_mean_shift,0.09006096548477661,106
78,10,1,2,normalized_wasserstein,0.2785298802549342,110
78,10,1,2,standardized_mean_shift,0.278931017423733,70
79,10,1,2,normalized_wasserstein,0.28903214285441187,106
79,10,1,2,standardized_mean_shift,0.22371622100930585,79
80,10,1,2,normalized_wasserstein,0.3291285865882832,98
80,10,1,2,standardized_mean_shift,0.12453580699266448,98
81,11,1,2,normalized_wasserstein,0.5017647635320053,76
81,11,1,2,standardized_mean_shift,0.48559706805142594,49
82,11,1,2,normalized_wasserstein,0.15314858011335716,127
82,11,1,2,standardized_mean_shift,0.06022199298790586,115
83,11,1,2,normalized_wasserstein,0.6024218787941825,59
83,11,1,2,standardized_mean_shift,0.5791465817882206,33
84,11,1,2,normalized_wasserstein,0.586023001288586,63
84,11,1,2,standardized_mean_shift,0.5117549963154694,44
85,11,1,2,normalized_wasserstein,0.5776685533479737,65
85,11,1,2,standardized_mean_shift,0.49931841933674515,47
86,11,1,2,normalized_wasserstein,0.5170329491961481,74
86,11,1,2,standardized_mean_shift,0.48112748233723757,50
87,11,1,2,normalized_wasserstein,0.4788439865676552,79
87,11,1,2,standardized_mean_shift,0.42770288440300475,53
88,11,1,2,normalized_wasserstein,0.6266517612368591,55
88,11,1,2,standardized_mean_shift,0.4251200601882139,54
89,12,1,2,normalized_wasserstein,0.5640110728063739,67
89,12,1,2,standardized_mean_shift,0.5646742749666561,36
90,12,1,2,normalized_wasserstein,0.29502355176671397,104
90,12,1,2,standardized_mean_shift,0.06037840468813606,114
91,12,1,2,normalized_wasserstein,0.63083519990336,54
91,12,1,2,standardized_mean_shift,0.6266730995892941,25
92,12,1,2,normalized_wasserstein,0.6052823229472294,58
92,12,1,2,standardized_mean_shift,0.5637753819646172,38
93,12,1,2,normalized_wasserstein,0.548158530633955,69
93,12,1,2,standardized_mean_shift,0.4739502397695532,51
94,12,1,2,normalized_wasserstein,0.5975001272770398,60
94,12,1,2,standardized_mean_shift,0.580681533895608,31
95,12,1,2,normalized_wasserstein,0.5359315907923202,71
95,12,1,2,standardized_mean_shift,0.5160834897860521,43
96,12,1,2,normalized_wasserstein,0.6887268810512797,45
96,12,1,2,standardized_mean_shift,0.3513786986480681,62
97,13,1,2,normalized_wasserstein,0.6781195762371386,46
97,13,1,2,standardized_mean_shift,0.6848512400098377,18
98,13,1,2,normalized_wasserstein,0.2635356723611563,118
98,13,1,2,standardized_mean_shift,0.25474107437471744,74
99,13,1,2,normalized_wasserstein,1.0350168597684364,17
99,13,1,2,standardized_mean_shift,0.9825555415029189,1
100,13,1,2,normalized_wasserstein,1.3115261779317455,9
100,13,1,2,standardized_mean_shift,0.8918868149002382,4
101,13,1,2,normalized_wasserstein,1.566663524930121,7
101,13,1,2,standardized_mean_shift,0.397252102427008,60
102,13,1,2,normalized_wasserstein,0.4343229110311716,86
102,13,1,2,standardized_mean_shift,0.3226849351611751,64
103,13,1,2,normalized_wasserstein,0.4250591899393467,89
103,13,1,2,standardized_mean_shift,0.24330807324801346,78
104,13,1,2,normalized_wasserstein,0.6887576760683484,44
104,13,1,2,standardized_mean_shift,0.1310326849537009,95
105,14,1,2,normalized_wasserstein,0.613509933816198,56
105,14,1,2,standardized_mean_shift,0.6401585808491452,21
106,14,1,2,normalized_wasserstein,0.26483797796721487,117
106,14,1,2,standardized_mean_shift,0.2634182925453713,73
107,14,1,2,normalized_wasserstein,0.93942217561743,24
107,14,1,2,standardized_mean_shift,0.8944671621758594,3
108,14,1,2,normalized_wasserstein,1.119963501085584,13
108,14,1,2,standardized_mean_shift,0.7863465333009013,11
109,14,1,2,normalized_wasserstein,1.2504774951129418,12
109,14,1,2,standardized_mean_shift,0.3439090559047337,63
110,14,1,2,normalized_wasserstein,0.38456022862670824,92
110,14,1,2,standardized_mean_shift,0.2745063742235746,71
111,14,1,2,normalized_wasserstein,0.3843582162959795,93
111,14,1,2,standardized_mean_shift,0.16200292531215035,89
112,14,1,2,normalized_wasserstein,0.6923451224041809,43
112,14,1,2,standardized_mean_shift,0.13055753771249692,97
113,15,1,2,normalized_wasserstein,0.8101163240876393,35
113,15,1,2,standardized_mean_shift,0.7608667372325565,12
114,15,1,2,normalized_wasserstein,0.1293659912321903,128
114,15,1,2,standardized_mean_shift,0.07226139933596985,110
115,15,1,2,normalized_wasserstein,0.8564413905098104,31
115,15,1,2,standardized_mean_shift,0.7978304267780434,10
116,15,1,2,normalized_wasserstein,0.8384739380053864,32
116,15,1,2,standardized_mean_shift,0.6753707395103049,19
117,15,1,2,normalized_wasserstein,0.9554356360829371,22
117,15,1,2,standardized_mean_shift,0.635351461115557,22
118,15,1,2,normalized_wasserstein,0.6564728686732321,48
118,15,1,2,standardized_mean_shift,0.629263276976473,24
119,15,1,2,normalized_wasserstein,0.5754078471689839,66
119,15,1,2,standardized_mean_shift,0.5522342912562093,39
120,15,1,2,normalized_wasserstein,0.8242159298478027,33
120,15,1,2,standardized_mean_shift,0.6153590360071506,28
121,16,1,2,normalized_wasserstein,0.9043461163548112,28
121,16,1,2,standardized_mean_shift,0.8240734089460969,8
122,16,1,2,normalized_wasserstein,0.15907864962704538,126
122,16,1,2,standardized_mean_shift,0.09725123263240014,103
123,16,1,2,normalized_wasserstein,0.9542392951524596,23
123,16,1,2,standardized_mean_shift,0.8667629988627239,6
124,16,1,2,normalized_wasserstein,0.9125449358993579,26
124,16,1,2,standardized_mean_shift,0.6170395185570741,27
125,16,1,2,normalized_wasserstein,0.97635251455646,19
125,16,1,2,standardized_mean_shift,0.7192110900789688,14
126,16,1,2,normalized_wasserstein,0.7318448250327403,41
126,16,1,2,standardized_mean_shift,0.6920148841058366,17
127,16,1,2,normalized_wasserstein,0.6364136447711255,52
127,16,1,2,standardized_mean_shift,0.6095114117160702,29
128,16,1,2,normalized_wasserstein,0.8784897358955007,29
128,16,1,2,standardized_mean_shift,0.5775039289188367,34
1,1,1,3,normalized_wasserstein,0.3905663735392394,93
1,1,1,3,standardized_mean_shift,0.5029726082642568,86
2,1,1,3,normalized_wasserstein,0.9558170352119087,54
2,1,1,3,standardized_mean_shift,0.5338146585506077,84
