reference_batch,comparison_batch,metric,median_feature_drift
1,2,normalized_wasserstein,0.5793018312508951
1,2,standardized_mean_shift,0.3193711317657312
1,3,normalized_wasserstein,0.8211496225090495
1,3,standardized_mean_shift,0.7600250366514965
1,4,normalized_wasserstein,0.9962964844064367
1,4,standardized_mean_shift,0.8512684021342677
1,5,normalized_wasserstein,1.1638419154234025
1,5,standardized_mean_shift,1.1512113225018894
1,6,normalized_wasserstein,0.5866366879593025
1,6,standardized_mean_shift,0.6939553144895647
1,7,normalized_wasserstein,0.6021474793880504
1,7,standardized_mean_shift,0.6877244659647412
1,8,normalized_wasserstein,0.6207793755355047
1,8,standardized_mean_shift,0.7041117041528759
1,9,normalized_wasserstein,0.6799827512881995
1,9,standardized_mean_shift,0.8614554501083489
1,10,normalized_wasserstein,0.411565913811757
1,10,standardized_mean_shift,0.3062969097302436
