experiment_id,grouping,group_value,samples,max_score_absolute_error,max_probability_absolute_error,mean_probability_vector_L1,max_margin_error,prediction_agreement
EXP-EMBED-C1-FUSED-EQUIV-001,true_label,1,5,4.853312884733896e-05,6.959140735895986e-07,3.911345276993335e-07,7.421617881675502e-05,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,true_label,2,7,1.7235075702615177e-05,9.249904814323529e-07,4.6055410145786036e-07,8.414158791936188e-06,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,true_label,3,6,7.045854550469244e-06,4.580720642799463e-07,2.8822141849411956e-07,2.3490560181471665e-06,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,true_label,4,4,6.0725340205181055e-06,7.43136396641475e-07,5.003573310154729e-07,3.732873008033266e-06,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,true_label,5,4,2.3696854858368255e-06,3.382112406247195e-07,4.1654416170307255e-07,7.780543347379876e-07,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,true_label,6,3,1.5275071838516396e-06,4.4427710677030774e-07,4.894822858792977e-07,2.4833630174470045e-06,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,reference_class,1,11,6.0725340205181055e-06,7.43136396641475e-07,3.925943891156647e-07,3.732873008033266e-06,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,reference_class,2,7,4.853312884733896e-05,9.249904814323529e-07,4.543011036042901e-07,7.421617881675502e-05,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,reference_class,3,8,7.045854550469244e-06,4.580720642799463e-07,3.446767877201744e-07,1.7727402337186504e-06,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,reference_class,5,1,2.3696854858368255e-06,3.382112406247195e-07,7.865301930552665e-07,6.530960594552937e-07,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,reference_class,6,2,1.5051379609332116e-06,4.4427710677030774e-07,5.011710939297385e-07,2.4833630174470045e-06,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,batch,2,9,4.853312884733896e-05,5.570989284886529e-07,3.9129807107576816e-07,7.421617881675502e-05,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,batch,6,10,1.7235075702615177e-05,7.43136396641475e-07,4.068888988306661e-07,6.591568350700072e-06,1.0
EXP-EMBED-C1-FUSED-EQUIV-001,batch,10,10,1.0169610817456487e-05,9.249904814323529e-07,4.4543610601899064e-07,8.414158791936188e-06,1.0
