experiment_id,parameter_type,class,feature,source_coefficient,source_scale,source_intercept,derived_float64,stored_float32,absolute_cast_error,relative_cast_error,derivation_provenance
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,0,-0.07790399792489758,154334.58980382542,,-5.047734148509501e-07,-5.047734e-07,9.985507620184771e-15,1.978215834352786e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,1,0.10014008128878397,4.882982232582464,,0.020507975765421304,0.020507976,6.473518283922619e-10,3.1565856903525704e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,2,-0.09318466869366768,34.37264409500996,,-0.0027110125260103495,-0.0027110125,3.2191351147237146e-11,1.1874290818792865e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,3,-0.10151548800120434,46.115512234263214,,-0.002201330595343137,-0.0022013306,1.9864416101605942e-11,9.023822293493147e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,4,-0.0903630917081735,56.55376812499446,,-0.0015978261874337724,-0.0015978261,5.1157646478380836e-11,3.201702843570477e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,5,0.010932121995892316,28.66768560512019,,0.00038133953840835286,0.00038133955,6.720514173375741e-12,1.7623439209650375e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,6,0.028113818976757975,40.397114685636396,,0.0006959363111829897,0.0006959363,1.2426213378581574e-11,1.7855388745931122e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,7,0.1825152242538629,121.50729241940589,,0.0015020927601931608,0.0015020928,5.1085838033773645e-11,3.400977581917397e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,8,-0.13175496320341357,121695.0100987497,,-1.082665288383646e-06,-1.0826653e-06,4.6777790711779814e-14,4.320614248344124e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,9,0.09654526103236401,3.6398874407945385,,0.026524243565973972,0.026524244,3.103640330848201e-10,1.170114549404016e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,10,-0.19176274516815559,28.50440778144265,,-0.006727476909483442,-0.006727477,1.604607011498893e-10,2.385154245920853e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,11,-0.24227934633259895,41.066281640556525,,-0.005899714721026191,-0.005899715,5.063199078753078e-11,8.582108319082231e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,12,-0.1983065562509159,47.619283909088075,,-0.00416441701705366,-0.004164417,2.0841866340409743e-10,5.0047500658700696e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,13,0.07744407383481139,20.60162944221834,,0.0037591237165011536,0.0037591236,9.871796479224426e-11,2.626089808082377e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,14,0.10518160813400187,27.895368644725483,,0.003770576021904978,0.003770576,6.957825721826127e-11,1.845295170129173e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,15,0.23046096282469658,81.3575884968824,,0.002832691665062415,0.0028326917,1.4224755054415006e-11,5.021639040301826e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,16,-0.28155728558939014,10637.343896389673,,-2.6468758397944717e-05,-2.6468759e-05,3.352998963006802e-13,1.2667760658041144e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,17,-0.1761997584223472,4.743102698719503,,-0.037148628147966496,-0.03714863,2.359083969838416e-10,6.3503932377851515e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,18,-0.1742033213043129,3.0754733527175047,,-0.056642767250896814,-0.056642767,2.0897519825702204e-10,3.6893536174067022e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,19,-0.022264368209385255,5.257797561915241,,-0.0042345426858304315,-0.0042345426,8.129461340211641e-11,1.9197967628037694e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,20,-0.009419004402819973,6.655361503473069,,-0.0014152506062825754,-0.0014152506,1.6211493302289992e-11,1.1454856991633842e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,21,-0.04964455557290228,2.9434653381860647,,-0.016866023502589013,-0.016866023,7.816560523843386e-10,4.6345011452423904e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,22,-0.002394155042633258,4.402392608360524,,-0.0005438304248663672,-0.00054383045,2.5757860362858598e-11,4.7363772207463297e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,23,0.03570056699628049,5.702491391963715,,0.006260520979758395,0.006260521,2.0116199418024339e-10,3.2131829735998516e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,24,-0.45440163853741,10029.321246450652,,-4.530731715251632e-05,-4.530732e-05,1.7894065406937748e-12,3.94948686692298e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,25,-0.2923825468436937,4.337780825262105,,-0.0674037160063353,-0.06740372,2.8228196724544574e-09,4.187928855716411e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,26,-0.27994560990889433,3.1595490611038577,,-0.08860302672783603,-0.08860303,4.371000367209277e-10,4.9332404643870465e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,27,-0.10109306211907541,5.489608869294815,,-0.018415348802812183,-0.018415349,1.9849070304056582e-10,1.0778547024330844e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,28,-0.052622484277469954,7.148990746209918,,-0.007360827023782076,-0.007360827,1.5398090962015498e-10,2.0918968632554262e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,29,0.019668653024442193,2.687721613396702,,0.0073179651219849534,0.007317965,2.0307349638676309e-10,2.7749995114991835e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,30,0.0722741719941131,4.044780180860998,,0.01786850428512739,0.017868504,3.5694288150200926e-10,1.9976091776137407e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,31,0.18393803595633795,4.979130532242132,,0.036941798325080176,0.036941797,1.7838661867108918e-09,4.8288558424071255e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,32,0.06676331311384266,2577.8094307440624,,2.5899243100593364e-05,2.5899242e-05,8.54651940852217e-13,3.299910879760947e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,33,0.34124265267407716,2.0002931661191585,,0.17059631980652837,0.17059632,3.3497336293653035e-09,1.963543898932992e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,34,0.03196752385220941,0.6929177841236928,,0.04613465635412655,0.04613466,1.8036989193892516e-09,3.9096398714757486e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,35,0.2338535041883877,1.3015390447893804,,0.17967459764238627,0.1796746,2.0479801465800307e-09,1.1398273175244335e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,36,-0.23665456852077585,1.7030976278086734,,-0.13895537440520803,-0.13895537,4.813495074751373e-09,3.4640582239840044e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,37,0.01795662602401338,0.7373705688518672,,0.02435224130517304,0.024352241,2.3239847546374648e-12,9.543206826485375e-11,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,38,0.036881838455570144,1.1548223662805643,,0.03193723946857615,0.031937238,1.639606193870602e-09,5.1338381812362074e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,39,0.16310033500024282,1.610562396008296,,0.10126918112857931,0.10126918,3.0360996078337976e-09,2.99804893650609e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,40,0.1215457437390547,2990.9330202099954,,4.063806943109709e-05,4.0638068e-05,1.7006274589514286e-12,4.184813606450688e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,41,0.3944316083419956,2.1115146160914633,,0.18680032112309575,0.18680032,5.146952863910315e-09,2.7553233489992926e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,42,0.07826528762110851,0.8137646076567749,,0.09617681438183019,0.09617682,3.6313610313198907e-09,3.7757135694919944e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,43,0.32129964329871147,1.5625236919745433,,0.2056286537919235,0.20562865,5.391616791916576e-09,2.6220162863938095e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,44,0.21633455800384918,2.0370148240513997,,0.10620175928498321,0.10620176,1.1858839465972437e-09,1.1166330525796913e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,45,0.016608167426049328,0.8798778821626543,,0.018875536892947083,0.018875537,5.472336958578516e-10,2.8991689029111943e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,46,0.026597231263944993,1.403111573157864,,0.01895589187115381,0.018955892,8.076479068863662e-11,4.260669518353853e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,47,0.02909292169234349,1.849106912323894,,0.015733498965606323,0.0157335,1.1433638064106688e-10,7.2670663334969555e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,48,0.10531469662651968,10744.057568725953,,9.80213443132249e-06,9.802135e-06,1.9621205159768562e-13,2.001727817266968e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,49,0.1749755917931256,5.622566196447528,,0.03112023685975976,0.031120237,1.0327391719577861e-10,3.318545345948754e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,50,0.038724383875302006,3.3677927587005363,,0.011498446207908535,0.011498447,3.683887483257875e-10,3.203813294986003e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,51,0.23036285366978326,6.532572452279063,,0.03526372732221516,0.03526373,1.0281857656946336e-09,2.9157035962188415e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,52,0.22541887145477532,8.58322849054793,,0.02626271358184305,0.026262714,1.4381735385926575e-11,5.476104112817005e-10,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,53,-0.2929465510655542,3.364873474528251,,-0.08706019803809256,-0.0870602,1.497355017754387e-10,1.7199076633150204e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,54,-0.22259666555524826,5.528884025825645,,-0.040260686336607905,-0.040260687,1.133828191057784e-09,2.8162167469729054e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,55,-0.07868223729571516,7.154875525401663,,-0.010997009943271943,-0.01099701,4.5165889604736886e-10,4.1071063714341485e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,56,0.046649134472277344,10803.627520998441,,4.317913995239829e-06,4.317914e-06,1.32334130836082e-13,3.0647699556306654e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,57,0.0820037461342453,5.630360877937785,,0.014564563073669367,0.0145645635,4.4658333801794736e-10,3.066232304800861e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,58,-0.00526213463879491,3.544394617477665,,-0.0014846356590338292,-0.0014846356,2.3754710221438047e-11,1.6000363507971463e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,59,0.20644891488175582,6.96123399867767,,0.029656942277902464,0.029656943,6.558953727364703e-10,2.211608218373818e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,60,0.18282539063543254,9.058947581374015,,0.02018174727176228,0.020181747,1.1836090441086355e-10,5.8647501039947485e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,61,-0.25390928141793967,3.4269819201833402,,-0.07409122292782792,-0.074091226,2.9346751279080152e-09,3.96089443788325e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,62,-0.19963044265886984,5.740604645051394,,-0.0347751595872324,-0.03477516,6.658155415895095e-10,1.9146297227460077e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,63,-0.03811542540971079,7.328726560980533,,-0.005200825149166325,-0.005200825,1.679088725697886e-11,3.2285044729239516e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,64,-0.20361554292523573,111976.65547235454,,-1.8183749288306396e-06,-1.8183749e-06,2.6426684682922955e-15,1.453313299909905e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,65,-0.2755358551759726,3.9116326082044526,,-0.07044011612901734,-0.07044011,2.584553224216357e-09,3.6691495787464604e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,66,-0.21998426496156395,26.12219812552033,,-0.008421353513380187,-0.008421353,4.4890274310260825e-10,5.330529616045371e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,67,-0.22010133089866726,36.229715545522986,,-0.006075160336881691,-0.00607516,2.246497215682708e-10,3.697840206857501e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,68,-0.18192105694538627,41.77334725360916,,-0.004354955226377473,-0.004354955,6.352447040613995e-11,1.4586710334328904e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,69,0.1294314009564296,18.917897499780477,,0.006841743431474429,0.0068417434,6.654427616575864e-11,9.726216253540221e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,70,0.1423071828617891,25.174862588827978,,0.0056527491405232826,0.005652749,1.6089519647155548e-10,2.8463176495509792e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,71,0.27872831489391175,67.75158451576067,,0.004113974852190693,0.004113975,1.2881926688551593e-10,3.131260435802606e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,72,-0.11676504277164983,116872.6030164394,,-9.990796795654972e-07,-9.990797e-07,2.2958389060502896e-14,2.297953759853025e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,73,-0.21310810083037332,3.854133240842415,,-0.0552933921879134,-0.055293392,2.020993442042318e-10,3.6550360939585977e-09,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,74,-0.14714459973838162,26.62024691814763,,-0.005527544511169421,-0.0055275443,2.1016620301711475e-10,3.802162110000838e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,75,-0.1251876519940797,36.37009512853772,,-0.0034420490667304154,-0.003442049,4.024115762835123e-11,1.1691047061852636e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,76,-0.12053781661182215,41.72385469182667,,-0.002888942488706213,-0.0028889426,1.1431564722608201e-10,3.9570066788445224e-08,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,77,-0.014308684011990367,19.56490873622848,,-0.0007313442758613473,-0.0007313443,7.121616664440555e-13,9.737707533231196e-10,"coef[class,feature]/frozen_scale[feature]"
EXP-EMBED-C1-FUSED-EQUIV-001,weight,1,78,-0.0020140106403336196,26.157882103731428,,-7.69944077409203e-05,-7.699441e-05,1.2870547591017564e-12,1.6716210915376965e-08,"coef[class,feature]/frozen_scale[feature]"
