experiment_id,sample_id,explained_class,score_from_explanation,fused_inference_score,scientific_reference_score,additivity_absolute_error,scientific_score_absolute_error
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,1,3.45468521,3.45468688,3.4546875400103,1.6700000000646753e-06,2.3300102998113914e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,1,5.38132906,5.38133049,5.381329950183655,1.4300000001910007e-06,8.901836556773901e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,2,19.1087818,19.1087837,19.108781752594215,1.900000000887303e-06,4.7405784187048994e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,2,21.6778526,21.6778564,21.677858224930663,3.7999999982218924e-06,5.624930661696226e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,1,3.88312793,3.88312602,3.883125833290729,1.90999999993835e-06,2.096709271093289e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,1,5.14588213,5.14587927,5.145880008797731,2.8600000003820014e-06,2.12120226894541e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:135,1,3.78446817,3.78446722,3.7844669480292428,9.499999999995623e-07,1.221970757026014e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:149,1,3.83407593,3.83407426,3.834074240369597,1.6700000000646753e-06,1.6896304031455145e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:165,1,3.30341935,3.30341911,3.3034188204525954,2.399999998736746e-07,5.295474045929893e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:211,5,1.60587132,1.60587192,1.605871060979478,5.999999999062311e-07,2.59020522141995e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:212,5,2.65807009,2.65806985,2.658070375909774,2.399999998736746e-07,2.8590977407816354e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:322,2,3.53948188,3.53948164,3.539481486829705,2.399999998736746e-07,3.931702949877547e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:473,6,4.16387272,4.16387272,4.163874106903022,0.0,1.3869030226487666e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:474,6,5.66348696,5.66348505,5.6634853148768505,1.90999999993835e-06,1.6451231497072172e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:495,1,21.8872986,21.8872986,21.887301203181394,0.0,2.6031813931126635e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:534,3,12.6753616,12.6753578,12.675356299036618,3.7999999999982492e-06,5.30096338202668e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:535,3,12.7914047,12.7914104,12.791405739947342,5.700000000885552e-06,1.0399473424627104e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:540,1,12.8039207,12.8039217,12.803921027177115,9.999999992515995e-07,3.2717711384577797e-07
