grouping,group_value,count,max,p99,p95,median,mean
ALL,ALL,6912,3.3051640402348426e-07,8.890992171273223e-08,4.143109147702883e-08,4.62775839871199e-09,1.0486610789188761e-08
BATCH,2,2432,2.060234018941287e-07,6.976915139039754e-08,3.341997799055637e-08,4.334974101904976e-09,9.08536894055535e-09
BATCH,6,1920,2.7633842369922945e-07,8.36499810238921e-08,4.433833615813397e-08,4.71541424656996e-09,1.0719809395239832e-08
BATCH,10,2560,3.3051640402348426e-07,1.1072658195221383e-07,4.5124848330191283e-08,5.02111030531438e-09,1.1642891590852199e-08
TRUE_CLASS,1,768,2.7633842369922945e-07,9.573070349211403e-08,4.4233317555986135e-08,4.0248279466192916e-09,1.0504766900837334e-08
TRUE_CLASS,2,1664,3.3051640402348426e-07,1.2112173934042392e-07,6.435483973499244e-08,7.027083449850924e-09,1.5776398958949256e-08
TRUE_CLASS,3,2304,1.7175633093557963e-07,7.46798579409623e-08,3.6002993619721474e-08,4.60540679680585e-09,9.480340115763965e-09
TRUE_CLASS,4,384,7.580139305130018e-08,6.089584933484388e-08,3.085174676009657e-08,3.157385394254159e-09,7.363478820127632e-09
TRUE_CLASS,5,1280,1.1171149294497695e-07,5.3322371565966996e-08,2.4549396818174248e-08,3.8412888495042985e-09,7.320514847160335e-09
TRUE_CLASS,6,512,1.1933012269982335e-07,4.9052389917147995e-08,2.5473272030618332e-08,4.339218748206086e-09,8.053371932272793e-09
CORRECT,False,3072,2.060234018941287e-07,6.529845686942256e-08,3.102325970560926e-08,3.908969150104302e-09,8.320317032057253e-09
CORRECT,True,3840,3.3051640402348426e-07,1.0116336110366237e-07,4.728554856003872e-08,5.324717548826907e-09,1.2219645794893969e-08
CATEGORY,CORRECT_REPRESENTATIVE,3200,3.3051640402348426e-07,1.0585548570474198e-07,4.829810663076193e-08,5.364990944556336e-09,1.2563727879468752e-08
CATEGORY,MISCLASSIFIED,1792,8.442525034624282e-08,5.5522568142007934e-08,2.8558900269648418e-08,3.810148148375436e-09,7.621006680273135e-09
CATEGORY,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",128,4.815647713929394e-08,3.678336985168952e-08,2.256490526791887e-08,3.466558255726948e-09,6.198730795928367e-09
CATEGORY,NEAR_DECISION_BOUNDARY,1792,2.060234018941287e-07,7.715196204238762e-08,3.7928487120475435e-08,4.600468152260451e-09,9.949354379265862e-09
SENSOR,1,432,7.265835955116984e-08,3.9359342255962383e-08,1.9572634035736054e-08,3.1522825495733375e-09,5.438075672359238e-09
SENSOR,2,432,1.1004215227927716e-07,5.729007023613783e-08,2.6190925378477553e-08,5.079896102724857e-09,8.357779972832132e-09
SENSOR,3,432,1.7196264590069177e-07,8.27247627854799e-08,3.317648205047873e-08,2.199117558193686e-09,8.075697581791717e-09
SENSOR,4,432,1.707045258481088e-07,9.122048693743777e-08,4.207624444974023e-08,4.716910204441427e-09,1.1250380504211288e-08
SENSOR,5,432,1.091238316097698e-07,8.618143569116831e-08,5.826976414158302e-08,6.227397687796898e-09,1.4661892204972186e-08
SENSOR,6,432,7.999620182941314e-08,6.366230237732363e-08,4.474921916908236e-08,4.325212077382901e-09,9.980700207904246e-09
SENSOR,7,432,2.011913182720093e-07,8.611830638383108e-08,3.7781662512448294e-08,6.748873754118534e-09,1.1653161677004295e-08
SENSOR,8,432,1.3952456434651594e-07,6.814576854363707e-08,2.9962872373501257e-08,3.4309604046711684e-09,8.129671313025712e-09
SENSOR,9,432,1.1171149294497695e-07,5.2019489340526804e-08,3.2705329237880915e-08,5.430283903096189e-09,8.993147576962767e-09
SENSOR,10,432,1.1933012269982335e-07,5.875380874931222e-08,2.8369735059763353e-08,2.98602514936519e-09,7.433654321510096e-09
SENSOR,11,432,2.0054620142317958e-07,1.1485399289634656e-07,3.816448619076151e-08,4.589227508428051e-09,1.1082461987311985e-08
SENSOR,12,432,8.744143553673922e-08,6.635368923813001e-08,3.900491839514685e-08,2.976985800234866e-09,7.985806541797399e-09
SENSOR,13,432,2.7633842369922945e-07,1.4681048059017595e-07,5.727582324255297e-08,8.675941046316915e-09,1.6652370796645344e-08
SENSOR,14,432,2.1713634756892475e-07,1.4284142352272156e-07,7.6916739466526e-08,1.19079848204251e-08,2.0908031120141877e-08
SENSOR,15,432,1.4136704162837077e-07,9.319237272986666e-08,3.1349870074914854e-08,3.854756201737697e-09,8.622210700037971e-09
SENSOR,16,432,3.3051640402348426e-07,6.381297530388962e-08,2.555414585492243e-08,4.807610705370724e-09,8.560730448511939e-09
FEATURE_FAMILY,EMAd_0.001,864,1.2074002642137316e-07,6.999903195192838e-08,2.6454918178753914e-08,3.445694849238401e-09,7.535806662380713e-09
FEATURE_FAMILY,EMAd_0.01,864,1.707045258481088e-07,7.25296147952026e-08,2.447267129571103e-08,2.9403417964313228e-09,7.275698535604028e-09
FEATURE_FAMILY,EMAd_0.1,864,2.0054620142317958e-07,8.503336888621152e-08,3.626591343897087e-08,3.1928938000469476e-09,8.861789248379894e-09
FEATURE_FAMILY,EMAi_0.001,864,3.3051640402348426e-07,1.2405195755293983e-07,3.3821728186167415e-08,4.091734950861792e-09,9.989522773276678e-09
FEATURE_FAMILY,EMAi_0.01,864,2.1713634756892475e-07,9.709891654718917e-08,4.402751481169527e-08,5.114073350128562e-09,1.1220326939755727e-08
FEATURE_FAMILY,EMAi_0.1,864,2.7633842369922945e-07,6.719101684760087e-08,3.543185602139499e-08,3.7061388506731685e-09,8.768123864298791e-09
FEATURE_FAMILY,dR,864,1.4431119876867626e-07,7.910682466749642e-08,4.1997035077345725e-08,6.915577548116669e-09,1.176645317269988e-08
FEATURE_FAMILY,dR_norm,864,1.5586457813299148e-07,1.0625298353938996e-07,6.350223533124747e-08,1.0589636549596104e-08,1.8475165117114383e-08
