experiment_id,sample_id,batch,true_class,predicted_class,correct,category,attribution_vector_l1_error,attribution_vector_l2_error,cosine_similarity,spearman_rank_correlation,max_absolute_error
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,2,1,1,True,CORRECT_REPRESENTATIVE,1.0488211206931622e-06,1.5726695695492808e-07,0.9999999999999974,1.0,6.482707548549627e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,2,1,1,True,CORRECT_REPRESENTATIVE,7.767401816840321e-07,1.1790729087629566e-07,0.9999999999999972,1.0,5.4115290692990925e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,2,2,2,True,CORRECT_REPRESENTATIVE,1.608892987851906e-06,2.5898024828353724e-07,0.9999999999999952,1.0,1.3391980158150574e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,2,2,2,True,CORRECT_REPRESENTATIVE,1.8184823941805924e-06,2.5185711813667004e-07,0.9999999999999968,1.0,1.0035071618119673e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,2,2,1,False,MISCLASSIFIED,7.73746053195053e-07,1.0097363579732834e-07,0.9999999999999992,1.0,4.4486219596961973e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,2,2,1,False,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",7.93437541878831e-07,1.1660674079875631e-07,0.9999999999999978,1.0,4.815647713929394e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:135,2,2,1,False,MISCLASSIFIED,1.0108138121676848e-06,1.5628124638648953e-07,0.9999999999999977,1.0,7.360508791354192e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:149,2,2,1,False,MISCLASSIFIED,7.865411346950121e-07,1.0737910253531656e-07,0.9999999999999989,1.0,3.6676099435251075e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:165,2,2,1,False,MISCLASSIFIED,1.0992288073817438e-06,1.695272362301986e-07,0.9999999999999977,1.0,7.329050272231186e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:211,2,5,5,True,CORRECT_REPRESENTATIVE,8.121769653199936e-07,1.0749793759053854e-07,0.9999999999999984,1.0,4.1579208132080936e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:212,2,5,5,True,CORRECT_REPRESENTATIVE,7.923368294315359e-07,1.1305124273173351e-07,0.9999999999999976,1.0,4.945864109928699e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:322,2,2,2,True,NEAR_DECISION_BOUNDARY,1.4792745283312512e-06,2.125238787441462e-07,0.9999999999999974,1.0,7.265835955116984e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:473,2,6,6,True,CORRECT_REPRESENTATIVE,1.0503968162488443e-06,1.828306819232319e-07,0.9999999999999964,1.0,1.1933012269982335e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:474,2,6,6,True,CORRECT_REPRESENTATIVE,9.924920768301565e-07,1.4465011857568527e-07,0.9999999999999984,1.0,8.25255968006644e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:495,2,2,1,False,NEAR_DECISION_BOUNDARY,1.907463865439543e-06,3.7387486308008523e-07,0.9999999999999982,1.0,2.060234018941287e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:534,2,3,3,True,CORRECT_REPRESENTATIVE,1.4567809111159343e-06,2.2766839780946718e-07,0.9999999999999937,1.0,1.0442431064294766e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:535,2,3,3,True,CORRECT_REPRESENTATIVE,1.4923517075115322e-06,2.2841783440352145e-07,0.999999999999994,1.0,1.0852966858543311e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:540,2,3,1,False,NEAR_DECISION_BOUNDARY,1.2157298054619477e-06,2.1795468365017983e-07,0.9999999999999967,1.0,9.190240590761789e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:778,2,5,5,True,NEAR_DECISION_BOUNDARY,1.1799097240118572e-06,1.840500781567847e-07,0.9999999999999968,1.0,9.257898880843385e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:0,6,2,2,True,CORRECT_REPRESENTATIVE,3.0720559672610045e-06,3.989853594718468e-07,0.9999999999999982,1.0,1.546829440091102e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1,6,2,2,True,CORRECT_REPRESENTATIVE,3.37066401231512e-06,4.5044439401149774e-07,0.9999999999999971,1.0,1.7196264590069177e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:23,6,1,1,True,CORRECT_REPRESENTATIVE,2.1132133513610446e-06,4.3239587785036894e-07,0.9999999999999978,1.0,2.7633842369922945e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:24,6,1,1,True,CORRECT_REPRESENTATIVE,1.8688075585666654e-06,3.226413218515609e-07,0.9999999999999984,1.0,1.525645529909525e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:387,6,3,1,False,MISCLASSIFIED,1.0693344916218733e-06,1.5422009540046213e-07,0.9999999999999954,1.0,5.224178967200288e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:388,6,3,1,False,MISCLASSIFIED,9.088428986193768e-07,1.438085410538183e-07,0.999999999999997,1.0,8.197771961260258e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:389,6,3,1,False,MISCLASSIFIED,1.0408755031752505e-06,1.6433822269691834e-07,0.9999999999999957,1.0,8.442525034624282e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:390,6,3,1,False,MISCLASSIFIED,9.341219390023439e-07,1.3941025641198982e-07,0.9999999999999963,1.0,4.5070663090562846e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:391,6,3,1,False,MISCLASSIFIED,9.696588414579055e-07,1.4975491924390444e-07,0.999999999999995,1.0,5.715628237368264e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:488,6,3,3,True,CORRECT_REPRESENTATIVE,9.163201314967301e-07,1.277432830523811e-07,0.9999999999999978,1.0,4.489264249230018e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1461,6,5,3,False,NEAR_DECISION_BOUNDARY,9.165493135262142e-07,1.3586545582823121e-07,0.9999999999999983,1.0,5.374848877082172e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1463,6,5,3,False,NEAR_DECISION_BOUNDARY,8.017430481461189e-07,1.0615971597970111e-07,0.999999999999999,1.0,3.1928513832824024e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1464,6,5,3,False,NEAR_DECISION_BOUNDARY,9.241490333125396e-07,1.3694512161908333e-07,0.9999999999999981,1.0,7.080279501581188e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1539,6,5,1,False,NEAR_DECISION_BOUNDARY,8.617282420842593e-07,1.3753584407475067e-07,0.9999999999999978,1.0,7.25666031153871e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1562,6,5,1,False,NEAR_DECISION_BOUNDARY,8.139697069140309e-07,1.1882752039665e-07,0.9999999999999982,1.0,5.676936892795581e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:0,10,4,1,False,MISCLASSIFIED,9.045868478113703e-07,1.4518551647147e-07,0.999999999999998,1.0,7.580139305130018e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1,10,3,1,False,MISCLASSIFIED,1.017505188959534e-06,1.42560321080419e-07,0.9999999999999986,1.0,5.5497776263457865e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2,10,4,1,False,MISCLASSIFIED,1.0370756884558864e-06,1.7950738068250908e-07,0.9999999999999962,1.0,7.409890848131262e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:3,10,3,2,False,MISCLASSIFIED,1.218599433844671e-06,1.7895323899530693e-07,0.9999999999999974,1.0,7.682511515838542e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:4,10,4,1,False,MISCLASSIFIED,8.859133306617539e-07,1.4077181900692231e-07,0.9999999999999959,1.0,6.761456217141415e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:9,10,3,3,True,CORRECT_REPRESENTATIVE,1.0040515946072479e-06,1.5378835329436254e-07,0.9999999999999966,1.0,8.82255648537722e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:11,10,3,3,True,CORRECT_REPRESENTATIVE,8.698053994291674e-07,1.1477293046560118e-07,0.9999999999999982,1.0,4.295725086755908e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:123,10,2,2,True,CORRECT_REPRESENTATIVE,3.3261222549024923e-06,4.254154831437293e-07,0.9999999999999986,1.0,1.1540286481981354e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:125,10,2,2,True,CORRECT_REPRESENTATIVE,5.205204508091331e-06,7.403974084607919e-07,0.9999999999999974,1.0,3.3051640402348426e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:840,10,1,1,True,CORRECT_REPRESENTATIVE,1.0254644620913845e-06,1.58406566776843e-07,0.9999999999999984,1.0,5.52572497758419e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:842,10,1,1,True,CORRECT_REPRESENTATIVE,1.2346143054467842e-06,2.3470694967901609e-07,0.999999999999998,1.0,1.5910915296402095e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1514,10,6,6,True,CORRECT_REPRESENTATIVE,9.907797490484944e-07,1.5584644844412988e-07,0.999999999999998,1.0,7.969085535908249e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1516,10,6,6,True,CORRECT_REPRESENTATIVE,1.0896577871961747e-06,1.4223963295908188e-07,0.999999999999998,1.0,4.9074956265382497e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1655,10,5,5,True,CORRECT_REPRESENTATIVE,1.411454226090108e-06,2.3344449163762786e-07,0.9999999999999984,1.0,1.1171149294497695e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1663,10,5,5,True,CORRECT_REPRESENTATIVE,8.562419155285706e-07,1.434608086720619e-07,0.9999999999999981,1.0,9.827326930000879e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2287,10,3,3,True,NEAR_DECISION_BOUNDARY,9.962588954153076e-07,1.3999728889934305e-07,0.9999999999999974,1.0,6.415017830829761e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2363,10,3,3,True,NEAR_DECISION_BOUNDARY,1.3114416719050648e-06,2.0881252352903089e-07,0.9999999999999954,1.0,1.2169245527937633e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2847,10,3,3,True,NEAR_DECISION_BOUNDARY,1.752625818429352e-06,2.7392174188688846e-07,0.9999999999999981,1.0,1.4431119876867626e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2927,10,3,1,False,NEAR_DECISION_BOUNDARY,1.990759994196996e-06,3.432094001754092e-07,0.9999999999999983,1.0,1.5586457813299148e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2981,10,3,1,False,NEAR_DECISION_BOUNDARY,1.6776394004699394e-06,3.191551438689493e-07,0.9999999999999981,1.0,1.7175633093557963e-07
