model_id,XAI_method,XAI_scope,Stage10_fidelity_evidence,Stage11_stability_evidence,Stage12_host_cost,prediction_calls,parameter_requirements,requires_labels,requires_dataset,requires_model_internals,requires_repeated_inference,can_be_precomputed,supports_local_online_explanation,numerical_verification_path,embedded_feasibility_status
MODEL-C1,STATIC_GLOBAL_IMPORTANCE,GLOBAL,"[{""mean"":0.0369580520932507,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""GLOBAL""},{""mean"":0.0411198206117189,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.0082359920553197,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""SENSOR""},{""mean"":0.0069716739118676,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.1406627904026925,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""LOCAL""},{""mean"":0.126641391657309,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.3694332124118016,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5448105735097556,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.3802556512803849,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.173231581960552,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.2074945067037543,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.41987911210809,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""},{""mean"":0.4640017741228689,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":12.8,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":13.805,""scope"":""GLOBAL""},{""median_us"":444.1,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":483.7116666666666,""scope"":""LOCAL""},{""median_us"":1321868.8666666667,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":1349569.2466666668,""scope"":""GLOBAL""},{""median_us"":40056.8,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":40488.21333333333,""scope"":""LOCAL""},{""median_us"":709.0833333333334,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":774.993333333333,""scope"":""LOCAL""}]",0,stored ranking/vector,False,False,True,False,True,False,feature attribution vector then ranking equivalence,PRECOMPUTED_STATIC_EXPLANATION
MODEL-C1,LOCAL_LINEAR_CONTRIBUTION,LOCAL,"[{""mean"":0.0369580520932507,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""GLOBAL""},{""mean"":0.0411198206117189,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.0082359920553197,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""SENSOR""},{""mean"":0.0069716739118676,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.1406627904026925,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""LOCAL""},{""mean"":0.126641391657309,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.3694332124118016,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5448105735097556,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.3802556512803849,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.173231581960552,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.2074945067037543,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.41987911210809,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""},{""mean"":0.4640017741228689,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":12.8,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":13.805,""scope"":""GLOBAL""},{""median_us"":444.1,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":483.7116666666666,""scope"":""LOCAL""},{""median_us"":1321868.8666666667,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":1349569.2466666668,""scope"":""GLOBAL""},{""median_us"":40056.8,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":40488.21333333333,""scope"":""LOCAL""},{""median_us"":709.0833333333334,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":774.993333333333,""scope"":""LOCAL""}]",METHOD_DEPENDENT,128 feature values,False,False,True,False,False,True,feature attribution vector then ranking equivalence,PROTOCOL_DEFINED_EXPORT_CANDIDATE
MODEL-C1,LOCAL_VECTOR_ABLATION,LOCAL,"[{""mean"":0.0369580520932507,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""GLOBAL""},{""mean"":0.0411198206117189,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.0082359920553197,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""SENSOR""},{""mean"":0.0069716739118676,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.1406627904026925,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""LOCAL""},{""mean"":0.126641391657309,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.3694332124118016,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5448105735097556,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.3802556512803849,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.173231581960552,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.2074945067037543,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.41987911210809,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""},{""mean"":0.4640017741228689,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":12.8,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":13.805,""scope"":""GLOBAL""},{""median_us"":444.1,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":483.7116666666666,""scope"":""LOCAL""},{""median_us"":1321868.8666666667,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":1349569.2466666668,""scope"":""GLOBAL""},{""median_us"":40056.8,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":40488.21333333333,""scope"":""LOCAL""},{""median_us"":709.0833333333334,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":774.993333333333,""scope"":""LOCAL""}]",2,128 feature values,False,False,False,True,False,True,feature attribution vector then ranking equivalence,DEFERRED_RESOURCE_INTENSIVE
MODEL-C1,SENSOR_GROUP_EXPLANATION,DERIVED_VIEW,"[{""mean"":0.0369580520932507,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""GLOBAL""},{""mean"":0.0411198206117189,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.0082359920553197,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""SENSOR""},{""mean"":0.0069716739118676,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.1406627904026925,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""LOCAL""},{""mean"":0.126641391657309,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.3694332124118016,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5448105735097556,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.3802556512803849,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.173231581960552,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.2074945067037543,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.41987911210809,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""},{""mean"":0.4640017741228689,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":12.8,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":13.805,""scope"":""GLOBAL""},{""median_us"":444.1,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":483.7116666666666,""scope"":""LOCAL""},{""median_us"":1321868.8666666667,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":1349569.2466666668,""scope"":""GLOBAL""},{""median_us"":40056.8,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":40488.21333333333,""scope"":""LOCAL""},{""median_us"":709.0833333333334,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":774.993333333333,""scope"":""LOCAL""}]",METHOD_DEPENDENT,stored ranking/vector,False,False,False,False,False,False,feature attribution vector then ranking equivalence,DERIVED_SENSOR_GROUP_VIEW_ONLY
MODEL-C1,HOST_ONLY_XAI,HOST,"[{""mean"":0.0369580520932507,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""GLOBAL""},{""mean"":0.0411198206117189,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.0082359920553197,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""SENSOR""},{""mean"":0.0069716739118676,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.1406627904026925,""method"":""INTRINSIC_COEFFICIENT"",""scope"":""LOCAL""},{""mean"":0.126641391657309,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.3694332124118016,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5448105735097556,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.3802556512803849,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.173231581960552,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.2074945067037543,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.41987911210809,""method"":""INTRINSIC_COEFFICIENT"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""},{""mean"":0.4640017741228689,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":12.8,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":13.805,""scope"":""GLOBAL""},{""median_us"":444.1,""method"":""INTRINSIC_COEFFICIENT"",""p95_us"":483.7116666666666,""scope"":""LOCAL""},{""median_us"":1321868.8666666667,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":1349569.2466666668,""scope"":""GLOBAL""},{""median_us"":40056.8,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":40488.21333333333,""scope"":""LOCAL""},{""median_us"":709.0833333333334,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":774.993333333333,""scope"":""LOCAL""}]",METHOD_DEPENDENT,stored ranking/vector,False,False,False,False,False,False,feature attribution vector then ranking equivalence,AVAILABLE
MODEL-C2,LOCAL_VECTOR_ABLATION,LOCAL,"[{""mean"":0.1783945713393376,""method"":""INTRINSIC_IMPURITY"",""scope"":""GLOBAL""},{""mean"":0.1050226960239742,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.2054174555285435,""method"":""INTRINSIC_IMPURITY"",""scope"":""SENSOR""},{""mean"":0.1420170735438773,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.0846187106918238,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.0970490341931786,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5983851515459759,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.2801785235338602,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.2805870323728968,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.5533513253569828,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":21772.7,""method"":""INTRINSIC_IMPURITY"",""p95_us"":22408.54,""scope"":""GLOBAL""},{""median_us"":9500386.4,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":9533816.12,""scope"":""GLOBAL""},{""median_us"":1402570.6000000003,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":1423237.18,""scope"":""LOCAL""},{""median_us"":22425.86666666667,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":23324.64333333333,""scope"":""LOCAL""}]",2,128 feature values,False,False,False,True,False,True,feature attribution vector then ranking equivalence,DEFERRED_RESOURCE_INTENSIVE
MODEL-C2,SENSOR_GROUP_EXPLANATION,DERIVED_VIEW,"[{""mean"":0.1783945713393376,""method"":""INTRINSIC_IMPURITY"",""scope"":""GLOBAL""},{""mean"":0.1050226960239742,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.2054174555285435,""method"":""INTRINSIC_IMPURITY"",""scope"":""SENSOR""},{""mean"":0.1420170735438773,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.0846187106918238,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.0970490341931786,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5983851515459759,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.2801785235338602,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.2805870323728968,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.5533513253569828,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":21772.7,""method"":""INTRINSIC_IMPURITY"",""p95_us"":22408.54,""scope"":""GLOBAL""},{""median_us"":9500386.4,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":9533816.12,""scope"":""GLOBAL""},{""median_us"":1402570.6000000003,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":1423237.18,""scope"":""LOCAL""},{""median_us"":22425.86666666667,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":23324.64333333333,""scope"":""LOCAL""}]",METHOD_DEPENDENT,stored ranking/vector,False,False,False,False,False,False,feature attribution vector then ranking equivalence,DERIVED_SENSOR_GROUP_VIEW_ONLY
MODEL-C2,HOST_ONLY_XAI,HOST,"[{""mean"":0.1783945713393376,""method"":""INTRINSIC_IMPURITY"",""scope"":""GLOBAL""},{""mean"":0.1050226960239742,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.2054174555285435,""method"":""INTRINSIC_IMPURITY"",""scope"":""SENSOR""},{""mean"":0.1420170735438773,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.0846187106918238,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.0970490341931786,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5983851515459759,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.2801785235338602,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.2805870323728968,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.5533513253569828,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":21772.7,""method"":""INTRINSIC_IMPURITY"",""p95_us"":22408.54,""scope"":""GLOBAL""},{""median_us"":9500386.4,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":9533816.12,""scope"":""GLOBAL""},{""median_us"":1402570.6000000003,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":1423237.18,""scope"":""LOCAL""},{""median_us"":22425.86666666667,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":23324.64333333333,""scope"":""LOCAL""}]",METHOD_DEPENDENT,stored ranking/vector,False,False,False,False,False,False,feature attribution vector then ranking equivalence,AVAILABLE
MODEL-C2,STATIC_GLOBAL_IMPORTANCE,GLOBAL,"[{""mean"":0.1783945713393376,""method"":""INTRINSIC_IMPURITY"",""scope"":""GLOBAL""},{""mean"":0.1050226960239742,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":0.2054174555285435,""method"":""INTRINSIC_IMPURITY"",""scope"":""SENSOR""},{""mean"":0.1420170735438773,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.0846187106918238,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.0970490341931786,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.5983851515459759,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.2801785235338602,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.2805870323728968,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.5533513253569828,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":21772.7,""method"":""INTRINSIC_IMPURITY"",""p95_us"":22408.54,""scope"":""GLOBAL""},{""median_us"":9500386.4,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":9533816.12,""scope"":""GLOBAL""},{""median_us"":1402570.6000000003,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":1423237.18,""scope"":""LOCAL""},{""median_us"":22425.86666666667,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":23324.64333333333,""scope"":""LOCAL""}]",0,stored ranking/vector,False,False,True,False,True,False,feature attribution vector then ranking equivalence,PRECOMPUTED_STATIC_EXPLANATION
MODEL-C3,LOCAL_VECTOR_ABLATION,LOCAL,"[{""mean"":0.0275428839285239,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""GLOBAL""},{""mean"":-0.0010047455646348,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""scope"":""SENSOR""},{""mean"":0.0613926988003422,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""scope"":""LOCAL""}]","[{""mean"":0.1005022896887653,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""spearman"",""scope"":""GLOBAL_RANK""},{""mean"":0.4679290379968172,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""normalized_l1_distance"",""scope"":""GLOBAL_MAGNITUDE""},{""mean"":0.2587088609371518,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""metric_name"":""sensor_importance_l1_distance"",""scope"":""SENSOR""},{""mean"":0.1962159169328365,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""LOCAL_NEIGHBOR""},{""mean"":0.4530916006982543,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""metric_name"":""explanation_distance"",""scope"":""CROSS_BATCH""}]","[{""median_us"":3303500.9,""method"":""PERMUTATION_IMPORTANCE_MACRO_F1"",""p95_us"":3323061.44,""scope"":""GLOBAL""},{""median_us"":43580.2,""method"":""SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE"",""p95_us"":44047.34666666667,""scope"":""LOCAL""},{""median_us"":2391.016666666667,""method"":""SINGLE_FEATURE_ABLATION_LOCAL"",""p95_us"":2551.57,""scope"":""LOCAL""}]",2,128 feature values,False,False,False,True,False,True,feature attribution vector then ranking equivalence,DEFERRED_RESOURCE_INTENSIVE
