experiment_id,sample_id,feature_id,reference_attribution,exported_attribution,absolute_error,relative_error,sign_agreement,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,top_20_overlap,pass
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F000,0.05242000788974169,0.0524200127,4.810258309728699e-09,9.176378454284896e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F001,-0.07133625688762123,-0.0713362619,5.012378775925974e-09,7.026411245297281e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F002,0.06601366045683801,0.066013664,3.543161986030441e-09,5.367316342572885e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F003,0.07491943906736251,0.0749194399,8.326374867362318e-10,1.1113770966538876e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F004,0.062494661987835064,0.0624946579,4.087835063504297e-09,6.541094764701691e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F005,0.007288784195477644,0.00728878425,5.452235624786583e-11,7.480308757350019e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F006,0.017555103789120143,0.0175551046,8.108798563166708e-10,4.61905475500075e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F007,0.08313106437846246,0.08313106,4.378462453713539e-09,5.266939003427349e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F008,0.09304589470581044,0.0930458978,3.094189557351079e-09,3.325444467092492e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F009,-0.06332066868499409,-0.0633206815,1.2815005917543587e-08,2.0238266878221587e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F010,0.14241947551516126,0.142419472,3.5151612731709747e-09,2.4681745670357902e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F011,0.18560993625814218,0.185609937,7.418578251705554e-10,3.996864823760276e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F012,0.14629542379319554,0.146295428,4.206804460338276e-09,2.875554375702859e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F013,0.056295036912162484,0.056295041,4.087837512933845e-09,7.261452762367177e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F014,0.07437506780574801,0.0743750706,2.794251982574103e-09,3.7569740304265664e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F015,0.11591978266584468,0.115919776,6.665844681785771e-09,5.750394392129788e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F016,0.35197631070523205,0.351976305,5.705232064556753e-09,1.6209136498776155e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F017,0.2013828750579691,0.20138289,1.4942030918119187e-08,7.419712780353367e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F018,0.18349917548492176,0.183499187,1.1515078252033462e-08,6.275275200339886e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F019,0.020635308130748067,0.0206353068,1.3307480672963834e-09,6.448888763204242e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F020,0.007821336363893597,0.00782133639,2.610640176259338e-11,3.3378441417135468e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F021,-0.049468595173610394,-0.0494685955,3.2638960284492313e-10,6.597915337992851e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F022,-0.0022741680547396495,-0.00227416819,1.3526035066296904e-10,5.9476849294874945e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F023,0.033965037083441375,0.0339650363,7.834413742746626e-10,2.3066112730864816e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F024,0.587061521695959,0.587061465,5.66959590386773e-08,9.6575839061788e-08,True,1.0,1.0,1.0,1.0,1.0,True
