experiment_id,model_id,parameter_array,shape,source_dtype,destination_dtype,elements,max_absolute_cast_error,max_relative_cast_error,source_sha256,exported_sha256
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,scaler_mean,[128],float64,float32,128,0.0038840448105474934,5.631401058512519e-08,20dbc0837d3c81b6955491dc934c2ac71270d7ada0f6fb205012780744dc9ddd,fd6f3eb565edd7e3dbc0f88aa10f154f107d930aface439e211f23d5ea976898
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,scaler_scale,[128],float64,float32,128,0.003946174576412886,5.019324865700122e-08,a1d0d68d47e0abb43335918f9705e8b36ef88be77de12e8745c623138e36c385,6ab6ed56b3d6d6dc3d4d06137a581a350057663066d02181f1e4764643bfee99
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,coefficients,"[6, 128]",float64,float32,768,4.47314647544772e-08,5.863725850811053e-08,e3a8f38c6e456946d1b8a7cb874d69f24a9effbac0e5202f2a3c733b5f31c397,7ff4525e51ef3492b20e30038e2fba6147762497b7ed51c1800eaa9c7c2e6189
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,intercepts,[6],float64,float32,6,1.4407534987270765e-07,1.957859712806472e-08,3e71b52f6ac50899dd7ecb3d30286f5f0936c84c7af10a98192d8165b1ef1a2c,07367391f14439bdf000241ab9f262d2d13be1d89884237f2998640fb04b01dc
EXP-EMBED-FP32-EQUIV-001,MODEL-C4,scaler_mean,[128],float64,float32,128,0.0038840448105474934,5.631401058512519e-08,20dbc0837d3c81b6955491dc934c2ac71270d7ada0f6fb205012780744dc9ddd,fd6f3eb565edd7e3dbc0f88aa10f154f107d930aface439e211f23d5ea976898
EXP-EMBED-FP32-EQUIV-001,MODEL-C4,scaler_scale,[128],float64,float32,128,0.003946174576412886,5.019324865700122e-08,a1d0d68d47e0abb43335918f9705e8b36ef88be77de12e8745c623138e36c385,6ab6ed56b3d6d6dc3d4d06137a581a350057663066d02181f1e4764643bfee99
EXP-EMBED-FP32-EQUIV-001,MODEL-C4,weights_1,"[128, 64]",float64,float32,8192,7.4449041098656465e-09,5.8884770355518866e-08,d6b017e135272c933accf3afae793215f8d6e300a0aed8de27810e5fc78c7556,fa37b5cf765a74bd39b22e3bde14d2db228fa966bf77206ddf12e6c9a92b75e0
EXP-EMBED-FP32-EQUIV-001,MODEL-C4,weights_2,"[64, 32]",float64,float32,2048,1.4548220350629748e-08,5.7587172851637835e-08,abf0fb77d536843273db9e50061d15f31442b6d99a773058bf7ad7956d380749,4ce42b565cad8b666d01d6d65b28f698b996db2353ecc02ec0d1d06a15352f51
EXP-EMBED-FP32-EQUIV-001,MODEL-C4,weights_3,"[32, 6]",float64,float32,192,1.4666008740782388e-08,5.55814492191139e-08,c83795d74937855d4dd8c454d482e16b922036227576de05902101b16e77aea7,46adc8036cc6bf5f3b73edfab4de8dffc9ed62fc53f0d9612c061ecd85ac7a3d
EXP-EMBED-FP32-EQUIV-001,MODEL-C4,biases_1,[64],float64,float32,64,7.02833455323848e-09,4.626689790544413e-08,7f9bbb9a96c2a8e4430e54af97708478c0c487d007bce905f6521f419f23c1e1,1c4fed468435f3e79ca99ebe1bac4057896becc53d8451994b4307dc499b6653
EXP-EMBED-FP32-EQUIV-001,MODEL-C4,biases_2,[32],float64,float32,32,1.407448485535312e-08,5.520408234407362e-08,d20d5a330d61b03d5e5e1fa2ad96a9c7344b8e1ec5a653f8c8ce1adb78243ad9,4b24a79921a6f6966ee25c9f4b0acae7f2c0ebb1eb974a08e5be5ba39816a3fb
EXP-EMBED-FP32-EQUIV-001,MODEL-C4,biases_3,[6],float64,float32,6,1.3739433868398265e-08,3.955827327559849e-08,1162eb3bd444cfe69ff55a3baa70d926d50e756767dc0eef8b5984f72e65d31d,126cd0dc31f4c298af399bd0aa7a3b9ec614d0e6d0df8a8deef89b770002fd26
