experiment_id,model_id,sample_id,feature_id,reference_value,exported_value,absolute_error,relative_error,pass
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F000,-0.6728795605621751,-0.672879577,1.6437824879034224e-08,2.4429074447291587e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F001,-0.7123646792526733,-0.712364733,5.374732670038185e-08,7.544917408983139e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F002,-0.7084176118482455,-0.708417594,1.7848245437157573e-08,2.519452528938673e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F003,-0.7380099386063503,-0.73800993,8.606350299089627e-09,1.1661564226820253e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F004,-0.6915949953290754,-0.691594958,3.732907538633867e-08,5.397534053666296e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F005,0.6667309602121495,0.66673094,2.0212149509646338e-08,3.0315300647228026e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F006,0.6244297085228141,0.624429703,5.5228140949381554e-09,8.844572927196615e-09,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F007,0.4554746855683356,0.455474675,1.0568335595539935e-08,2.3202904421247688e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F008,-0.706204096176316,-0.706204116,1.982368402764223e-08,2.8070757639294275e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F009,-0.6558651145369804,-0.655865192,7.746301966538027e-08,1.1810815661398101e-07,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F010,-0.7426858402046471,-0.742685854,1.379535286005762e-08,1.857495069012802e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F011,-0.766098881591576,-0.766098857,2.4591575997767734e-08,3.2099741415466573e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F012,-0.737723585941803,-0.737723589,3.058197028948939e-09,4.145451070328382e-09,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F013,0.7269121331638634,0.726912141,7.836136628469603e-09,1.078003278658048e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F014,0.7071109590851076,0.707111001,4.191489244576019e-08,5.9276259131935375e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F015,0.5029909675159203,0.502990961,6.515920358829419e-09,1.2954348645680565e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F016,-1.2501054979573063,-1.2501055,2.0426937918927024e-09,1.6340171251390373e-09,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F017,-1.1429236728875558,-1.14292371,3.7112444228881714e-08,3.247149841171672e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F018,-1.0533620949991538,-1.05336213,3.500084622132249e-08,3.3227744179792804e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F019,-0.9268310664234128,-0.926830947,1.1942341282544788e-07,1.2885132701291065e-07,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F020,-0.8303782469357327,-0.830378234,1.2935732707219927e-08,1.5578120880400534e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F021,0.9964555952357456,0.99645561,1.4764254485655215e-08,1.4816771119803112e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F022,0.9498833677197286,0.949883401,3.3280271427571506e-08,3.503616607948771e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F023,0.951386488819073,0.951386452,3.681907290165043e-08,3.870043702991076e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F024,-1.2919441126698916,-1.29194403,8.266989159899651e-08,6.398875213584393e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F025,-1.228976819690733,-1.22897685,3.030926709612913e-08,2.466219591005495e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F026,-1.0190125088943849,-1.01901257,6.11056150123801e-08,5.996552002946351e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F027,-0.8942185999371502,-0.894218683,8.306284970949207e-08,9.288875193977189e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F028,-0.6385530150428277,-0.638552964,5.104282774226476e-08,7.993514483498496e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F029,1.0259475049059217,1.02594745,5.490592158707841e-08,5.3517281658688014e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F030,0.9727910750978284,0.972791016,5.909782840873845e-08,6.07507921500979e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F031,0.6732031443304359,0.673203111,3.3330435966760774e-08,4.951022027669083e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F032,-1.04826947649576,-1.04826951,3.350423982695361e-08,3.196147610722606e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F033,-1.127170947743923,-1.1271708,1.4774392287364435e-07,1.3107499192501336e-07,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F034,-0.8776530209654639,-0.877653122,1.0103453607079871e-07,1.1511899766453885e-07,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F035,-0.7497757362043146,-0.749775767,3.079568544617217e-08,4.107319556921527e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,F036,-0.7808220452662744,-0.780822098,5.27337256084337e-08,6.753616387771243e-08,True
