model,test_batch,true_class,predicted_class,count
MODEL-C1,2,1,1,158
MODEL-C1,2,1,2,4
MODEL-C1,2,1,3,2
MODEL-C1,2,1,4,0
MODEL-C1,2,1,5,0
MODEL-C1,2,1,6,0
MODEL-C1,2,2,1,21
MODEL-C1,2,2,2,311
MODEL-C1,2,2,3,1
MODEL-C1,2,2,4,1
MODEL-C1,2,2,5,0
MODEL-C1,2,2,6,0
MODEL-C1,2,3,1,30
MODEL-C1,2,3,2,0
MODEL-C1,2,3,3,70
MODEL-C1,2,3,4,0
MODEL-C1,2,3,5,0
MODEL-C1,2,3,6,0
MODEL-C1,2,4,1,108
MODEL-C1,2,4,2,0
MODEL-C1,2,4,3,0
MODEL-C1,2,4,4,0
MODEL-C1,2,4,5,0
MODEL-C1,2,4,6,1
MODEL-C1,2,5,1,59
MODEL-C1,2,5,2,0
MODEL-C1,2,5,3,1
MODEL-C1,2,5,4,0
MODEL-C1,2,5,5,469
MODEL-C1,2,5,6,3
MODEL-C1,2,6,1,0
MODEL-C1,2,6,2,0
MODEL-C1,2,6,3,0
MODEL-C1,2,6,4,0
MODEL-C1,2,6,5,0
MODEL-C1,2,6,6,5
MODEL-C1,6,1,1,499
MODEL-C1,6,1,2,15
MODEL-C1,6,1,3,0
MODEL-C1,6,1,4,0
MODEL-C1,6,1,5,0
MODEL-C1,6,1,6,0
MODEL-C1,6,2,1,1
MODEL-C1,6,2,2,573
MODEL-C1,6,2,3,0
MODEL-C1,6,2,4,0
MODEL-C1,6,2,5,0
MODEL-C1,6,2,6,0
MODEL-C1,6,3,1,104
MODEL-C1,6,3,2,5
MODEL-C1,6,3,3,1
MODEL-C1,6,3,4,0
MODEL-C1,6,3,5,0
MODEL-C1,6,3,6,0
MODEL-C1,6,4,1,27
MODEL-C1,6,4,2,2
MODEL-C1,6,4,3,0
MODEL-C1,6,4,4,0
MODEL-C1,6,4,5,0
MODEL-C1,6,4,6,0
MODEL-C1,6,5,1,216
MODEL-C1,6,5,2,134
MODEL-C1,6,5,3,254
MODEL-C1,6,5,4,0
MODEL-C1,6,5,5,0
MODEL-C1,6,5,6,2
MODEL-C1,6,6,1,467
MODEL-C1,6,6,2,0
MODEL-C1,6,6,3,0
MODEL-C1,6,6,4,0
MODEL-C1,6,6,5,0
MODEL-C1,6,6,6,0
MODEL-C1,10,1,1,593
MODEL-C1,10,1,2,0
MODEL-C1,10,1,3,7
MODEL-C1,10,1,4,0
MODEL-C1,10,1,5,0
MODEL-C1,10,1,6,0
MODEL-C1,10,2,1,156
MODEL-C1,10,2,2,402
MODEL-C1,10,2,3,39
MODEL-C1,10,2,4,0
MODEL-C1,10,2,5,2
MODEL-C1,10,2,6,1
MODEL-C1,10,3,1,231
MODEL-C1,10,3,2,32
MODEL-C1,10,3,3,337
MODEL-C1,10,3,4,0
MODEL-C1,10,3,5,0
MODEL-C1,10,3,6,0
MODEL-C1,10,4,1,564
MODEL-C1,10,4,2,0
MODEL-C1,10,4,3,36
MODEL-C1,10,4,4,0
MODEL-C1,10,4,5,0
MODEL-C1,10,4,6,0
MODEL-C1,10,5,1,186
MODEL-C1,10,5,2,237
MODEL-C1,10,5,3,157
MODEL-C1,10,5,4,1
MODEL-C1,10,5,5,8
MODEL-C1,10,5,6,11
MODEL-C1,10,6,1,593
MODEL-C1,10,6,2,0
MODEL-C1,10,6,3,0
MODEL-C1,10,6,4,0
MODEL-C1,10,6,5,0
MODEL-C1,10,6,6,7
MODEL-C2,2,1,1,120
MODEL-C2,2,1,2,13
MODEL-C2,2,1,3,3
MODEL-C2,2,1,4,28
MODEL-C2,2,1,5,0
MODEL-C2,2,1,6,0
MODEL-C2,2,2,1,1
MODEL-C2,2,2,2,332
MODEL-C2,2,2,3,1
MODEL-C2,2,2,4,0
MODEL-C2,2,2,5,0
MODEL-C2,2,2,6,0
MODEL-C2,2,3,1,0
MODEL-C2,2,3,2,0
MODEL-C2,2,3,3,100
MODEL-C2,2,3,4,0
MODEL-C2,2,3,5,0
MODEL-C2,2,3,6,0
MODEL-C2,2,4,1,109
MODEL-C2,2,4,2,0
MODEL-C2,2,4,3,0
MODEL-C2,2,4,4,0
MODEL-C2,2,4,5,0
MODEL-C2,2,4,6,0
MODEL-C2,2,5,1,122
MODEL-C2,2,5,2,0
MODEL-C2,2,5,3,0
MODEL-C2,2,5,4,91
MODEL-C2,2,5,5,317
MODEL-C2,2,5,6,2
MODEL-C2,2,6,1,0
MODEL-C2,2,6,2,0
MODEL-C2,2,6,3,0
MODEL-C2,2,6,4,0
MODEL-C2,2,6,5,0
MODEL-C2,2,6,6,5
MODEL-C2,6,1,1,514
MODEL-C2,6,1,2,0
MODEL-C2,6,1,3,0
MODEL-C2,6,1,4,0
MODEL-C2,6,1,5,0
MODEL-C2,6,1,6,0
MODEL-C2,6,2,1,46
MODEL-C2,6,2,2,513
MODEL-C2,6,2,3,15
MODEL-C2,6,2,4,0
MODEL-C2,6,2,5,0
MODEL-C2,6,2,6,0
MODEL-C2,6,3,1,14
MODEL-C2,6,3,2,0
MODEL-C2,6,3,3,96
MODEL-C2,6,3,4,0
MODEL-C2,6,3,5,0
MODEL-C2,6,3,6,0
MODEL-C2,6,4,1,29
MODEL-C2,6,4,2,0
MODEL-C2,6,4,3,0
MODEL-C2,6,4,4,0
MODEL-C2,6,4,5,0
MODEL-C2,6,4,6,0
MODEL-C2,6,5,1,606
MODEL-C2,6,5,2,0
MODEL-C2,6,5,3,0
MODEL-C2,6,5,4,0
MODEL-C2,6,5,5,0
MODEL-C2,6,5,6,0
MODEL-C2,6,6,1,467
MODEL-C2,6,6,2,0
MODEL-C2,6,6,3,0
MODEL-C2,6,6,4,0
MODEL-C2,6,6,5,0
MODEL-C2,6,6,6,0
MODEL-C2,10,1,1,558
MODEL-C2,10,1,2,42
MODEL-C2,10,1,3,0
MODEL-C2,10,1,4,0
MODEL-C2,10,1,5,0
MODEL-C2,10,1,6,0
MODEL-C2,10,2,1,132
MODEL-C2,10,2,2,374
MODEL-C2,10,2,3,63
MODEL-C2,10,2,4,11
MODEL-C2,10,2,5,20
MODEL-C2,10,2,6,0
MODEL-C2,10,3,1,14
MODEL-C2,10,3,2,374
MODEL-C2,10,3,3,212
MODEL-C2,10,3,4,0
MODEL-C2,10,3,5,0
MODEL-C2,10,3,6,0
MODEL-C2,10,4,1,512
MODEL-C2,10,4,2,47
MODEL-C2,10,4,3,41
MODEL-C2,10,4,4,0
MODEL-C2,10,4,5,0
MODEL-C2,10,4,6,0
MODEL-C2,10,5,1,251
MODEL-C2,10,5,2,57
MODEL-C2,10,5,3,0
MODEL-C2,10,5,4,224
MODEL-C2,10,5,5,68
MODEL-C2,10,5,6,0
MODEL-C2,10,6,1,510
MODEL-C2,10,6,2,90
MODEL-C2,10,6,3,0
MODEL-C2,10,6,4,0
MODEL-C2,10,6,5,0
MODEL-C2,10,6,6,0
MODEL-C3,2,1,1,149
MODEL-C3,2,1,2,0
MODEL-C3,2,1,3,15
MODEL-C3,2,1,4,0
MODEL-C3,2,1,5,0
MODEL-C3,2,1,6,0
MODEL-C3,2,2,1,0
MODEL-C3,2,2,2,310
MODEL-C3,2,2,3,24
MODEL-C3,2,2,4,0
MODEL-C3,2,2,5,0
MODEL-C3,2,2,6,0
MODEL-C3,2,3,1,0
MODEL-C3,2,3,2,0
MODEL-C3,2,3,3,100
MODEL-C3,2,3,4,0
MODEL-C3,2,3,5,0
MODEL-C3,2,3,6,0
MODEL-C3,2,4,1,108
MODEL-C3,2,4,2,0
MODEL-C3,2,4,3,0
MODEL-C3,2,4,4,1
MODEL-C3,2,4,5,0
MODEL-C3,2,4,6,0
MODEL-C3,2,5,1,106
MODEL-C3,2,5,2,0
MODEL-C3,2,5,3,0
MODEL-C3,2,5,4,99
MODEL-C3,2,5,5,326
MODEL-C3,2,5,6,1
MODEL-C3,2,6,1,0
MODEL-C3,2,6,2,0
MODEL-C3,2,6,3,0
MODEL-C3,2,6,4,4
MODEL-C3,2,6,5,0
MODEL-C3,2,6,6,1
MODEL-C3,6,1,1,243
MODEL-C3,6,1,2,270
MODEL-C3,6,1,3,1
MODEL-C3,6,1,4,0
MODEL-C3,6,1,5,0
MODEL-C3,6,1,6,0
MODEL-C3,6,2,1,52
MODEL-C3,6,2,2,484
MODEL-C3,6,2,3,38
MODEL-C3,6,2,4,0
MODEL-C3,6,2,5,0
MODEL-C3,6,2,6,0
MODEL-C3,6,3,1,105
MODEL-C3,6,3,2,4
MODEL-C3,6,3,3,1
MODEL-C3,6,3,4,0
MODEL-C3,6,3,5,0
MODEL-C3,6,3,6,0
MODEL-C3,6,4,1,26
MODEL-C3,6,4,2,3
MODEL-C3,6,4,3,0
MODEL-C3,6,4,4,0
MODEL-C3,6,4,5,0
MODEL-C3,6,4,6,0
MODEL-C3,6,5,1,278
MODEL-C3,6,5,2,80
MODEL-C3,6,5,3,248
MODEL-C3,6,5,4,0
MODEL-C3,6,5,5,0
MODEL-C3,6,5,6,0
MODEL-C3,6,6,1,467
MODEL-C3,6,6,2,0
MODEL-C3,6,6,3,0
MODEL-C3,6,6,4,0
MODEL-C3,6,6,5,0
MODEL-C3,6,6,6,0
MODEL-C3,10,1,1,600
MODEL-C3,10,1,2,0
MODEL-C3,10,1,3,0
MODEL-C3,10,1,4,0
MODEL-C3,10,1,5,0
MODEL-C3,10,1,6,0
MODEL-C3,10,2,1,254
MODEL-C3,10,2,2,289
MODEL-C3,10,2,3,53
MODEL-C3,10,2,4,0
MODEL-C3,10,2,5,1
MODEL-C3,10,2,6,3
MODEL-C3,10,3,1,119
MODEL-C3,10,3,2,11
MODEL-C3,10,3,3,469
MODEL-C3,10,3,4,0
MODEL-C3,10,3,5,0
MODEL-C3,10,3,6,1
MODEL-C3,10,4,1,591
MODEL-C3,10,4,2,0
MODEL-C3,10,4,3,2
MODEL-C3,10,4,4,0
MODEL-C3,10,4,5,0
MODEL-C3,10,4,6,7
MODEL-C3,10,5,1,304
MODEL-C3,10,5,2,0
MODEL-C3,10,5,3,214
MODEL-C3,10,5,4,1
MODEL-C3,10,5,5,70
MODEL-C3,10,5,6,11
MODEL-C3,10,6,1,558
MODEL-C3,10,6,2,0
MODEL-C3,10,6,3,0
MODEL-C3,10,6,4,3
MODEL-C3,10,6,5,0
MODEL-C3,10,6,6,39
MODEL-C4,2,1,1,156
MODEL-C4,2,1,2,5
MODEL-C4,2,1,3,1
MODEL-C4,2,1,4,0
MODEL-C4,2,1,5,1
MODEL-C4,2,1,6,1
MODEL-C4,2,2,1,15
MODEL-C4,2,2,2,317
MODEL-C4,2,2,3,1
MODEL-C4,2,2,4,0
MODEL-C4,2,2,5,0
MODEL-C4,2,2,6,1
MODEL-C4,2,3,1,0
MODEL-C4,2,3,2,0
MODEL-C4,2,3,3,100
MODEL-C4,2,3,4,0
MODEL-C4,2,3,5,0
MODEL-C4,2,3,6,0
MODEL-C4,2,4,1,108
MODEL-C4,2,4,2,0
MODEL-C4,2,4,3,0
MODEL-C4,2,4,4,0
MODEL-C4,2,4,5,0
MODEL-C4,2,4,6,1
MODEL-C4,2,5,1,19
MODEL-C4,2,5,2,0
MODEL-C4,2,5,3,0
MODEL-C4,2,5,4,9
MODEL-C4,2,5,5,501
MODEL-C4,2,5,6,3
MODEL-C4,2,6,1,0
MODEL-C4,2,6,2,0
MODEL-C4,2,6,3,0
MODEL-C4,2,6,4,0
MODEL-C4,2,6,5,0
MODEL-C4,2,6,6,5
MODEL-C4,6,1,1,500
MODEL-C4,6,1,2,14
MODEL-C4,6,1,3,0
MODEL-C4,6,1,4,0
MODEL-C4,6,1,5,0
MODEL-C4,6,1,6,0
MODEL-C4,6,2,1,28
MODEL-C4,6,2,2,524
MODEL-C4,6,2,3,22
MODEL-C4,6,2,4,0
MODEL-C4,6,2,5,0
MODEL-C4,6,2,6,0
MODEL-C4,6,3,1,3
MODEL-C4,6,3,2,3
MODEL-C4,6,3,3,104
MODEL-C4,6,3,4,0
MODEL-C4,6,3,5,0
MODEL-C4,6,3,6,0
MODEL-C4,6,4,1,26
MODEL-C4,6,4,2,3
MODEL-C4,6,4,3,0
MODEL-C4,6,4,4,0
MODEL-C4,6,4,5,0
MODEL-C4,6,4,6,0
MODEL-C4,6,5,1,215
MODEL-C4,6,5,2,15
MODEL-C4,6,5,3,370
MODEL-C4,6,5,4,0
MODEL-C4,6,5,5,4
MODEL-C4,6,5,6,2
MODEL-C4,6,6,1,463
