model_id,method,k,macro_f1_damage,random_damage_mean
MODEL-C1,INTRINSIC_COEFFICIENT,1,0.004916412832334745,-0.0011532350819908556
MODEL-C1,INTRINSIC_COEFFICIENT,3,0.033591692270474066,0.00010741739700216676
MODEL-C1,INTRINSIC_COEFFICIENT,5,0.06295017649390483,0.0026536474608085444
MODEL-C1,INTRINSIC_COEFFICIENT,10,0.07001959464884996,0.017651166231707913
MODEL-C1,INTRINSIC_COEFFICIENT,20,0.0594412547539834,0.02686987452576559
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,1,0.0220213065576333,0.0009671713407740556
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.03174564694741307,0.00107071193075181
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,0.04568282620894488,0.006399778009364655
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,0.06989194975102256,0.010820249797848232
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,20,0.0872711418281778,0.03175585715585801
MODEL-C2,INTRINSIC_IMPURITY,1,0.022099938101196547,0.002582730924924578
MODEL-C2,INTRINSIC_IMPURITY,3,0.12644140601517478,0.014059892116750322
MODEL-C2,INTRINSIC_IMPURITY,5,0.19041091630708218,0.018943179061014143
MODEL-C2,INTRINSIC_IMPURITY,10,0.3438082602451656,0.028644615528108413
MODEL-C2,INTRINSIC_IMPURITY,20,0.343579331923717,0.07013657826485033
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,1,0.05495615768448359,0.0037156353000556666
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.10193822911715697,0.007681399863370922
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,0.13696910464412984,0.018604772710846356
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,10,0.15894701280741588,0.03091592357935108
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,20,0.20949439844450132,0.0762736911241926
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,1,0.02335153542172251,0.0012060390072099777
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.02636784137594313,0.0017273423977783443
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,5,0.02587915878963838,0.006219334669324599
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,10,0.056870791340720483,0.013855555992206567
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,20,0.06311486410224426,0.034861499321129544
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,1,0.035048780358021885,-0.0007942403484878001
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.04494736148234405,-0.001715483625089278
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,5,0.050605782728234176,0.0019493536740383885
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,10,0.07295211007502543,-0.0024277056741257557
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,20,0.10946416646666873,0.0017142591718836554
