model_id,method,batch,selected_minus_random
MODEL-C1,INTRINSIC_COEFFICIENT,2,0.1800934137303311
MODEL-C1,INTRINSIC_COEFFICIENT,3,-0.01317209782021946
MODEL-C1,INTRINSIC_COEFFICIENT,4,-0.02048836292508048
MODEL-C1,INTRINSIC_COEFFICIENT,5,0.013555977322762938
MODEL-C1,INTRINSIC_COEFFICIENT,6,-0.0076871196491715196
MODEL-C1,INTRINSIC_COEFFICIENT,7,0.03139911702578674
MODEL-C1,INTRINSIC_COEFFICIENT,8,0.09918338398627898
MODEL-C1,INTRINSIC_COEFFICIENT,9,0.04616078459397676
MODEL-C1,INTRINSIC_COEFFICIENT,10,0.0035773725745913603
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,0.1732584792992536
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.034434324752623716
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,0.028150210468126102
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,-0.06357253049155354
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,-0.015368010640186761
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,0.04400523446843686
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,0.11315216329922181
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,0.03243317707970146
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,0.0235853372698472
MODEL-C2,INTRINSIC_IMPURITY,2,0.2782331945416538
MODEL-C2,INTRINSIC_IMPURITY,3,0.27866229184434566
MODEL-C2,INTRINSIC_IMPURITY,4,0.21498963256675388
MODEL-C2,INTRINSIC_IMPURITY,5,0.21181072990384875
MODEL-C2,INTRINSIC_IMPURITY,6,0.1857474757784497
MODEL-C2,INTRINSIC_IMPURITY,7,0.14137557744228696
MODEL-C2,INTRINSIC_IMPURITY,8,0.09028637397541936
MODEL-C2,INTRINSIC_IMPURITY,9,0.12147680870217256
MODEL-C2,INTRINSIC_IMPURITY,10,0.08296905729910806
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,0.11045908283513994
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.14630228057599298
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,0.15512695883560254
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,0.17195397133485002
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,0.08631592764338072
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,7,0.08907994637073968
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,8,0.0634887687543739
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,9,0.09933401565557576
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,10,0.02314331221011196
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,0.03526562182999264
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.052056164915119385
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,4,0.016452377980681283
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,5,0.01935322131096938
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,6,0.0286239389064961
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,7,0.04694673834502148
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,8,0.0424811057697506
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,-0.00433552603296456
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,10,0.0110423123316492
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,0.10552568495580614
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.026857801697374402
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,4,0.0654439303476284
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,5,0.020963857979568137
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,6,0.13435768159341327
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,7,0.09062644670730806
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,8,0.11724763518918194
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,9,-0.05904732692365154
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,10,0.06374992069510625
