model_id,method,category,selected_minus_random
MODEL-C1,INTRINSIC_COEFFICIENT,CORRECT_REPRESENTATIVE,0.194372344912395
MODEL-C1,INTRINSIC_COEFFICIENT,MISCLASSIFIED,0.09954541982729159
MODEL-C1,INTRINSIC_COEFFICIENT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",-0.27553072060646133
MODEL-C1,INTRINSIC_COEFFICIENT,NEAR_DECISION_BOUNDARY,0.1155983501399928
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,CORRECT_REPRESENTATIVE,0.2000833693923303
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,MISCLASSIFIED,0.10307361196215724
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",-0.36473880373247575
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,NEAR_DECISION_BOUNDARY,0.05416136792490741
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,CORRECT_REPRESENTATIVE,0.15459201388888888
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,MISCLASSIFIED,0.06012797619047618
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",-0.1949583333333333
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,NEAR_DECISION_BOUNDARY,0.009124999999999982
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,CORRECT_REPRESENTATIVE,0.11041158841286211
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,MISCLASSIFIED,0.02503708773644191
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",0.25568431146782095
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,NEAR_DECISION_BOUNDARY,-0.0036633939200770888
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,CORRECT_REPRESENTATIVE,0.16729094806223363
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,MISCLASSIFIED,0.047627948159080634
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,NEAR_DECISION_BOUNDARY,0.054024751006837415
