model_id,method,sensor_k,selected_minus_random
MODEL-C1,INTRINSIC_COEFFICIENT,1,-0.0015308024294688
MODEL-C1,INTRINSIC_COEFFICIENT,2,0.013785530215928047
MODEL-C1,INTRINSIC_COEFFICIENT,3,0.012453248379499989
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,1,0.021714601407995037
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,-0.006040031862969578
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.0052404521905775785
MODEL-C2,INTRINSIC_IMPURITY,1,0.17148004959079738
MODEL-C2,INTRINSIC_IMPURITY,2,0.21229139203500472
MODEL-C2,INTRINSIC_IMPURITY,3,0.23248092495982847
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,1,0.08895831478202082
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,0.14982828738803955
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.18726461846157158
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,1,-0.024596493809616454
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,-0.005538787986797622
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.02712104510250949
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,1,0.05730126449198647
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,0.03586195683273761
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,3,0.04350243115399545
