model,test_batch,accuracy
MODEL-C1,2,0.8143086816720257
MODEL-C1,3,0.6292559899117276
MODEL-C1,4,0.5403726708074534
MODEL-C1,5,0.350253807106599
MODEL-C1,6,0.46652173913043476
MODEL-C1,7,0.4306670357044008
MODEL-C1,8,0.32653061224489793
MODEL-C1,9,0.3425531914893617
MODEL-C1,10,0.37416666666666665
MODEL-C2,2,0.702572347266881
MODEL-C2,3,0.723203026481715
MODEL-C2,4,0.6086956521739131
MODEL-C2,5,0.43147208121827413
MODEL-C2,6,0.4882608695652174
MODEL-C2,7,0.40409631884860225
MODEL-C2,8,0.24489795918367346
MODEL-C2,9,0.42127659574468085
MODEL-C2,10,0.33666666666666667
MODEL-C3,2,0.7130225080385852
MODEL-C3,3,0.5233291298865069
MODEL-C3,4,0.36024844720496896
MODEL-C3,5,0.19289340101522842
MODEL-C3,6,0.3165217391304348
MODEL-C3,7,0.32355383337946303
MODEL-C3,8,0.20408163265306123
MODEL-C3,9,0.3425531914893617
MODEL-C3,10,0.4075
MODEL-C4,2,0.867363344051447
MODEL-C4,3,0.776796973518285
MODEL-C4,4,0.577639751552795
MODEL-C4,5,0.4416243654822335
MODEL-C4,6,0.4926086956521739
MODEL-C4,7,0.4458898422363687
MODEL-C4,8,0.24149659863945577
MODEL-C4,9,0.3425531914893617
MODEL-C4,10,0.4216666666666667
