model,test_batch,macro_f1
MODEL-C1,2,0.6665881787253305
MODEL-C1,3,0.3820880692098001
MODEL-C1,4,0.26335302977638747
MODEL-C1,5,0.2423622349957525
MODEL-C1,6,0.23849002296627952
MODEL-C1,7,0.3066783275636837
MODEL-C1,8,0.3298555069743583
MODEL-C1,9,0.16975806451612904
MODEL-C1,10,0.27671603021730545
MODEL-C2,2,0.6672518922809217
MODEL-C2,3,0.6231249015128849
MODEL-C2,4,0.5249848695846333
MODEL-C2,5,0.4516625716625716
MODEL-C2,6,0.3803444863245436
MODEL-C2,7,0.3118627147913819
MODEL-C2,8,0.17774436090225562
MODEL-C2,9,0.32686397764972935
MODEL-C2,10,0.2609734060912498
MODEL-C3,2,0.570004769259148
MODEL-C3,3,0.3299200665789677
MODEL-C3,4,0.23723365919110595
MODEL-C3,5,0.1787661406025825
MODEL-C3,6,0.16292522754345556
MODEL-C3,7,0.25754264588756937
MODEL-C3,8,0.1427163414153361
MODEL-C3,9,0.17043757242081434
MODEL-C3,10,0.3444130867649225
MODEL-C4,2,0.7043232207051976
MODEL-C4,3,0.5676258280355576
MODEL-C4,4,0.40881362646068525
MODEL-C4,5,0.4623416743898671
MODEL-C4,6,0.30927446843794953
MODEL-C4,7,0.3093977212378624
MODEL-C4,8,0.17957978839012068
MODEL-C4,9,0.17489492855141497
MODEL-C4,10,0.3581599216052737
