model,test_batch,balanced_accuracy
MODEL-C1,2,0.7460218843442767
MODEL-C1,3,0.5083371154467045
MODEL-C1,4,0.36305717054263564
MODEL-C1,5,0.41500000000000004
MODEL-C1,6,0.32969431157245527
MODEL-C1,7,0.44697045988586775
MODEL-C1,8,0.4879208754208754
MODEL-C1,9,0.3333333333333333
MODEL-C1,10,0.3741666666666666
MODEL-C2,2,0.720263992462535
MODEL-C2,3,0.6611250441230873
MODEL-C2,4,0.5839631782945737
MODEL-C2,5,0.5700000000000001
MODEL-C2,6,0.46107591595396474
MODEL-C2,7,0.4348094532813413
MODEL-C2,8,0.3458333333333334
MODEL-C2,9,0.4454545454545455
MODEL-C2,10,0.33666666666666667
MODEL-C3,2,0.6097727607924214
MODEL-C3,3,0.4178234182285063
MODEL-C3,4,0.266327519379845
MODEL-C3,5,0.2178571428571429
MODEL-C3,6,0.22084318831969962
MODEL-C3,7,0.3614332449212627
MODEL-C3,8,0.2916666666666667
MODEL-C3,9,0.3333333333333333
MODEL-C3,10,0.4075
MODEL-C4,2,0.8070084386517631
MODEL-C4,3,0.71632012417531
MODEL-C4,4,0.4916666666666667
MODEL-C4,5,0.5900000000000001
MODEL-C4,6,0.47330852752013214
MODEL-C4,7,0.48262220463882094
MODEL-C4,8,0.34398148148148144
MODEL-C4,9,0.3333333333333333
MODEL-C4,10,0.42166666666666663
