model_id,method,batch,median_us,p95_us
MODEL-C1,INTRINSIC_COEFFICIENT,,12.8,13.805
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2.0,1330028.7,1373144.73
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6.0,1315073.6,1341278.72
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10.0,1320504.3,1334284.29
MODEL-C2,INTRINSIC_IMPURITY,,21772.7,22408.54
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2.0,9463815.5,9467436.02
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6.0,9359869.2,9360621.24
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,10.0,9677474.5,9773391.1
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2.0,3319257.5,3335536.07
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,6.0,3329822.6,3349876.94
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,10.0,3261422.6,3283771.31
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2.0,1448625.8,1455475.61
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,6.0,1444864.4,1462304.6
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,10.0,1468170.9,1475774.37
