model_id,method,scope,prediction_calls,perturbed_samples,feature_count
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,0,0,128
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,0,0,128
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,641,641,128
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,641,641,128
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,641,641,128
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,641,641,128
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,1,1,128
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,129,128
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,129,128
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,129,128
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,129,128
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,129,129,128
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,129,129,128
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,129,129,128
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,129,129,128
