model_id,method,scope,batch,wall_time_ns
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13700
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,14200
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13200
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13100
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13100
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13100
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12800
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13800
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12800
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12800
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12500
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12600
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12600
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12800
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12500
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12500
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13000
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12700
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12500
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13700
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12600
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12800
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12400
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12700
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12500
