model_id,method,scope,median_us,stage10_fidelity_evidence
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,12.8,0.0369580520932507
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,444.1,0.1406627904026925
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,1321868.8666666667,0.0411198206117189
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,LOCAL,709.0833333333334,0.126641391657309
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,21772.7,0.1783945713393376
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,9500386.4,0.1050226960239742
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,LOCAL,22425.86666666667,0.0846187106918238
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,3303500.9,0.0275428839285239
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,LOCAL,2391.016666666667,0.0613926988003422
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,1453887.0333333332,0.062858403582415
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,LOCAL,789.4,0.1080716606998906
