model_id,method,batch_a,batch_b,comparison_type,explanation_distance,input_change,model_macro_f1_change
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,ADJACENT,0.6665039745010175,0.2418477912581544,0.2845001095155304
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,4,ADJACENT,0.2085045725379208,0.1751468618973872,0.1187350394334126
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,5,ADJACENT,0.522782032936995,0.1675454310169655,0.0209907947806349
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,6,ADJACENT,0.5871209992193209,0.5772052274640999,0.0038722120294729
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,7,ADJACENT,0.3481907997219965,0.0155107914287478,0.0681883045974041
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,8,ADJACENT,0.5419566021490474,0.0186318961474543,0.0231771794106745
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,9,ADJACENT,0.8513056408388753,0.0592033757526948,0.1600974424582293
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,10,ADJACENT,0.7173496539985647,0.2684168374764425,0.1069579657011764
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,ANCHOR_TO_FUTURE,0.6665039745010175,0.2418477912581544,0.2845001095155304
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,4,ANCHOR_TO_FUTURE,0.7516409275607926,0.4169946531555417,0.4032351489489431
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,ANCHOR_TO_FUTURE,0.4620090629811239,0.5845400841725072,0.424225943729578
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,6,ANCHOR_TO_FUTURE,0.5123366531744489,0.0073348567084073,0.4280981557590509
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,7,ANCHOR_TO_FUTURE,0.3139970183860229,0.0228456481371552,0.3599098511616468
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,8,ANCHOR_TO_FUTURE,0.6189196673752733,0.0414775442846095,0.3367326717509722
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,9,ANCHOR_TO_FUTURE,0.576116711048292,0.1006809200373044,0.4968301142092015
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,ANCHOR_TO_FUTURE,0.3717308852253805,0.167735917439138,0.3898721485080251
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,ADJACENT,0.6521209783309507,0.2418477912581544,0.0441269907680368
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,4,ADJACENT,0.6795476582787345,0.1751468618973872,0.0981400319282516
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,5,ADJACENT,0.6779790867333017,0.1675454310169655,0.0733222979220616
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,6,ADJACENT,0.5981623839298272,0.5772052274640999,0.071318085338028
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,7,ADJACENT,0.4848521393927493,0.0155107914287478,0.0684817715331617
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,7,8,ADJACENT,0.552957968834897,0.0186318961474543,0.1341183538891263
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,8,9,ADJACENT,0.4106081461685054,0.0592033757526948,0.1491196167474737
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,9,10,ADJACENT,0.5637299650210343,0.2684168374764425,0.0658905715584795
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,ANCHOR_TO_FUTURE,0.6521209783309507,0.2418477912581544,0.0441269907680368
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,4,ANCHOR_TO_FUTURE,0.5531014699579869,0.4169946531555417,0.1422670226962884
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,ANCHOR_TO_FUTURE,0.678020525464252,0.5845400841725072,0.2155893206183501
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,6,ANCHOR_TO_FUTURE,0.6270963947454551,0.0073348567084073,0.2869074059563781
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,7,ANCHOR_TO_FUTURE,0.574685518794829,0.0228456481371552,0.3553891774895398
