model_id,method,category,explanation_distance
MODEL-C1,INTRINSIC_COEFFICIENT,CORRECT_REPRESENTATIVE,0.1781961159340949
MODEL-C1,INTRINSIC_COEFFICIENT,MISCLASSIFIED,0.14110770316281174
MODEL-C1,INTRINSIC_COEFFICIENT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",0.0787365539392342
MODEL-C1,INTRINSIC_COEFFICIENT,NEAR_DECISION_BOUNDARY,0.21783714463310516
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,CORRECT_REPRESENTATIVE,0.23783182888324889
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,MISCLASSIFIED,0.16041415178279173
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",0.08816876893072423
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,NEAR_DECISION_BOUNDARY,0.24445862548264546
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,CORRECT_REPRESENTATIVE,0.2894721155839846
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,MISCLASSIFIED,0.32450088775564007
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",0.16314199524398923
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,NEAR_DECISION_BOUNDARY,0.21271042080424832
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,CORRECT_REPRESENTATIVE,0.23747456659001748
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,MISCLASSIFIED,0.15992970769096432
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,NEAR_DECISION_BOUNDARY,0.1913026415709163
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,CORRECT_REPRESENTATIVE,0.2814595957096294
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,MISCLASSIFIED,0.2222608047131914
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,NEAR_DECISION_BOUNDARY,0.2842677691201634
