artifact_id,path,sha256,producer_experiment,git_commit,created_at
ART-C49BF6E9A9BF,results/drift/feature_drift_by_batch.csv,c49bf6e9a9bf18c2a807c83e57a9ad7935381b26f44df679e93d2a1bb48924cd,DRIFT-FIXED-B1-001,c2e2d1a1fc0e20e3169d61f594e5938dffe9cb29,2026-08-10T02:52:28.405064+00:00
ART-3F240F622273,results/baselines/fixed_origin_metrics.csv,3f240f6222738df20f7a7911079951691c0834ffcbbdd05f8892802ba600a3c4,BASE-FIXED-C4-001,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:19.013761+00:00
ART-523969E083F8,artifacts/models/BASE-FIXED-C1-001.joblib,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,EXP-XAI-0001-C1,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-10T03:25:55.140496+00:00
ART-65B8C9AE4FED,artifacts/models/BASE-FIXED-C2-001.joblib,65b8c9ae4fed9c9e448a6699dbfa22da5b8c889a9ec357ce57230876bbbf9664,EXP-XAI-0001-C2,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-10T03:25:55.148074+00:00
ART-4BF3323B86D2,artifacts/models/BASE-FIXED-C3-001.joblib,4bf3323b86d298b5cb4ab5941ab40d03c10ac4b95104201cee0acddfe5b549c0,EXP-XAI-0001-C3,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-10T03:25:55.150139+00:00
ART-AF63D8B42A20,artifacts/models/BASE-FIXED-C4-001.joblib,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,EXP-XAI-0001-C4,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-10T03:25:55.153825+00:00
ART-7DD95D383914,results/baselines/expanding_window_metrics.csv,7dd95d383914f126d3b32734455ccf093a1aa8c7a5b48d632ca03b0d459b10d8,BASE-EXPAND-C4-001,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:20:16.182799+00:00
ART-934585B3C8F8,results/baselines/iid_diagnostic_metrics.csv,934585b3c8f8114eaed3c26266c1af1cc652df5a07c169725aa918d6ba97ea70,BASE-IID-C4-001,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:20:32.412249+00:00
ART-5F12947CBA24,results/xai/stage09_global_importance.csv,5f12947cba249da686f40be258e8e4d2768d1b7e95cda8b82f16f99a7b1a458d,EXP-XAI-0001-C4,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-11T03:30:59.518784+00:00
ART-34EC1788F82B,results/xai/stage10_fidelity_summary.csv,34ec1788f82b8850a101e21e38ce73f91c5f9a9e89933df05e95bd360a84751a,EXP-XAI-FIDELITY-001,fe7c519709492351a1827ec64516d31df7065fdb,2026-08-11T21:07:09.057105+00:00
ART-1C4A27D9A997,results/xai/stage11_stability_summary.csv,1c4a27d9a9974a56a0e89dfa6a6c74ce2670702c3a5b5e3398681be063c1af23,EXP-XAI-STABILITY-001,fe7c519709492351a1827ec64516d31df7065fdb,2026-08-11T21:35:12.959217+00:00
ART-3018B6C8B0FD,results/xai/stage12_latency_summary.csv,3018b6c8b0fd81312eb95c7ad1563dc2308a9d8bf0fa6dc92b68e9805e10e4fd,EXP-XAI-LATENCY-001,fe7c519709492351a1827ec64516d31df7065fdb,2026-08-11T23:03:08.034889+00:00
ART-59F9CD5FE138,results/embedded/stage14_summary.json,59f9cd5fe13873be2b16b1ebaedec461ba806e2921a61d944184ce43dd280a93,EXP-EMBED-FP32-EQUIV-001,7ec127ee565c44260e33746bea1b2ec37cdfb40b,2026-08-12T04:01:25.887741+00:00
