experiment_id,research_question_id,hypothesis_id,stage,model_id,protocol,train_batches,test_batches,seed,dataset_id,status,git_commit,timestamp
DRIFT-FIXED-B1-001,RQ1,H1,07,NONE,FIXED_ORIGIN,1,2-10,NOT_APPLICABLE,UCI_GAS_DRIFT_224_V1,EXECUTED,c2e2d1a1fc0e20e3169d61f594e5938dffe9cb29,2026-08-10T02:52:32.675093+00:00
BASE-FIXED-C1-001,RQ1,H1,06,MODEL-C1,FIXED_ORIGIN_B1,1,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-FIXED-C2-001,RQ1,H1,06,MODEL-C2,FIXED_ORIGIN_B1,1,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-FIXED-C3-001,RQ1,H1,06,MODEL-C3,FIXED_ORIGIN_B1,1,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-FIXED-C4-001,RQ1,H1,06,MODEL-C4,FIXED_ORIGIN_B1,1,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-EXPAND-C1-001,RQ3,H3,06,MODEL-C1,EXPANDING_WINDOW,HISTORICAL,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-EXPAND-C2-001,RQ3,H3,06,MODEL-C2,EXPANDING_WINDOW,HISTORICAL,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-EXPAND-C3-001,RQ3,H3,06,MODEL-C3,EXPANDING_WINDOW,HISTORICAL,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-EXPAND-C4-001,RQ3,H3,06,MODEL-C4,EXPANDING_WINDOW,HISTORICAL,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-IID-C1-001,RQ2,H2,06,MODEL-C1,IID_DIAGNOSTIC_ONLY,STRATIFIED_RANDOM,20_PERCENT_RANDOM,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-IID-C2-001,RQ2,H2,06,MODEL-C2,IID_DIAGNOSTIC_ONLY,STRATIFIED_RANDOM,20_PERCENT_RANDOM,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-IID-C3-001,RQ2,H2,06,MODEL-C3,IID_DIAGNOSTIC_ONLY,STRATIFIED_RANDOM,20_PERCENT_RANDOM,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
BASE-IID-C4-001,RQ2,H2,06,MODEL-C4,IID_DIAGNOSTIC_ONLY,STRATIFIED_RANDOM,20_PERCENT_RANDOM,42,UCI_GAS_DRIFT_224_V1,EXECUTED,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,2026-08-10T03:18:11.025981+00:00
EXP-XAI-0001-C1,RQ5,H5,09,MODEL-C1,FIXED_ORIGIN,1,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-11T03:23:54.144286+00:00
EXP-XAI-0001-C2,RQ5,H5,09,MODEL-C2,FIXED_ORIGIN,1,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-11T03:23:54.144286+00:00
EXP-XAI-0001-C3,RQ5,H5,09,MODEL-C3,FIXED_ORIGIN,1,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-11T03:23:54.144286+00:00
EXP-XAI-0001-C4,RQ5,H5,09,MODEL-C4,FIXED_ORIGIN,1,2-10,42,UCI_GAS_DRIFT_224_V1,EXECUTED,48160ce8612d1c818cdf69a503bdb99123855e76,2026-08-11T03:23:54.144286+00:00
