experiment_id,model_id,method,scope,status,reason
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,global,EXECUTED,
EXP-XAI-0001,MODEL-C1,INTRINSIC_IMPURITY,global,NOT_APPLICABLE,capability not detected on fitted estimator
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,global,EXECUTED,
EXP-XAI-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,local,EXECUTED,
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,local,EXECUTED,
EXP-XAI-0001,MODEL-C2,INTRINSIC_IMPURITY,global,EXECUTED,
EXP-XAI-0001,MODEL-C2,INTRINSIC_COEFFICIENT,global,NOT_APPLICABLE,capability not detected on fitted estimator
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,global,EXECUTED,
EXP-XAI-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,local,EXECUTED,
EXP-XAI-0001,MODEL-C2,INTRINSIC_COEFFICIENT,local,NOT_APPLICABLE,capability not detected on fitted estimator
EXP-XAI-0001,MODEL-C3,INTRINSIC_COEFFICIENT,global,NOT_APPLICABLE,capability not detected on fitted estimator
EXP-XAI-0001,MODEL-C3,INTRINSIC_IMPURITY,global,NOT_APPLICABLE,capability not detected on fitted estimator
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,global,EXECUTED,
EXP-XAI-0001,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,local,EXECUTED,
EXP-XAI-0001,MODEL-C3,INTRINSIC_COEFFICIENT,local,NOT_APPLICABLE,capability not detected on fitted estimator
EXP-XAI-0001,MODEL-C4,INTRINSIC_COEFFICIENT,global,NOT_APPLICABLE,capability not detected on fitted estimator
EXP-XAI-0001,MODEL-C4,INTRINSIC_IMPURITY,global,NOT_APPLICABLE,capability not detected on fitted estimator
EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,global,EXECUTED,
EXP-XAI-0001,MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,local,EXECUTED,
EXP-XAI-0001,MODEL-C4,INTRINSIC_COEFFICIENT,local,NOT_APPLICABLE,capability not detected on fitted estimator
