experiment_id,model_id,method,batch,top_k,feature_index,feature_name,importance,rank,status
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,1,64,S9:dR,0.49087808980094527,1,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,3,64,S9:dR,0.49087808980094527,1,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,3,72,S10:dR,0.4841492133511514,2,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,3,8,S2:dR,0.4702704173980215,3,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,5,64,S9:dR,0.49087808980094527,1,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,5,72,S10:dR,0.4841492133511514,2,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,5,8,S2:dR,0.4702704173980215,3,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,5,0,S1:dR,0.41480788315803413,4,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,5,102,S13:EMAd_0.01,0.3497493935697049,5,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,64,S9:dR,0.49087808980094527,1,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,72,S10:dR,0.4841492133511514,2,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,8,S2:dR,0.4702704173980215,3,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,0,S1:dR,0.41480788315803413,4,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,102,S13:EMAd_0.01,0.3497493935697049,5,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,63,S8:EMAd_0.1,0.32058679248684013,6,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,87,S11:EMAd_0.1,0.30517697233461344,7,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,23,S3:EMAd_0.1,0.3022434665731928,8,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,12,S2:EMAi_0.1,0.29433796728281186,9,EXECUTED
EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,ALL,10,76,S10:EMAi_0.1,0.29297838379550467,10,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,1,64,S9:dR,0.09798744657785854,1,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,64,S9:dR,0.09798744657785854,1,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,8,S2:dR,0.08704129916105911,2,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,72,S10:dR,0.08520459089972339,3,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,64,S9:dR,0.09798744657785854,1,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,8,S2:dR,0.08704129916105911,2,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,72,S10:dR,0.08520459089972339,3,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,7,S1:EMAd_0.1,0.07294656841602878,4,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,52,S7:EMAi_0.1,0.0610527675245008,5,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,64,S9:dR,0.09798744657785854,1,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,8,S2:dR,0.08704129916105911,2,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,72,S10:dR,0.08520459089972339,3,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,7,S1:EMAd_0.1,0.07294656841602878,4,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,52,S7:EMAi_0.1,0.0610527675245008,5,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,124,S16:EMAi_0.1,0.06082164809830992,6,EXECUTED
