experiment_id,model_id,method,batch,sensor_k,selected_sensors,features_altered,macro_f1_damage,random_damage_mean,selected_minus_random,unit
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,2,1,[9],8,0.2248150920070376,0.08925487744398,0.13556021456305758,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,2,2,"[9, 2]",16,0.3432663157677482,0.16370437300746218,0.179561942760286,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,2,3,"[9, 2, 10]",24,0.427909097727166,0.21440220333815554,0.21350689438901047,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,3,1,[9],8,-0.018330746168765122,-0.019300767944936174,0.0009700217761710525,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,3,2,"[9, 2]",16,0.04112179774118613,0.0014037847383350159,0.03971801300285111,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,3,3,"[9, 2, 10]",24,0.04165888732197298,-0.0005697261618934449,0.042228613483866424,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,4,1,[9],8,-0.0057898273664696576,-0.013379428894493143,0.007589601528023486,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,4,2,"[9, 2]",16,-0.06448496593984537,-0.006015001375858332,-0.058469964563987044,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,4,3,"[9, 2, 10]",24,-0.06152316069980296,-0.02509449503965313,-0.03642866566014983,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,5,1,[9],8,-0.04553986290634543,0.0006872554255331213,-0.04622711833187855,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,5,2,"[9, 2]",16,-0.00974761622008291,-0.006371721997371692,-0.003375894222711219,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,5,3,"[9, 2, 10]",24,0.039812489933444606,0.018913616724361027,0.02089887320908358,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,6,1,[9],8,0.0049478680574851774,0.006255844101447213,-0.0013079760439620352,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,6,2,"[9, 2]",16,-0.08321970076273638,0.010600310058196238,-0.09382001082093262,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,6,3,"[9, 2, 10]",24,-0.09461330047639444,-3.9567979943933015e-05,-0.0945737324964505,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,7,1,[9],8,-0.007735481073805062,0.03413576644587147,-0.04187124751967653,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,7,2,"[9, 2]",16,0.026708534641691095,0.023865551035530796,0.0028429836061602994,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,7,3,"[9, 2, 10]",24,0.024851399526885087,0.04667821601756392,-0.02182681649067883,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,8,1,[9],8,0.0031400724897733823,0.08281663311472079,-0.0796765606249474,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,8,2,"[9, 2]",16,0.15450440418284564,0.10682713793874865,0.04767726624409699,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,8,3,"[9, 2, 10]",24,0.1706036018689125,0.12300024365502976,0.04760335821388273,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,9,1,[9],8,-0.00011563645858092553,-0.06471841578618488,0.06460277932760396,macro_f1_proportion
