experiment_id,source_experiment_id,model_id,candidate_method,reference_method,top_k,n_samples,mean_rank_overlap_at_k,candidate_prediction_preservation_rate,reference_prediction_preservation_rate,mean_candidate_probability_closeness,std_candidate_probability_closeness,mean_reference_probability_closeness,mean_candidate_absolute_sufficiency_gap,std_candidate_absolute_sufficiency_gap,mean_reference_absolute_sufficiency_gap,mean_candidate_comprehensiveness_drop,std_candidate_comprehensiveness_drop,mean_reference_comprehensiveness_drop,mean_candidate_minus_reference_probability_closeness,mean_candidate_minus_reference_absolute_sufficiency_gap,mean_candidate_minus_reference_comprehensiveness_drop
EXP-FID-0001,EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,SINGLE_FEATURE_ABLATION_LOCAL,1,54,0.6111111111111112,0.48148148148148145,0.5,0.6278937307477015,0.28924727115475823,0.622295925818892,0.37210626925229856,0.28924727115475823,0.377704074181108,0.05884738541306344,0.22810572284911837,0.04282413892656273,0.005597804928809443,-0.005597804928809445,0.01602324648650071
EXP-FID-0001,EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,SINGLE_FEATURE_ABLATION_LOCAL,3,54,0.6296296296296297,0.6296296296296297,0.5555555555555556,0.6915131142789861,0.24980849306587136,0.6565093426231591,0.30848688572101396,0.24980849306587136,0.34349065737684087,0.13258031316012425,0.3284895855138522,0.10294749378308128,0.035003771655827035,-0.03500377165582703,0.029632819377042947
EXP-FID-0001,EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,SINGLE_FEATURE_ABLATION_LOCAL,5,54,0.6000000000000001,0.6296296296296297,0.5370370370370371,0.7149213744841595,0.2317622412929561,0.6775353239387831,0.28507862551584034,0.23176224129295608,0.3224646760612168,0.17743017476713582,0.3761441419099086,0.16347669075526203,0.03738605054537646,-0.03738605054537646,0.013953484011873803
EXP-FID-0001,EXP-XAI-0001,MODEL-C1,INTRINSIC_COEFFICIENT,SINGLE_FEATURE_ABLATION_LOCAL,10,54,0.6425925925925928,0.5740740740740741,0.5740740740740741,0.7226795322145121,0.2276828254621158,0.6954865827272357,0.27732046778548775,0.2276828254621158,0.30451341727276404,0.26390096093314064,0.3790324485286185,0.2607393706699908,0.027192949487276272,-0.027192949487276283,0.0031615902631497903
EXP-FID-0001,EXP-XAI-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,SINGLE_FEATURE_ABLATION_LOCAL,1,53,1.0,0.32075471698113206,0.32075471698113206,0.6412264150943396,0.20380492572644765,0.6412264150943396,0.3587735849056604,0.20380492572644765,0.3587735849056604,0.031792452830188674,0.07371393733432953,0.031792452830188674,0.0,0.0,0.0
EXP-FID-0001,EXP-XAI-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,SINGLE_FEATURE_ABLATION_LOCAL,3,53,1.0,0.32075471698113206,0.32075471698113206,0.7085849056603775,0.20633332200054214,0.7085849056603775,0.2914150943396226,0.2063333220005421,0.2914150943396226,0.08169811320754718,0.15379789246651196,0.08169811320754718,0.0,0.0,0.0
EXP-FID-0001,EXP-XAI-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,SINGLE_FEATURE_ABLATION_LOCAL,5,53,1.0,0.39622641509433965,0.39622641509433965,0.7496226415094339,0.19410259246228667,0.7496226415094339,0.250377358490566,0.19410259246228667,0.250377358490566,0.10877358490566039,0.207171671800265,0.10877358490566039,0.0,0.0,0.0
EXP-FID-0001,EXP-XAI-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,SINGLE_FEATURE_ABLATION_LOCAL,10,53,1.0,0.6226415094339622,0.6226415094339622,0.8444339622641511,0.15024870528483025,0.8444339622641511,0.15556603773584907,0.15024870528483028,0.15556603773584907,0.1640566037735849,0.2621638077977451,0.1640566037735849,0.0,0.0,0.0
EXP-FID-0001,EXP-XAI-0001,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,SINGLE_FEATURE_ABLATION_LOCAL,1,54,1.0,0.3333333333333333,0.3333333333333333,0.5775366049272358,0.22164288917577446,0.5775366049272358,0.42246339507276426,0.22164288917577446,0.42246339507276426,0.033954466622481104,0.0984993377674992,0.033954466622481104,0.0,0.0,0.0
EXP-FID-0001,EXP-XAI-0001,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,SINGLE_FEATURE_ABLATION_LOCAL,3,54,1.0,0.3333333333333333,0.3333333333333333,0.606701462539314,0.21813455943827803,0.606701462539314,0.39329853746068594,0.21813455943827803,0.39329853746068594,0.08360047524834625,0.16141334040602157,0.08360047524834625,0.0,0.0,0.0
