experiment_id,model_id,method,source_sample_id,target_sample_id,source_batch,target_batch,true_class,source_predicted_class,target_predicted_class,prediction_consistent,matching_cost,matching_algorithm,unit,status
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:0,B6:24,2,6,1,1,1,True,2.350789095834228,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:1,B6:23,2,6,1,1,1,True,2.388266041085845,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:71,B6:0,2,6,2,2,2,True,2.4912426339966407,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:495,B6:1,2,6,2,1,2,False,1.5609671212631806,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:534,B6:390,2,6,3,3,1,False,0.5866792971399868,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:535,B6:388,2,6,3,3,1,False,0.5939351412169025,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:540,B6:389,2,6,3,1,1,True,0.5924308354656224,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:211,B6:1461,2,6,5,5,3,False,0.5798962467644064,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:212,B6:1464,2,6,5,5,3,False,0.5561683776448904,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:778,B6:1562,2,6,5,5,1,False,1.3726652507522443,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:23,B10:842,6,10,1,1,1,True,1.1170832299727222,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:24,B10:840,6,10,1,1,1,True,1.9488663398132633,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:0,B10:125,6,10,2,2,2,True,2.830321978970387,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:1,B10:123,6,10,2,2,2,True,2.847208642576008,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:387,B10:2363,6,10,3,1,3,False,0.7226932762820829,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:388,B10:9,6,10,3,1,3,False,0.48477537381389035,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:389,B10:11,6,10,3,1,3,False,0.4049673420247285,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:390,B10:3,6,10,3,1,2,False,0.6770050913645992,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:391,B10:2287,6,10,3,1,3,False,0.6222753867859443,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:488,B10:1,6,10,3,3,1,False,0.5360028111235601,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:1539,B10:1663,6,10,5,1,5,False,0.9433288696924769,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B6:1562,B10:1655,6,10,5,1,5,False,2.23881305535013,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:0,B10:840,2,10,1,1,1,True,0.7118839451149089,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:1,B10:842,2,10,1,1,1,True,1.581492609575931,ONE_TO_ONE_HUNGARIAN_WITHIN_TRUE_CLASS,standardized_euclidean_per_sqrt_feature_count,EXECUTED
