experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,families,family_rank_spearman,family_kendall_tau_b,dominant_family_a,dominant_family_b,dominant_family_changed,family_importance_l1_distance,unit,status
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",0.0,0.0,decaying_transient_ema,rising_transient_ema,True,0.291653274301108,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",0.39999999999999997,0.3333333333333334,rising_transient_ema,decaying_transient_ema,True,0.12538280385430967,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",1.0,1.0,decaying_transient_ema,decaying_transient_ema,False,0.03161692403086227,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",0.0,0.0,decaying_transient_ema,rising_transient_ema,True,0.2978458469213817,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",0.7999999999999999,0.6666666666666669,rising_transient_ema,rising_transient_ema,False,0.15451695204325935,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",-0.39999999999999997,-0.3333333333333334,rising_transient_ema,steady_state_resistance_change,True,0.33190679368028464,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",-0.7999999999999999,-0.6666666666666669,steady_state_resistance_change,decaying_transient_ema,True,0.4763593006083269,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",0.7999999999999999,0.6666666666666669,decaying_transient_ema,decaying_transient_ema,False,0.24792882047739256,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",0.0,0.0,decaying_transient_ema,rising_transient_ema,True,0.291653274301108,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,"[""decaying_transient_ema"", ""normalized_resistance_response"", ""rising_transient_ema"", ""steady_state_resistance_change""]",0.7999999999999999,0.6666666666666669,decaying_transient_ema,decaying_transient_ema,False,0.16627047044679835,correlation_or_normalized_distance,EXECUTED
