experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,cosine_similarity,normalized_l1_distance,unit,status
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,0.32465647697598726,0.6665039745010175,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,0.9393039469263276,0.20850457253792085,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,0.6687671120931866,0.522782032936995,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,0.4006646003051634,0.5871209992193209,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,0.8077953878168233,0.3481907997219965,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,0.5103891639600465,0.5419566021490474,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,0.1379744481979607,0.8513056408388753,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,0.36902512382510516,0.7173496539985647,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,0.32465647697598726,0.6665039745010175,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,0.27813604528360425,0.7516409275607926,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,0.4991419304769625,0.4620090629811239,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,0.5803615995510916,0.5123366531744489,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,0.8040683130447593,0.3139970183860229,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,0.4193788983093764,0.6189196673752733,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,0.5763442697417701,0.576116711048292,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,0.6810811112427836,0.37173088522538056,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,0.3585659774345182,0.6521209783309507,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,0.3503050616713461,0.6795476582787345,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,0.43843310031080895,0.6779790867333017,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,0.4868818438741652,0.5981623839298272,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,0.5771812277532884,0.48485213939274935,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,0.43041084050351003,0.552957968834897,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,0.7129525335125257,0.41060814616850544,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,0.438809088381897,0.5637299650210343,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,0.3585659774345182,0.6521209783309507,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,0.4923403472572388,0.5531014699579869,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,0.4764013737404287,0.678020525464252,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,0.43144710461170965,0.6270963947454551,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,0.4471495153828189,0.574685518794829,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,0.38970431380708476,0.6490334068318548,similarity_or_normalized_distance,EXECUTED
