experiment_id,source_experiment_id,model_id,method,comparison,batch_a,batch_b,batch_gap,n_features,spearman_rank_correlation,kendall_rank_correlation,importance_cosine_similarity,top_1_jaccard,top_3_jaccard,top_5_jaccard,top_10_jaccard
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,2,0,128,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,3,1,128,0.5656473173411464,0.38877952755905515,0.015107958272823135,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,4,2,128,0.4583123512177257,0.3304625984251969,-0.08662526169690031,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,5,3,128,0.4085504028566196,0.281742125984252,0.08093733620773948,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,6,4,128,0.5654756454861747,0.4023129921259843,0.5399735067049011,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,7,5,128,0.7368842702801685,0.5423228346456694,0.753560342198547,0.0,0.2,0.25,0.42857142857142855
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,8,6,128,-0.09316059329793076,-0.057086614173228356,0.3536737613431253,0.0,0.2,0.1111111111111111,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,9,7,128,-0.3160879417689068,-0.21555118110236224,-0.5591736171298465,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,10,8,128,0.24688129463468228,0.18282480314960634,0.2834373722362539,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,1,128,0.5656473173411464,0.38877952755905515,0.015107958272823135,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,3,4,1,128,0.732941540010987,0.5509350393700788,0.9349911589659277,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,4,5,1,128,0.5843538271378869,0.4158464566929134,0.6434560929339158,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,5,6,1,128,0.6514946896172862,0.48228346456692917,0.3016661090442226,0.0,0.2,0.25,0.5384615384615384
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,6,7,1,128,0.816820408350119,0.6345964566929135,0.7966717751118202,0.0,0.5,0.42857142857142855,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,7,8,1,128,-0.0010929774766526277,0.0014763779527559057,0.3745020460309864,0.0,0.2,0.25,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,8,9,1,128,0.14685954953305258,0.08070866141732284,-0.0991963594457391,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,9,10,1,128,-0.12598425196850394,-0.08243110236220473,-0.32139444223075664,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,2,0,128,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,3,1,128,0.15529436000732466,0.10999015748031499,0.15751707330427214,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,4,2,128,0.3488944332539827,0.24803149606299216,0.3478774710899729,0.0,0.2,0.25,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,5,3,128,0.0025750778245742538,-0.0009842519685039372,0.1045250383853437,0.0,0.0,0.1111111111111111,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,6,4,128,0.038305713239333454,0.02559055118110237,0.004012629157926579,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,7,5,128,-0.22520486174693277,-0.15428149606299213,-0.24181467217947356,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,8,6,128,0.20687603003112984,0.13927165354330712,0.1509154311235055,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,9,7,128,0.21376579381065736,0.1441929133858268,0.19484345882017878,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,10,8,128,0.06549281267167185,0.044045275590551186,0.08867835452215725,0.0,0.2,0.25,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,1,128,0.15529436000732466,0.10999015748031499,0.15751707330427214,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,3,4,1,128,0.18479902948177987,0.12967519685039372,0.3112139607368205,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,4,5,1,128,0.003542162607581029,0.006397637795275592,0.3627817208747333,0.0,0.2,0.1111111111111111,0.25
