experiment_id,scope,model_id,method,metric_name,mean,median,n,unit,evidence_state
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,spearman,0.3694332124118016,0.5123707433876975,16,correlation,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,spearman,0.09704903419317866,0.11226038854755603,16,correlation,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,spearman,0.10050228968876534,0.0846612823037825,16,correlation,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,spearman,0.05926284637488931,0.07680967260315338,16,correlation,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_MAGNITUDE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,normalized_l1_distance,0.5448105735097556,0.5590366565986697,16,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_MAGNITUDE,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,normalized_l1_distance,0.5983851515459759,0.6103070728783031,16,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_MAGNITUDE,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,normalized_l1_distance,0.4679290379968172,0.4493148386577589,16,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_MAGNITUDE,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,normalized_l1_distance,0.5679793647173418,0.5335085331636905,16,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,SENSOR,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,sensor_importance_l1_distance,0.38025565128038497,0.38247585509856274,16,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,SENSOR,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,sensor_importance_l1_distance,0.2801785235338602,0.2746458689100926,16,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,SENSOR,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,sensor_importance_l1_distance,0.25870886093715184,0.24331196849840325,16,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,SENSOR,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,sensor_importance_l1_distance,0.27015389529661593,0.2581235379515372,16,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,explanation_distance,0.17323158196055202,0.1244323833519409,98,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,explanation_distance,0.2074945067037543,0.16934293350997892,98,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,explanation_distance,0.28058703237289684,0.21267454350161144,97,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,explanation_distance,0.19621591693283658,0.15493805940713384,90,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,explanation_distance,0.2582668293688801,0.22521667994066086,75,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,CROSS_BATCH,MODEL-C1,INTRINSIC_COEFFICIENT,explanation_distance,0.41987911210809004,0.4551372501644357,33,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,CROSS_BATCH,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,explanation_distance,0.4640017741228689,0.4322827020590473,33,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,CROSS_BATCH,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,explanation_distance,0.5533513253569828,0.5379530066094742,26,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,CROSS_BATCH,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,explanation_distance,0.4530916006982543,0.46789756451626313,32,normalized_distance,DERIVED
EXP-XAI-STABILITY-001,CROSS_BATCH,MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,explanation_distance,0.473875141292549,0.46107589681999656,39,normalized_distance,DERIVED
