model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope,median_us_per_sample,p95_us_per_sample,primary_metric
MODEL-C1,BASELINE_MODEL,BATCH,2,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,341500.0,341486.6666666667,349570.0,350484.0,4650.0,333500.0,350600.0,4445.279040412022,0.0130174307647307,30,EXP-XAI-LATENCY-001,341.5,349.57,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,10.671875,10.9240625,host_inference_latency_us_per_sample
MODEL-C1,BASELINE_MODEL,BATCH,6,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,341350.0,342686.6666666667,350455.0,351352.0,2725.0,339300.0,351700.0,3656.994557748521,0.010671540253726,30,EXP-XAI-LATENCY-001,341.35,350.455,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,10.6671875,10.95171875,host_inference_latency_us_per_sample
MODEL-C1,BASELINE_MODEL,BATCH,10,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,342450.0,345190.0,360335.0,378098.0,4850.0,338600.0,382100.0,8965.925919067528,0.0259738866104682,30,EXP-XAI-LATENCY-001,342.45,360.3349999999999,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,10.7015625,11.260468749999998,host_inference_latency_us_per_sample
MODEL-C1,BASELINE_MODEL,LOCAL,2,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,314950.0,317066.6666666667,328150.0,345569.0,5475.0,308400.0,352500.0,8482.002582886424,0.0267514799712565,30,EXP-XAI-LATENCY-001,314.95,328.15,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,314.95,328.15,host_inference_latency_us_per_sample
MODEL-C1,BASELINE_MODEL,LOCAL,2,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,136150.0,136440.0,140790.0,142310.0,1875.0,133500.0,142600.0,2026.8201696253168,0.0148550290942928,30,EXP-XAI-LATENCY-001,136.15,140.79,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,136.15,140.79,host_inference_latency_us_per_sample
MODEL-C1,BASELINE_MODEL,LOCAL,6,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,316600.0,319846.6666666667,331995.0,352827.0,7375.0,313100.0,359700.0,9193.540961038834,0.0287435884727228,30,EXP-XAI-LATENCY-001,316.6,331.995,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.6,331.995,host_inference_latency_us_per_sample
MODEL-C1,BASELINE_MODEL,LOCAL,6,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,136700.0,137163.33333333334,141400.0,145614.0,1450.0,135100.0,146600.0,2311.960406135933,0.0168555280041016,30,EXP-XAI-LATENCY-001,136.7,141.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,136.7,141.4,host_inference_latency_us_per_sample
MODEL-C1,BASELINE_MODEL,LOCAL,10,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,316200.0,320170.0,326100.0,373954.00000000006,2700.0,313600.0,393500.0,14333.49465292806,0.0447683875844959,30,EXP-XAI-LATENCY-001,316.2,326.1,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,326.1,host_inference_latency_us_per_sample
MODEL-C1,BASELINE_MODEL,LOCAL,10,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,137650.0,138233.33333333334,144495.0,145468.0,1525.0,135100.0,145700.0,2607.4605605287,0.0188627482073453,30,EXP-XAI-LATENCY-001,137.65,144.495,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,137.65,144.495,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,BATCH,2,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,11744050.0,11834110.0,12428790.0,12640402.0,383750.0,11388700.0,12685700.0,330224.30448993616,0.0279044477776475,30,EXP-XAI-LATENCY-001,11744.05,12428.79,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,367.0015625,388.3996875,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,BATCH,6,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,11619250.0,11714366.666666666,12217980.0,12807255.0,333875.0,11339600.0,13001700.0,344742.0038164806,0.0294289920766648,30,EXP-XAI-LATENCY-001,11619.25,12217.98,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,363.1015625,381.811875,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,BATCH,10,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,11395850.0,11398876.666666666,12047725.0,12066555.0,385950.0,11010200.0,12072500.0,299347.6351638024,0.0262611522097764,30,EXP-XAI-LATENCY-001,11395.85,12047.725,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,356.1203125,376.49140625,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,LOCAL,2,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,11363350.0,12365713.333333334,12682774.999999998,30994517.000000022,443400.0,10911200.0,38381600.0,4934659.761022788,0.399059854292497,30,EXP-XAI-LATENCY-001,11363.35,12682.774999999998,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,11363.35,12682.774999999998,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,LOCAL,2,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,180700.0,188586.66666666663,231660.0,249933.0,24600.0,163100.0,253500.0,23479.21653708663,0.1245009361058751,30,EXP-XAI-LATENCY-001,180.7,231.66,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,180.7,231.66,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,LOCAL,6,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,11224100.0,11268210.0,11613125.0,12034579.0,271650.0,10960600.0,12201300.0,259189.7312647696,0.0230018548877567,30,EXP-XAI-LATENCY-001,11224.1,11613.125,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11224.1,11613.125,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,LOCAL,6,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,179600.0,190426.66666666663,233600.0,261599.00000000003,27125.0,161900.0,272300.0,26646.600783839825,0.139931036184567,30,EXP-XAI-LATENCY-001,179.6,233.6,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,179.6,233.6,host_inference_latency_us_per_sample
