experiment_id,model_id,method,scope,batch,phase,metric_name,estimate,ci_low,ci_high,n,bootstrap_repetitions,resampling_unit,unit,measurement_type
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,BATCH,2,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,341500.0,338800.0,342550.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,BATCH,6,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,341350.0,340600.0,342250.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,BATCH,10,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,342450.0,341297.5,343800.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,LOCAL,2,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,314950.0,312748.75,316350.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,LOCAL,2,PREPROCESSING_ONLY,median_host_wall_time_ns,136150.0,135600.0,136750.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,LOCAL,6,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,316600.0,315800.0,318200.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,LOCAL,6,PREPROCESSING_ONLY,median_host_wall_time_ns,136700.0,136300.0,137050.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,LOCAL,10,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,316200.0,315700.0,317550.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,BASELINE_MODEL,LOCAL,10,PREPROCESSING_ONLY,median_host_wall_time_ns,137650.0,137150.0,137850.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,ONE_TIME_GLOBAL_EXTRACTION_COST,median_host_wall_time_ns,12800.0,12700.0,12800.0,100,1000,timing_replicate,nanoseconds,MEASURED_HOST
