model_id,method,scope,median_us,p95_us,stage10_fidelity_evidence,stage11_stability_evidence,experiment_id,interpretation,host_cost_state,mcu_cost
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,12.8,13.805,0.0369580520932507,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,444.09999999999997,483.7116666666666,0.1406627904026925,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,1321868.8666666667,1349569.2466666668,0.0411198206117189,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,40056.799999999996,40488.21333333333,nan,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,LOCAL,709.0833333333334,774.993333333333,0.126641391657309,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,21772.7,22408.54,0.1783945713393376,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,9500386.4,9533816.12,0.1050226960239742,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,1402570.6000000003,1423237.18,nan,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,LOCAL,22425.86666666667,23324.64333333333,0.0846187106918238,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,3303500.9,3323061.44,0.0275428839285239,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,43580.200000000004,44047.34666666667,nan,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,LOCAL,2391.016666666667,2551.5699999999997,0.0613926988003422,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,1453887.0333333332,1464518.1933333334,0.062858403582415,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,41193.5,41591.87333333333,nan,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,LOCAL,789.4,873.9799999999999,0.1080716606998906,nan,EXP-XAI-LATENCY-001,CONTINUOUS_EVIDENCE_NO_COMPOSITE_SCORE,HOST_MEASURED,NOT_MEASURED
