model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope,global_explanation_total_ms,normalized_ms_per_evaluated_sample,normalization_warning
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,ONE_TIME_GLOBAL_EXTRACTION_COST,128,0,0,1,HOST-STAGE12-001,12800.0,12902.0,13805.0,16121.000000000013,300.0,12300.0,18200.0,734.1565627206901,0.0569025393520919,100,EXP-XAI-LATENCY-001,12.8,13.805,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,TOP_K_REDUCTION_K1,128,0,0,1,HOST-STAGE12-001,4900.0,5474.0,5700.0,7847.000000000228,100.0,4800.0,52100.0,4719.797547447231,0.8622209622665749,100,EXP-XAI-LATENCY-001,4.9,5.7,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,TOP_K_REDUCTION_K10,128,0,0,1,HOST-STAGE12-001,5000.0,4997.0,5200.0,5504.000000000002,100.0,4800.0,5900.0,132.9198132998868,0.0265999226135454,100,EXP-XAI-LATENCY-001,5.0,5.2,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,TOP_K_REDUCTION_K20,128,0,0,1,HOST-STAGE12-001,5000.0,5048.0,5200.0,6425.000000000013,100.0,4800.0,8900.0,425.5667641006176,0.0843040340928323,100,EXP-XAI-LATENCY-001,5.0,5.2,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,TOP_K_REDUCTION_K3,128,0,0,1,HOST-STAGE12-001,4900.0,4961.0,5005.0,5315.000000000007,100.0,4800.0,6800.0,199.4411383761326,0.0402018017287104,100,EXP-XAI-LATENCY-001,4.9,5.005,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,TOP_K_REDUCTION_K5,128,0,0,1,HOST-STAGE12-001,5000.0,4973.0,5100.0,5702.000000000001,100.0,4800.0,5900.0,138.42913805491335,0.0278361427820055,100,EXP-XAI-LATENCY-001,5.0,5.1,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,,,NOT_APPLICABLE
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1330028700.0,1344005500.0,1373144730.0,1376977266.0,26941500.0,1324052400.0,1377935400.0,29535700.870810565,0.021975877978781,3,EXP-XAI-LATENCY-001,1330028.7,1373144.73,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,1330.0286999999998,5.195424609374999,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1315073600.0,1322220633.3333333,1341278720.0,1343608064.0,18396250.0,1307397900.0,1344190400.0,19409587.27442017,0.014679537427493,3,EXP-XAI-LATENCY-001,1315073.6,1341278.72,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,1315.0736000000002,5.137006250000001,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1320504300.0,1320826933.3333333,1334284290.0,1335509178.0,14827150.0,1306161100.0,1335815400.0,14829782.4098445,0.011227649918085,3,EXP-XAI-LATENCY-001,1320504.3,1334284.29,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,1320.5043,5.158219921875,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,ONE_TIME_GLOBAL_EXTRACTION_COST,128,0,0,1,HOST-STAGE12-001,21772700.0,21782950.0,22408540.0,23322282.0,593600.0,21139300.0,23478900.0,449518.50278207054,0.0206362546295185,100,EXP-XAI-LATENCY-001,21772.7,22408.54,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,,,NOT_APPLICABLE
