experiment_id,model_id,method,sample_id,batch,row_index_in_batch,repeat,latency_ns
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:0,2,0,1,456527
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:0,2,0,2,431180
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:0,2,0,3,417584
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:0,2,0,4,378620
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:0,2,0,5,397636
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,1,852371
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,2,874391
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,3,857058
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,4,877316
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,5,848002
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:0,2,0,1,553829
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:0,2,0,2,525837
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:0,2,0,3,574288
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:0,2,0,4,520718
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:0,2,0,5,548459
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:1,2,1,1,379402
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:1,2,1,2,342623
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:1,2,1,3,367821
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:1,2,1,4,353243
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:1,2,1,5,339127
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,1,837553
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,2,837522
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,3,839015
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,4,804540
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,5,830589
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:1,2,1,1,544032
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:1,2,1,2,507413
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:1,2,1,3,550904
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:1,2,1,4,513724
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:1,2,1,5,539643
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:70,2,70,1,342092
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:70,2,70,2,349877
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:70,2,70,3,372439
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:70,2,70,4,356078
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:70,2,70,5,348805
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:70,2,70,1,862559
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:70,2,70,2,839366
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:70,2,70,3,828205
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:70,2,70,4,792588
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:70,2,70,5,831130
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:70,2,70,1,539523
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:70,2,70,2,507122
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:70,2,70,3,542348
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:70,2,70,4,507162
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:70,2,70,5,551556
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:71,2,71,1,346460
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:71,2,71,2,345308
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:71,2,71,3,379843
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:71,2,71,4,342744
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:71,2,71,5,351309
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:71,2,71,1,838864
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:71,2,71,2,834747
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:71,2,71,3,828104
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:71,2,71,4,801274
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:71,2,71,5,831521
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:71,2,71,1,544252
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:71,2,71,2,519825
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:71,2,71,3,540033
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:71,2,71,4,534022
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:71,2,71,5,514045
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:121,2,121,1,342964
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:121,2,121,2,368863
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:121,2,121,3,350377
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:121,2,121,4,343945
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:121,2,121,5,373371
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:121,2,121,1,831531
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:121,2,121,2,829167
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:121,2,121,3,837262
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:121,2,121,4,836751
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:121,2,121,5,802907
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:121,2,121,1,546556
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:121,2,121,2,551005
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:121,2,121,3,520267
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:121,2,121,4,545164
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:121,2,121,5,510428
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:122,2,122,1,342313
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:122,2,122,2,397095
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:122,2,122,3,353824
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:122,2,122,4,345208
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:122,2,122,5,382978
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,1,827013
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,2,830148
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,3,828585
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,4,832633
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,5,799641
