model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope
MODEL-C1,BASELINE_MODEL,BATCH,2,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,341500.0,341486.6666666667,349570.0,350484.0,4650.0,333500.0,350600.0,4445.279040412022,0.013017430764730753,30,EXP-XAI-LATENCY-001,341.5,349.57,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,BASELINE_MODEL,BATCH,6,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,341350.0,342686.6666666667,350455.0,351352.0,2725.0,339300.0,351700.0,3656.994557748521,0.010671540253726011,30,EXP-XAI-LATENCY-001,341.35,350.455,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,BASELINE_MODEL,BATCH,10,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,342450.0,345190.0,360334.99999999994,378098.0,4850.0,338600.0,382100.0,8965.925919067528,0.025973886610468226,30,EXP-XAI-LATENCY-001,342.45,360.3349999999999,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,BASELINE_MODEL,LOCAL,2,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,314950.0,317066.6666666667,328150.0,345569.0,5475.0,308400.0,352500.0,8482.002582886424,0.02675147997125659,30,EXP-XAI-LATENCY-001,314.95,328.15,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,BASELINE_MODEL,LOCAL,2,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,136150.0,136440.0,140790.0,142310.0,1875.0,133500.0,142600.0,2026.8201696253172,0.014855029094292855,30,EXP-XAI-LATENCY-001,136.15,140.79,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,BASELINE_MODEL,LOCAL,6,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,316600.0,319846.6666666667,331995.0,352827.0,7375.0,313100.0,359700.0,9193.540961038834,0.02874358847272287,30,EXP-XAI-LATENCY-001,316.6,331.995,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,BASELINE_MODEL,LOCAL,6,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,136700.0,137163.33333333334,141400.0,145614.0,1450.0,135100.0,146600.0,2311.960406135933,0.01685552800410168,30,EXP-XAI-LATENCY-001,136.7,141.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,BASELINE_MODEL,LOCAL,10,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,316200.0,320170.0,326100.0,373954.00000000006,2700.0,313600.0,393500.0,14333.494652928059,0.04476838758449592,30,EXP-XAI-LATENCY-001,316.2,326.1,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,BASELINE_MODEL,LOCAL,10,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,137650.0,138233.33333333334,144495.0,145468.0,1525.0,135100.0,145700.0,2607.4605605287,0.01886274820734531,30,EXP-XAI-LATENCY-001,137.65,144.495,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,ONE_TIME_GLOBAL_EXTRACTION_COST,128,0,0,1,HOST-STAGE12-001,12800.0,12902.0,13805.0,16121.000000000011,300.0,12300.0,18200.0,734.1565627206901,0.056902539352091934,100,EXP-XAI-LATENCY-001,12.8,13.805,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
