experiment_id,method,scope,model_id,feature_count,sensor_count,sample_count,prediction_calls,additional_prediction_calls,perturbed_samples,sort_operations,explanation_vector_length,requires_training_data,requires_labels,requires_future_data,requires_model_gradients,requires_model_internals,supports_online_single_sample,supports_precomputation,supports_static_storage,sensor_group_scenario,evidence_states,measurement_type
EXP-XAI-LATENCY-001,INTRINSIC_COEFFICIENT,GLOBAL,MODEL-C1,128,16,1,0,0,0,1,1,False,False,False,False,True,False,True,True,ANALYTICAL_ONLY_16_GROUPS,STATIC_PRECOMPUTABLE|REQUIRES_MODEL_INTERNALS|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,INTRINSIC_IMPURITY,GLOBAL,MODEL-C2,128,16,1,0,0,0,1,1,False,False,False,False,True,False,True,True,ANALYTICAL_ONLY_16_GROUPS,STATIC_PRECOMPUTABLE|REQUIRES_MODEL_INTERNALS|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,MODEL-C1,128,16,BATCH_DEPENDENT,641,640,641,1,128,True,True,False,False,False,False,False,True,ANALYTICAL_ONLY_16_GROUPS,REQUIRES_DATASET|REQUIRES_LABELS|REQUIRES_MULTIPLE_INFERENCES|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,MODEL-C2,128,16,BATCH_DEPENDENT,641,640,641,1,128,True,True,False,False,False,False,False,True,ANALYTICAL_ONLY_16_GROUPS,REQUIRES_DATASET|REQUIRES_LABELS|REQUIRES_MULTIPLE_INFERENCES|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,MODEL-C3,128,16,BATCH_DEPENDENT,641,640,641,1,128,True,True,False,False,False,False,False,True,ANALYTICAL_ONLY_16_GROUPS,REQUIRES_DATASET|REQUIRES_LABELS|REQUIRES_MULTIPLE_INFERENCES|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,MODEL-C4,128,16,BATCH_DEPENDENT,641,640,641,1,128,True,True,False,False,False,False,False,True,ANALYTICAL_ONLY_16_GROUPS,REQUIRES_DATASET|REQUIRES_LABELS|REQUIRES_MULTIPLE_INFERENCES|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,INTRINSIC_COEFFICIENT,LOCAL,MODEL-C1,128,16,1,1,0,1,1,128,False,False,False,False,True,True,False,False,ANALYTICAL_ONLY_16_GROUPS,ONLINE_SINGLE_SAMPLE_CAPABLE|REQUIRES_MODEL_INTERNALS|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,MODEL-C1,128,16,1,2,1,129,1,128,False,False,False,False,False,True,False,False,ANALYTICAL_ONLY_16_GROUPS,ONLINE_SINGLE_SAMPLE_CAPABLE|REQUIRES_MULTIPLE_INFERENCES|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,MODEL-C2,128,16,1,2,1,129,1,128,False,False,False,False,False,True,False,False,ANALYTICAL_ONLY_16_GROUPS,ONLINE_SINGLE_SAMPLE_CAPABLE|REQUIRES_MULTIPLE_INFERENCES|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
EXP-XAI-LATENCY-001,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,MODEL-C3,128,16,1,2,1,129,1,128,False,False,False,False,False,True,False,False,ANALYTICAL_ONLY_16_GROUPS,ONLINE_SINGLE_SAMPLE_CAPABLE|REQUIRES_MULTIPLE_INFERENCES|EMBEDDED_FEASIBILITY_UNTESTED,DERIVED_OPERATION_COUNT
